t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.100000000000000000e+01,3.356599200000000283e-02,3.464977245369740833e-02,8.424871224306860196e-01,9.334863979082841379e-01,3.586128064085506995e-01,5.418902268487026941e-01,1.000000000000000000e+00
-6.000000000000000000e+00,3.380656199999999834e-02,3.465009516675687795e-02,8.424880337656914797e-01,9.334862368035259372e-01,3.586132257717101757e-01,4.217665833784398077e-01,1.000000000000000000e+00
-1.000000000000000000e+00,3.365042800000000306e-02,3.465105831050571683e-02,8.424907530914207410e-01,9.334857558902709407e-01,3.586144776078754592e-01,5.003151552528568580e-01,1.000000000000000000e+00
4.000000000000000000e+00,3.069150400000000140e-02,3.384529322357965331e-02,8.403779485548658057e-01,9.339149161364799223e-01,3.574953557989135056e-01,1.576894611789825928e+00,1.000000000000000000e+00
9.000000000000000000e+00,2.772133099999999836e-02,3.203045367514659181e-02,8.364702354626802894e-01,9.350207918415712749e-01,3.545928916715069823e-01,2.154561337573296598e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.340437500000000157e-02,3.038868692752338951e-02,8.326663696791992697e-01,9.359784193452614920e-01,3.520573795845584053e-01,3.492155963761693904e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.630221799999999874e-02,2.888823343142515876e-02,8.289661588501598954e-01,9.368191141344829331e-01,3.498141612231881470e-01,1.293007715712579886e+00,1.000000000000000000e+00
2.400000000000000000e+01,2.215985999999999997e-02,2.750156312477347598e-02,8.253673376185528543e-01,9.375692423217522053e-01,3.477986714353802356e-01,2.670851562386737932e+00,1.000000000000000000e+00
2.900000000000000000e+01,2.380476899999999993e-02,2.620817934343822042e-02,8.218676247572918037e-01,9.382481383836744904e-01,3.459630483441393234e-01,1.201705171719110288e+00,1.000000000000000000e+00
3.400000000000000000e+01,1.860667800000000149e-02,2.499269415477209377e-02,8.184647542978158441e-01,9.388701019236842527e-01,3.442715958568334234e-01,3.193008077386045862e+00,1.000000000000000000e+00
3.900000000000000000e+01,1.784427499999999972e-02,2.384344784692690733e-02,8.151564944478908448e-01,9.394458009509670804e-01,3.426975154208093399e-01,2.999586423463453944e+00,1.000000000000000000e+00
4.400000000000000000e+01,1.966926499999999828e-02,2.275151623391716282e-02,8.119406581617863994e-01,9.399832649048688316e-01,3.412205470055741374e-01,1.541125616958582301e+00,1.000000000000000000e+00
4.900000000000000000e+01,2.439329000000000150e-02,2.170999422675334856e-02,8.088151084480748043e-01,9.404885922859068659e-01,3.398252606562279232e-01,-1.341647886623326347e+00,1.000000000000000000e+00
5.400000000000000000e+01,1.819083100000000106e-02,2.071347637579348810e-02,8.057777605295368684e-01,9.409664585498150879e-01,3.384998137137140151e-01,1.261322687896743400e+00,1.000000000000000000e+00
