t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,3.498277600000000015e-02,3.526290439612805860e-02,8.441318330861503627e-01,9.331663209658402902e-01,3.594448739585506813e-01,1.400641980640292272e-01,1.000000000000000000e+00
-1.100000000000000000e+01,3.538691399999999848e-02,3.526319000875624554e-02,8.441326377373081780e-01,9.331661782735192201e-01,3.594452444064249463e-01,-6.186199562187646994e-02,1.000000000000000000e+00
-6.000000000000000000e+00,3.513997700000000279e-02,3.526404231321134120e-02,8.441350383943504454e-01,9.331657523760484851e-01,3.594463500891937890e-01,6.203265660566920081e-02,1.000000000000000000e+00
-1.000000000000000000e+00,3.507077599999999795e-02,3.526544969861894474e-02,8.441390015592324936e-01,9.331650489469511811e-01,3.594481762700071359e-01,9.733684930947339442e-02,1.000000000000000000e+00
4.000000000000000000e+00,2.159466800000000089e-02,3.459101421094817885e-02,8.422446755023805798e-01,9.335032228801837251e-01,3.585690071273729962e-01,6.498173105474088551e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.000561599999999884e-02,3.337068178042135180e-02,8.388281283800103072e-01,9.341183623641269307e-01,3.569634226278114997e-01,1.682532890210676424e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.822585600000000056e-02,3.219730080220187252e-02,8.355002761756676888e-01,9.347046449932477907e-01,3.554254164069399202e-01,1.985722401100936008e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.722820800000000027e-02,3.106763433279549624e-02,8.322602172480131344e-01,9.352649225362885677e-01,3.539484774274219148e-01,1.919713166397748028e+00,1.000000000000000000e+00
2.400000000000000000e+01,2.408132500000000065e-02,2.997860457630868725e-02,8.291062028126402472e-01,9.358017515100930384e-01,3.525267108612368805e-01,2.948639788154343133e+00,1.000000000000000000e+00
2.900000000000000000e+01,2.747238499999999847e-02,2.892761069347080105e-02,8.260364467707240754e-01,9.363172238232505551e-01,3.511553165935564214e-01,7.276128467354012752e-01,1.000000000000000000e+00
3.400000000000000000e+01,2.845006900000000144e-02,2.791243507519383660e-02,8.230491568381081979e-01,9.368130642158183363e-01,3.498303627682552985e-01,-2.688169624030823934e-01,1.000000000000000000e+00
3.900000000000000000e+01,2.634558799999999965e-02,2.693116675323919962e-02,8.201425545299053654e-01,9.372907084902568631e-01,3.485486017441934425e-01,2.927893766195999725e-01,1.000000000000000000e+00
4.400000000000000000e+01,2.052218700000000076e-02,2.598214003148854867e-02,8.173148870216987438e-01,9.377513652023321544e-01,3.473073236503403383e-01,2.729976515744273691e+00,1.000000000000000000e+00
4.900000000000000000e+01,2.331373399999999915e-02,2.506388598463915596e-02,8.145644336927426732e-01,9.381960637479161980e-01,3.461042414763447206e-01,8.750759923195783330e-01,1.000000000000000000e+00
5.400000000000000000e+01,2.147578899999999860e-02,2.417509443925303092e-02,8.118895094052684946e-01,9.386256916109599890e-01,3.449374016366550944e-01,1.349652719626516229e+00,1.000000000000000000e+00
5.900000000000000000e+01,1.530577200000000047e-02,2.331458428532620641e-02,8.092884658623445970e-01,9.390410231468937496e-01,3.438051146321634000e-01,3.157292142663102652e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.054190100000000130e-02,2.248128030768736796e-02,8.067596918703472397e-01,9.394427418315206557e-01,3.427059013499399454e-01,9.696896538436833302e-01,1.000000000000000000e+00
6.900000000000000000e+01,1.741751100000000010e-02,2.167419507489948272e-02,8.043016129951217064e-01,9.398314574955511924e-01,3.416384514392194482e-01,2.128342037449741042e+00,1.000000000000000000e+00
7.400000000000000000e+01,1.789720499999999936e-02,2.089241473332756338e-02,8.019126908941783816e-01,9.402077197206168968e-01,3.406015909794873342e-01,1.497604866663782008e+00,1.000000000000000000e+00
7.900000000000000000e+01,1.729575800000000135e-02,2.013508781162515193e-02,7.995914224858157171e-01,9.405720282972137580e-01,3.395942572907636459e-01,1.419664905812575206e+00,1.000000000000000000e+00
8.400000000000000000e+01,1.895899499999999932e-02,1.940141634645956015e-02,7.973363390453761523e-01,9.409248414308215569e-01,3.386154792362323085e-01,2.212106732297804135e-01,1.000000000000000000e+00
8.900000000000000000e+01,2.356499999999999914e-02,1.869064880077581092e-02,7.951460052781513799e-01,9.412665822182924025e-01,3.376643617545307952e-01,-2.437175599612094068e+00,1.000000000000000000e+00
