t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,4.074300899999999670e-02,4.093153755850555131e-02,8.467219511202606075e-01,9.326609927874345285e-01,3.607540332868879318e-01,9.426427925277730546e-02,1.000000000000000000e+00
-1.100000000000000000e+01,4.121369099999999674e-02,4.093169796375688979e-02,8.467229136646731158e-01,9.326609793359557088e-01,3.607540680631280972e-01,-1.409965181215534769e-01,1.000000000000000000e+00
-6.000000000000000000e+00,4.092609299999999672e-02,4.093216509546650922e-02,8.467256996846186379e-01,9.326609373448364604e-01,3.607541766231556202e-01,3.036047733256247438e-03,1.000000000000000000e+00
-1.000000000000000000e+00,4.084549800000000092e-02,4.093289038227106852e-02,8.467299947455354525e-01,9.326608671018957741e-01,3.607543582227938916e-01,4.369619113553380174e-02,1.000000000000000000e+00
4.000000000000000000e+00,4.011164600000000080e-02,4.012912448190873727e-02,8.418947152962175107e-01,9.327266299036477415e-01,3.605842950942035330e-01,8.739240954368232561e-03,1.000000000000000000e+00
9.000000000000000000e+00,3.731283500000000253e-02,3.870219367884555894e-02,8.333769616638249111e-01,9.328562464339265059e-01,3.602488355140172072e-01,6.946793394227781526e-01,1.000000000000000000e+00
1.400000000000000000e+01,3.648607400000000028e-02,3.749600851188549661e-02,8.262793090866730195e-01,9.329849960904669226e-01,3.599152637358847828e-01,5.049672559427481611e-01,1.000000000000000000e+00
1.900000000000000000e+01,3.665752700000000225e-02,3.648563460853239404e-02,8.204360405888746488e-01,9.331117089765113004e-01,3.595866217908204598e-01,-8.594619573380410382e-02,1.000000000000000000e+00
2.400000000000000000e+01,3.462615599999999821e-02,3.563757480339446032e-02,8.156317122396251618e-01,9.332363622893411481e-01,3.592629845961834989e-01,5.057094016972309980e-01,1.000000000000000000e+00
2.900000000000000000e+01,3.494170299999999757e-02,3.492362735442749999e-02,8.116849567415359568e-01,9.333589838226453717e-01,3.589442955634743471e-01,-9.037822786248789209e-03,1.000000000000000000e+00
3.400000000000000000e+01,3.313903499999999724e-02,3.432045801680938535e-02,8.084456000414480537e-01,9.334796086600375409e-01,3.586304786488498930e-01,5.907115084046939968e-01,1.000000000000000000e+00
3.900000000000000000e+01,3.381598000000000243e-02,3.380882433666418385e-02,8.057896966087085833e-01,9.335982721764726211e-01,3.583214565011492159e-01,-3.577831667909286972e-03,1.000000000000000000e+00
4.400000000000000000e+01,3.320166499999999826e-02,3.337286631618645999e-02,8.036150041457376103e-01,9.337150090873373998e-01,3.580171529480585257e-01,8.560065809323086361e-02,1.000000000000000000e+00
4.900000000000000000e+01,3.289055800000000029e-02,3.299951224601382904e-02,8.018371908615923305e-01,9.338298533414867153e-01,3.577174932935450191e-01,5.447712300691437415e-02,1.000000000000000000e+00
5.400000000000000000e+01,3.244076700000000230e-02,3.267798789646927243e-02,8.003866990083918775e-01,9.339428381276027036e-01,3.574224043203761414e-01,1.186104482346350686e-01,1.000000000000000000e+00
5.900000000000000000e+01,3.164210900000000160e-02,3.239941200187711201e-02,7.992061567859580773e-01,9.340539958948241850e-01,3.571318142547814656e-01,3.786515009385552077e-01,1.000000000000000000e+00
6.400000000000000000e+01,3.111267100000000146e-02,3.215646298409126358e-02,7.982482435033286805e-01,9.341633583743725877e-01,3.568456527277774071e-01,5.218959920456310853e-01,1.000000000000000000e+00
6.900000000000000000e+01,3.191779599999999828e-02,3.194310438110990746e-02,7.974739287210962368e-01,9.342709566004671062e-01,3.565638507376316935e-01,1.265419055495459189e-02,1.000000000000000000e+00
7.400000000000000000e+01,3.183153300000000213e-02,3.175435863839032313e-02,7.968510198750505813e-01,9.343768209303666694e-01,3.562863406139245015e-01,-3.858718080483949930e-02,1.000000000000000000e+00
7.900000000000000000e+01,3.161939999999999890e-02,3.158612074132478853e-02,7.963529643411986214e-01,9.344809810635761327e-01,3.560130559831425345e-01,-1.663962933760518292e-02,1.000000000000000000e+00
8.400000000000000000e+01,3.131637000000000309e-02,3.143500466915213898e-02,7.959578613672255720e-01,9.345834660602739818e-01,3.557439317356864694e-01,5.931733457606794269e-02,1.000000000000000000e+00
8.900000000000000000e+01,3.111153800000000108e-02,3.129821688784005518e-02,7.956476471041391552e-01,9.346843043590165045e-01,3.554789039941770312e-01,9.333944392002704871e-02,1.000000000000000000e+00
9.400000000000000000e+01,3.182448400000000011e-02,3.117345211860667042e-02,7.954074224127899440e-01,9.347835237937676123e-01,3.552179100829611635e-01,-3.255159406966648405e-01,1.000000000000000000e+00
9.900000000000000000e+01,3.116922100000000043e-02,3.105880745819476069e-02,7.952248984325752668e-01,9.348811516102950581e-01,3.549608884987309754e-01,-5.520677090261986997e-02,1.000000000000000000e+00
1.040000000000000000e+02,3.067336999999999841e-02,3.095271161846514449e-02,7.950899392815619082e-01,9.349772144819741282e-01,3.547077788821785815e-01,1.396708092325730233e-01,1.000000000000000000e+00
