dataset,dataset_name,path,fluence_ratio,n_points,n_resolved,n_unresolved,rms,wrms,dt_i_ps,sigma_irf_ps
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,mdc data\deltak12k_1p0mW.csv,1.0,25,25,0,0.0017771445178521989,0.8885722589260995,-0.7813272366962754,0.9937649410056023
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,mdc data\deltak12k_2p0mW.csv,2.0,25,25,0,0.002560819834002989,1.2804099170014942,-0.7813272366962754,0.9937649410056023
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,mdc data\deltak12k_2p5mW.csv,2.5,25,25,0,0.002491754047762061,1.2458770238810306,-0.7813272366962754,0.9937649410056023
deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,mdc data\deltak12k_3p0mW.csv,3.0,22,21,1,0.004604926315813911,2.3913880840145216,-0.7813272366962754,0.9937649410056023
deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,mdc data\deltak12k_3p5mW.csv,3.5,14,14,0,0.004707191891978511,2.3535959459892557,-0.7813272366962754,0.9937649410056023
deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,mdc data\deltak12k_4p0mW.csv,4.0,9,9,0,0.005882880555450288,2.9414402777251443,-0.7813272366962754,0.9937649410056023
