t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.430550684011884205e-02,5.330775320529937744e+00,5.330775320529937744e+00,5.330775320529937744e+00,8.028791805940278525e-01,9.410059640040764339e-01,-3.423679079940577519e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.311071420294313394e-02,1.184791591566571789e+01,1.185795909341549681e+01,1.063426457585077323e+01,7.674836647972670400e-01,9.464671066550183198e-01,9.709851014715660533e-02
9.000000000000000000e+00,3.398992099999999933e-02,3.140161946119666286e-02,1.183547627826879634e+01,1.184476350968827951e+01,1.090489081083677192e+01,7.199999142989702561e-01,9.550261332693938954e-01,-1.294150769401668233e-01
1.400000000000000000e+01,3.614769899999999841e-02,3.015128206084165610e-02,1.182395683994415769e+01,1.183271785759191097e+01,1.108956741359581066e+01,6.799460375308687965e-01,9.608295792146485104e-01,-2.998208469579171087e-01
1.900000000000000000e+01,3.446519399999999761e-02,2.920130229804732136e-02,1.181310029562096098e+01,1.182148489946634307e+01,1.121953374732000341e+01,6.461704093137775606e-01,9.650229134556740362e-01,-2.631945850976338264e-01
2.400000000000000000e+01,3.116980199999999993e-02,2.846013253811776125e-02,1.180273022339694400e+01,1.181084370143227602e+01,1.131257218440595835e+01,6.177012822673808579e-01,9.681931144893395347e-01,-1.354834730941119336e-01
2.900000000000000000e+01,3.133069000000000132e-02,2.787040961397852651e-02,1.179272278727782641e+01,1.180064235173918519e+01,1.137970138993966884e+01,5.937181570845164735e-01,9.706721784785061757e-01,-1.730140193010737404e-01
3.400000000000000000e+01,2.897216400000000164e-02,2.739401030995775727e-02,1.178298951237151648e+01,1.179077293410808558e+01,1.142815767174194619e+01,5.735279393501144796e-01,9.726621138519594423e-01,-7.890768450211221863e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.700444931649741837e-02,1.177346632937882909e+01,1.178115700927839526e+01,1.146289630373283153e+01,5.565449733208447380e-01,9.742929609865620399e-01,3.279961582487098126e-02
4.400000000000000000e+01,2.710479500000000097e-02,2.668268517755317121e-02,1.176410631805804918e+01,1.177173661383129932e+01,1.148741606040813679e+01,5.422742706198800944e-01,9.756522703750012404e-01,-2.110549112234148816e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.641465310958182253e-02,1.175487476649304774e+01,1.176246839123738042e+01,1.150424445105443105e+01,5.302973960294561362e-01,9.768011797742753854e-01,-1.225444452090888175e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.618973634324940972e-02,1.174574574285184347e+01,1.175331961533766645e+01,1.151523918246214784e+01,5.202605747773574318e-01,9.777836988059689372e-01,-6.859432837529565175e-03
5.900000000000000000e+01,2.625237399999999846e-02,2.599977763413078430e-02,1.173669968543621067e+01,1.174426541441808070e+01,1.152178375894944118e+01,5.118646631523784407e-01,9.786323300465799013e-01,-1.262981829346070811e-02
6.400000000000000000e+01,2.551499000000000128e-02,2.583841689446029696e-02,1.172772169305743795e+01,1.173528678761110555e+01,1.152491896903180724e+01,5.048566853246431174e-01,9.793716098334258602e-01,1.617134472301478415e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.570063384266885187e-02,1.171880030359330505e+01,1.172636916127808071e+01,1.152543386977181861e+01,4.990226885139896207e-01,9.800204153702920529e-01,3.839384213344260166e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.558242407363061147e-02,1.170992661570448945e+01,1.171750132317365178e+01,1.152393025034637297e+01,4.941817090005952706e-01,9.805935124965760030e-01,2.293095368153062058e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.548056458433488325e-02,1.170109365310283067e+01,1.170867462661512803e+01,1.152086919134160858e+01,4.901806748299498140e-01,9.811026208069315580e-01,1.224784292167440808e-01
8.400000000000000000e+01,2.155405300000000010e-02,2.539244085024025196e-02,1.169229590100207439e+01,1.169988239099119198e+01,1.151660521925814251e+01,4.868900988104514216e-01,9.815571632326888230e-01,1.919193925120125932e-01
8.900000000000000000e+01,2.391284700000000096e-02,2.531591721974767173e-02,1.168352896532057805e+01,1.169111944704461159e+01,1.151141167638803608e+01,4.842004385761113916e-01,9.819648041487726298e-01,7.015351098738353830e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.524923840462445918e-02,1.167478931983117008e+01,1.168238179010476152e+01,1.150549975484933185e+01,4.820190198981791907e-01,9.823318425848693858e-01,1.236317202312230135e-01
9.900000000000000000e+01,2.212539300000000014e-02,2.519095368476138505e-02,1.166607411670322314e+01,1.167366631453026748e+01,1.149903289113850313e+01,4.802674357223147839e-01,9.826635041759520517e-01,1.532780342380692384e-01
1.040000000000000000e+02,2.089129400000000122e-02,2.513985796170894668e-02,1.165738104307460787e+01,1.166497060967962440e+01,1.149213772084633511e+01,4.788793471037314231e-01,9.829641610750413649e-01,2.124281980854472729e-01
