t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.582010140045487068e-02,5.254684627056121826e+00,5.254684627056121826e+00,5.254684627056121826e+00,8.060320660678407245e-01,9.404206509773548328e-01,-2.666381799772563066e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.457646067481470048e-02,1.114696629536885730e+01,1.115439752095058346e+01,1.028553674920031291e+01,7.749342704908840362e-01,9.412873234704361991e-01,1.703858337407349322e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.287381571832252714e-02,1.113691871351435658e+01,1.114384392539061785e+01,1.046380819772908843e+01,7.337545846777008274e-01,9.428049766885818750e-01,-5.580526408387360970e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.143760213403613835e-02,1.112740829835154344e+01,1.113396999314781688e+01,1.058820167444615201e+01,6.989995301051331600e-01,9.442014093139730058e-01,-2.355048432981929896e-01
1.900000000000000000e+01,3.446519399999999761e-02,3.022268489810227624e-02,1.111828841652891597e+01,1.112458688038332077e+01,1.067657257497131873e+01,6.696768676207142112e-01,9.454920126726801266e-01,-2.121254550948860618e-01
2.400000000000000000e+01,3.116980199999999993e-02,2.919204801226530158e-02,1.110945691539097702e+01,1.111556585913517559e+01,1.073987467487921244e+01,6.449482718432026918e-01,9.466892881521199454e-01,-9.888769938673491744e-02
2.900000000000000000e+01,3.133069000000000132e-02,2.831521532212288167e-02,1.110084146395685956e+01,1.110681618088622891e+01,1.078524592461103104e+01,6.241052151691004468e-01,9.478035901009439490e-01,-1.507737338938559823e-01
3.400000000000000000e+01,2.897216400000000164e-02,2.756701709448348622e-02,1.109239019341061017e+01,1.109827235876906215e+01,1.081754059024775927e+01,6.065487256629538138e-01,9.488436279598968515e-01,-7.025734527582576383e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.692661255175625087e-02,1.108406551141516694e+01,1.108988633864677453e+01,1.084016421446911060e+01,5.917723544706762207e-01,9.498168200177088405e-01,2.890777758781260670e-02
4.400000000000000000e+01,2.710479500000000097e-02,2.637670729184086668e-02,1.107583990672581820e+01,1.108162242598152503e+01,1.085556180768494272e+01,5.793478224121441089e-01,9.507295508730688738e-01,-3.640438540795671446e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.590292199127375641e-02,1.106769305186629282e+01,1.107345386728699665e+01,1.086551938842499077e+01,5.689129125852486757e-01,9.515873638394112266e-01,-3.784100043631218740e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.549328018764608281e-02,1.105960977839291992e+01,1.106536047547400514e+01,1.087135869001209798e+01,5.601612507324469359e-01,9.523951079473570447e-01,-4.168224061769591066e-02
5.900000000000000000e+01,2.625237399999999846e-02,2.513779076741246704e-02,1.105157865136627571e+01,1.105732694114383463e+01,1.087406754833049405e+01,5.528336749139329820e-01,9.531570523965731123e-01,-5.572916162937657097e-02
6.400000000000000000e+01,2.551499000000000128e-02,2.482810637468193388e-02,1.104359095976571581e+01,1.104934160962737622e+01,1.087438980177011771e+01,5.467109447260433130e-01,9.538769771308591716e-01,-3.434418126590337017e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.455724306452017683e-02,1.103563999763802528e+01,1.104139558269913834e+01,1.087288875623347906e+01,5.416075804508145852e-01,9.545582455482579665e-01,-1.877569677399115039e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.431934961149862309e-02,1.102772054931532963e+01,1.103348205148669336e+01,1.086999284861510340e+01,5.373666558769288892e-01,9.552038636091059187e-01,-4.022276942506879810e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.410951724493062137e-02,1.101982851831103183e+01,1.102559579684070812e+01,1.086602900604222555e+01,5.338553963805202640e-01,9.558165284256836536e-01,5.392606224653099384e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.392362241226063738e-02,1.101196065769195087e+01,1.101773281266220117e+01,1.086124731318710523e+01,5.309614571823213502e-01,9.563986686038580265e-01,1.184784706130318638e-01
8.900000000000000000e+01,2.391284700000000096e-02,2.375819660629099189e-02,1.100411437240225254e+01,1.100989002048735443e+01,1.085583942769705956e+01,5.285897762837012959e-01,9.569524780350978643e-01,-7.732519685450453539e-03
9.400000000000000000e+01,2.277660399999999891e-02,2.361031842593587851e-02,1.099628757287164760e+01,1.100206505238027610e+01,1.084995243190106962e+01,5.266599130551536945e-01,9.574799444277871663e-01,4.168572129679398025e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.347752394334396558e-02,1.098847856542202273e+01,1.099425608529513987e+01,1.084369931301140966e+01,5.251037973183929619e-01,9.579828735690207875e-01,6.760654716719827206e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.335773217387051431e-02,1.098068596929639007e+01,1.098646171442151243e+01,1.083716692856968500e+01,5.238638254491951862e-01,9.584629100884218822e-01,1.233219086935256475e-01
