t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,2.929527642475460852e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-5.866315687622698505e-01
4.000000000000000000e+00,3.618171260000000583e-02,2.929527642531593035e-02,4.019236759311415774e+00,4.000002191091994064e+00,4.011645997496826155e+00,8.563487698185431318e-01,2.631174056892001123e-01,-3.443218087342037603e-01
9.000000000000000000e+00,3.513934160000000556e-02,2.929527642684762179e-02,4.012983425859844466e+00,4.000003601850528057e+00,4.013011735631013543e+00,8.563487090596044737e-01,2.631174054083901259e-01,-2.922032586576192026e-01
1.400000000000000000e+01,3.343314040000000542e-02,2.929527642902069601e-02,4.011344075254386077e+00,4.000004741009000497e+00,4.012355161413192484e+00,8.563486631642179825e-01,2.631174050099929218e-01,-2.068931985489654568e-01
1.900000000000000000e+01,3.449193550000000108e-02,2.929527643174401758e-02,4.010406177553685225e+00,4.000005770861937648e+00,4.011479116669668166e+00,8.563486222803944337e-01,2.631174045107175230e-01,-2.598329534127991614e-01
2.400000000000000000e+01,3.245922019999999963e-02,2.929527643496593337e-02,4.009618670852722389e+00,4.000006719360619023e+00,4.010630583194787491e+00,8.563485847128241568e-01,2.631174039200323000e-01,-1.581971882517033134e-01
2.900000000000000000e+01,3.315278450000000432e-02,2.929527643864322795e-02,4.008900821058145603e+00,4.000007595304470698e+00,4.009839765714980686e+00,8.563485500300691555e-01,2.631174032458621914e-01,-1.928754030678388187e-01
3.400000000000000000e+01,3.293628800000000106e-02,2.929527644273653697e-02,4.008237800777370019e+00,4.000008404462280787e+00,4.009106919372903199e+00,8.563485179922531998e-01,2.631174024954214263e-01,-1.820505778631731908e-01
3.900000000000000000e+01,3.273942870000000338e-02,2.929527644720957696e-02,4.007624227787538906e+00,4.000009151846803945e+00,4.008428406991840554e+00,8.563484883994116892e-01,2.631174016753647371e-01,-1.722076126395213069e-01
4.400000000000000000e+01,3.044851920000000295e-02,2.929527645202878450e-02,4.007056274917372818e+00,4.000009842055817444e+00,4.007800314227622174e+00,8.563484610693894439e-01,2.631174007918437030e-01,-5.766213739856092257e-02
4.900000000000000000e+01,3.182051730000000356e-02,2.929527645716312190e-02,4.006530554142472056e+00,4.000010479341987946e+00,4.007218935022663686e+00,8.563484358338752100e-01,2.631173998505477729e-01,-1.262620421418440830e-01
5.400000000000000000e+01,2.868011300000000360e-02,2.929527646258391765e-02,4.006043945667593142e+00,4.000011067643439944e+00,4.006680821935810322e+00,8.563484125370307565e-01,2.631173988567352406e-01,3.075817312919570251e-02
5.900000000000000000e+01,2.768390020000000354e-02,2.929527646826465825e-02,4.005593559600876041e+00,4.000011610607351997e+00,4.006182776979515303e+00,8.563483910345282002e-01,2.631173978152664961e-01,8.056881341323272883e-02
6.400000000000000000e+01,2.814846210000000043e-02,2.929527647418082859e-02,4.005176717031349476e+00,4.000012111611274790e+00,4.005721835239268280e+00,8.563483711927101227e-01,2.631173967306347228e-01,5.734071870904140777e-02
6.900000000000000000e+01,2.812339970000000272e-02,2.929527648030979398e-02,4.004790934704725913e+00,4.000012573782783853e+00,4.005295248494440408e+00,8.563483528878075290e-01,2.631173956069917108e-01,5.859383901548956275e-02
7.400000000000000000e+01,2.693491679999999999e-02,2.929527648663061978e-02,4.004433911048292494e+00,4.000013000017768938e+00,4.004900469787503248e+00,8.563483360052188686e-01,2.631173944481736693e-01,1.180179843315309896e-01
7.900000000000000000e+01,2.714988869999999943e-02,2.929527649312398119e-02,4.004103513182958984e+00,4.000013392997414208e+00,4.004535139017383116e+00,8.563483204388370185e-01,2.631173932577242636e-01,1.072693896561990878e-01
8.400000000000000000e+01,2.622088040000000383e-02,2.929527649977201748e-02,4.003797764824616578e+00,4.000013755203947419e+00,4.004197069513859120e+00,8.563483060904277799e-01,2.631173920389173193e-01,1.537198049886006890e-01
8.900000000000000000e+01,2.627215250000000321e-02,2.929527650655824184e-02,4.003514835015499429e+00,4.000014088935267331e+00,4.003884235535419833e+00,8.563482928690500096e-01,2.631173907947753077e-01,1.511562003279119382e-01
9.400000000000000000e+01,2.612423770000000395e-02,2.929527651346743727e-02,4.003253027633537187e+00,4.000014396318483989e+00,4.003594760633313321e+00,8.563482806905212685e-01,2.631173895280899400e-01,1.585519406733716663e-01
9.900000000000000000e+01,2.723246790000000486e-02,2.929527652048553865e-02,4.003010771630756359e+00,4.000014679322560163e+00,4.003326906827011200e+00,8.563482694769170012e-01,2.631173882414383769e-01,1.031404310242766825e-01
1.040000000000000000e+02,2.733297930000000084e-02,2.929527652759957024e-02,4.002786611954086027e+00,4.000014939769943823e+00,4.003079064538771270e+00,8.563482591561099033e-01,2.631173869371984941e-01,9.811486137997846302e-02
