scan_param,scan_value,mode,reoptimize_readout,total_cost,total_wrms,wrms_1p0,wrms_2p0,wrms_2p5,S_scale,A_obs,B_obs,B0_obs
K_dk,0.04,dk_chi2q,False,3107.3831506738525,9.102941869782322,10.12258184239167,8.993870244634321,8.076774536946788,0.003,0.04,0.02,0.02
K_dk,0.06,dk_chi2q,False,1233.978278282053,5.73638278193277,6.557921128857127,5.579235858090096,4.958231536551633,0.003,0.04,0.02,0.02
K_dk,0.08,dk_chi2q,False,361.31695517858714,3.104048776157089,3.202132133910282,2.8369433196146687,3.2562952588117464,0.003,0.04,0.02,0.02
K_dk,0.1,dk_chi2q,False,489.3991813634555,3.6125676237765867,2.051493399464835,3.413330615812444,4.826228698288768,0.003,0.04,0.02,0.02
K_dk,0.12,dk_chi2q,False,1618.224956836657,6.569068846925277,4.9871088244985815,6.475770860878811,7.915246924571201,0.003,0.04,0.02,0.02
K_dk,0.16,dk_chi2q,False,6878.107155648063,13.543123377466577,12.096258753392721,13.511172580831799,14.878753715072847,0.003,0.04,0.02,0.02
K_dk,0.24,dk_chi2q,False,29406.794144730877,28.003235120121808,26.64034102942583,27.999474697025803,29.306401657401967,0.003,0.04,0.02,0.02
K_dk,0.32,dk_chi2q,False,67947.37792242704,42.566771993321126,41.236131404488695,42.571171510774846,43.852788472183796,0.003,0.04,0.02,0.02
S_scale,0.0005,dk_chi2q,False,360.4917995193381,3.1005023228259345,3.197220422071098,2.831396082661839,3.255813532333471,0.0005,0.04,0.02,0.02
S_scale,0.001,dk_chi2q,False,360.65674214675334,3.101211557426133,3.1982101280234025,2.8325108238781476,3.255898306360617,0.001,0.04,0.02,0.02
S_scale,0.002,dk_chi2q,False,360.9869601802769,3.102630970344478,3.2001766295005187,2.8347333047796788,3.256088672808794,0.002,0.04,0.02,0.02
S_scale,0.003,dk_chi2q,False,361.31695517858714,3.104048776157089,3.202132133910282,2.8369433196146687,3.2562952588117464,0.003,0.04,0.02,0.02
S_scale,0.005,dk_chi2q,False,361.9753863631536,3.106875757040197,3.2060128500755054,2.8413275737239876,3.2567422576861644,0.005,0.04,0.02,0.02
S_scale,0.008,dk_chi2q,False,362.95845351975584,3.1110917848659105,3.211770377879908,2.8478128146015687,3.257479009041304,0.008,0.04,0.02,0.02
G_es0,30000000000000.0,dk_chi2q,False,361.32145746256543,3.1040681155007555,3.2020925300143666,2.8369556848461466,3.25637873541309,0.003,0.04,0.02,0.02
G_es0,50000000000000.0,dk_chi2q,False,361.32016518555315,3.1040625645995092,3.2021038920938856,2.836952126713389,3.256354788689006,0.003,0.04,0.02,0.02
G_es0,100000000000000.0,dk_chi2q,False,361.31695517858714,3.104048776157089,3.202132133910282,2.8369433196146687,3.2562952588117464,0.003,0.04,0.02,0.02
G_es0,200000000000000.0,dk_chi2q,False,361.31061925297155,3.1040215602901196,3.2021879434781972,2.8369260632390465,3.2561775790941754,0.003,0.04,0.02,0.02
G_es0,300000000000000.0,dk_chi2q,False,361.30438735158987,3.1039947910247956,3.202242901191137,2.83690924793308,3.2560616254748513,0.003,0.04,0.02,0.02
G_es0,500000000000000.0,dk_chi2q,False,361.2922025694562,3.103942450366227,3.202350456755367,2.836876793355205,3.255834427147345,0.003,0.04,0.02,0.02
tau_e_sink,3e-14,dk_chi2q,False,361.32124779537037,3.104067214888107,3.2020966284092065,2.836955394517522,3.256372382802365,0.003,0.04,0.02,0.02
tau_e_sink,1e-13,dk_chi2q,False,361.31695517858714,3.104048776157089,3.202132133910282,2.8369433196146687,3.2562952588117464,0.003,0.04,0.02,0.02
tau_e_sink,3e-13,dk_chi2q,False,361.3055726576901,3.103999882550213,3.202223974632212,2.836911302535355,3.256093010104755,0.003,0.04,0.02,0.02
tau_e_sink,1e-12,dk_chi2q,False,361.2666736167023,3.1038327859457993,3.2025208600515183,2.836801037337152,3.2554191596219875,0.003,0.04,0.02,0.02
tau_e_sink,3e-12,dk_chi2q,False,361.1624246269145,3.1033849245704364,3.20322093891503,2.8365005500133584,3.253710837862423,0.003,0.04,0.02,0.02
tau_l_sink,2e-11,dk_chi2q,False,360.71982658354636,3.1014827704762826,3.198630082231451,2.832948014473465,3.255880414115141,0.003,0.04,0.02,0.02
tau_l_sink,3e-11,dk_chi2q,False,360.91911632842744,3.102339402573172,3.199800677198498,2.834284199995234,3.2560156642945697,0.003,0.04,0.02,0.02
tau_l_sink,5e-11,dk_chi2q,False,361.31695517858714,3.104048776157089,3.202132133910282,2.8369433196146687,3.2562952588117464,0.003,0.04,0.02,0.02
tau_l_sink,7e-11,dk_chi2q,False,361.7137626462943,3.1057527810877854,3.2044520484579557,2.839583918333456,3.256585827454755,0.003,0.04,0.02,0.02
tau_l_sink,1e-10,dk_chi2q,False,362.30697764457153,3.1082984740618524,3.2079111346798723,2.843510170982227,3.2570407229697396,0.003,0.04,0.02,0.02
