scan_param,scan_value,mode,reoptimize_readout,total_cost,total_wrms,wrms_1p0,wrms_2p0,wrms_2p5,S_scale,A_obs,B0_obs
tau_e_sink,1e-13,raw_m_chi2q,False,3.489117865668599,0.32516279678677873,0.18416012475356106,0.30070316410387976,0.43915280801933615,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_e_sink,2e-13,raw_m_chi2q,False,3.458937479654262,0.323753435908023,0.18311102678676597,0.29920289211316375,0.4374892490187226,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_e_sink,5e-13,raw_m_chi2q,False,3.3783055669744577,0.31995764714868585,0.180312589192535,0.29516396148971685,0.4329945656970188,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_e_sink,1e-12,raw_m_chi2q,False,3.2617010491065126,0.31438738163371055,0.1762711588328329,0.28923285988137365,0.4263696852733236,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_e_sink,3e-12,raw_m_chi2q,False,2.910029409207696,0.2969557363815863,0.16403151770100022,0.27061839989765074,0.4054719114159847,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,1e-12,raw_m_chi2q,False,4.419375885990733,0.36595147409685147,0.21271582997337452,0.34407312193689804,0.48798269090236246,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,3e-12,raw_m_chi2q,False,4.314141250428563,0.36156818588378287,0.2102832937747711,0.3395303111145702,0.48238445593068796,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,1e-11,raw_m_chi2q,False,3.9442820054108276,0.34572199399757814,0.20085513141154987,0.32319493709702596,0.46235629142630125,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,3e-11,raw_m_chi2q,False,3.048032685443335,0.30391549291146086,0.1752149143573606,0.2796957297521402,0.41007793532450537,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,1e-10,raw_m_chi2q,False,1.8046308833338331,0.23384991841659789,0.13505365749535225,0.20758853628459514,0.3205071952869325,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,3e-10,raw_m_chi2q,False,0.6763055017862525,0.14315762681301658,0.11263318310253828,0.15505648152374962,0.1573326792051478,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_s_sink,1e-09,raw_m_chi2q,False,0.31985363011321805,0.09845066909805689,0.10324165958241378,0.09336499634114248,0.09849741073983982,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_l_sink,2e-10,raw_m_chi2q,False,0.6103261492589657,0.1359953374043619,0.12035355907106404,0.15363408777838455,0.1318930751730743,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_l_sink,5e-10,raw_m_chi2q,False,0.3308717311731486,0.10013199336953209,0.10594226385481514,0.09518243416806212,0.0989736795498041,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_l_sink,1e-09,raw_m_chi2q,False,0.30310568081170564,0.09583851329532271,0.09813984968192499,0.08226008898440308,0.1056262730416088,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_l_sink,3e-09,raw_m_chi2q,False,0.7971456377667443,0.15542177587833073,0.1127513740191027,0.1896677699599641,0.15421105649965813,0.049678444824816766,0.046276220213400665,0.023127014171826915
tau_l_sink,1e-08,raw_m_chi2q,False,1.9975653842440506,0.246033096088782,0.1946505205747339,0.29827254880660264,0.23396904620375203,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_es0,100000000000000.0,raw_m_chi2q,False,2.3250643146303887,0.2654364224870789,0.14304655041155018,0.23693021652373245,0.36711202658260905,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_es0,300000000000000.0,raw_m_chi2q,False,1.2110222414751843,0.191566290565606,0.1165658016179927,0.17743830825176746,0.2549921404692782,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_es0,1000000000000000.0,raw_m_chi2q,False,1.0093475178856086,0.17488936051337148,0.08955931816069353,0.2180242101395029,0.19027200946530629,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_es0,3000000000000000.0,raw_m_chi2q,False,2.209647304828512,0.25876438943028396,0.08535249061363163,0.33945818985707216,0.2799287720058315,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_es0,1e+16,raw_m_chi2q,False,2.5534109235378724,0.2781655776548506,0.08817137938257745,0.3705344381056677,0.2950564417389678,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_el0,10000000000000.0,raw_m_chi2q,False,0.6120360918038625,0.13618571230669055,0.08759333626311748,0.1788736469529154,0.12637749236910129,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_el0,30000000000000.0,raw_m_chi2q,False,0.6015971079270634,0.13501931488394242,0.08823894994257112,0.17600287986268007,0.12620427951643728,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_el0,100000000000000.0,raw_m_chi2q,False,0.4701759007034092,0.11936395840776216,0.09223525780651376,0.1403873640216621,0.12052928665152382,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_el0,300000000000000.0,raw_m_chi2q,False,0.3132768040604904,0.09743324117918652,0.1023483667427131,0.09192929504822785,0.09774214033404195,0.049678444824816766,0.046276220213400665,0.023127014171826915
G_el0,500000000000000.0,raw_m_chi2q,False,0.6468088550379215,0.14000095833415738,0.10901425300225111,0.14716353544081456,0.15893266335894807,0.049678444824816766,0.046276220213400665,0.023127014171826915
