t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.084549800000000092e-02,3.398863438185848601e-02,4.575871169567108154e+00,4.575871169567108154e+00,4.575871169567108154e+00,8.336317664465885402e-01,9.351990089966700781e-01,3.541225968102660326e-01,-3.428431809070757175e-01
4.000000000000000000e+00,4.011164600000000080e-02,3.392904086685463033e-02,2.251311678382949708e+02,5.879823350693865969e+00,2.218082769611107352e+01,8.305245100765843436e-01,9.352445800180363422e-01,3.540022253417155484e-01,-3.091302566572685095e-01
9.000000000000000000e+00,3.731283500000000253e-02,3.369242868688230447e-02,1.212919608512055305e+02,7.062914821907136265e+00,2.576658002853617191e+01,8.182053271618150436e-01,9.354316867593566176e-01,3.535075096890373803e-01,-1.810203156558848891e-01
1.400000000000000000e+01,3.648607400000000028e-02,3.338268290273238570e-02,3.675104237746801772e+01,7.550007697792151973e+00,2.627661957515985947e+01,8.021333139251114464e-01,9.356939347924991823e-01,3.528127837714080672e-01,-1.551695548633807153e-01
1.900000000000000000e+01,3.665752700000000225e-02,3.308325383867773833e-02,1.545153271444271503e+01,7.655329062777867399e+00,2.549502444537584367e+01,7.867108575186965158e-01,9.359762765699368714e-01,3.520630763063304913e-01,-1.787136580661131957e-01
2.400000000000000000e+01,3.462615599999999821e-02,3.281647859474387530e-02,1.513679550294847331e+01,7.719888565866130037e+00,2.459357364157429515e+01,7.731128023676014926e-01,9.362610168696540169e-01,3.513051498202118261e-01,-9.048387026280614587e-02
2.900000000000000000e+01,3.494170299999999757e-02,3.257908505356177375e-02,1.487996820619131277e+01,7.777605308314570642e+00,2.369010677406335574e+01,7.611542874626114896e-01,9.365468020972090857e-01,3.505425615834560915e-01,-1.181308973219111907e-01
3.400000000000000000e+01,3.313903499999999724e-02,3.236741098013713042e-02,1.459454328546206625e+01,7.828772136989393005e+00,2.278248420818099973e+01,7.506309437038899413e-01,9.368329718710798337e-01,3.497770472961320709e-01,-3.858120099314334139e-02
3.900000000000000000e+01,3.381598000000000243e-02,3.217834367267463636e-02,1.428232591746899338e+01,7.873564610842913147e+00,2.186799706705209445e+01,7.413688050172869692e-01,9.371189039045552116e-01,3.490102576497214892e-01,-8.188181636626830351e-02
4.400000000000000000e+01,3.320166499999999826e-02,3.200923998456086522e-02,1.394466162861981395e+01,7.912125254343844283e+00,2.094366032885871576e+01,7.332199007007063063e-01,9.374040087246526820e-01,3.482437715551438551e-01,-5.962125077195665201e-02
4.900000000000000000e+01,3.289055800000000029e-02,3.185785701719796859e-02,1.358236620885286960e+01,7.944564541374691480e+00,2.000618169950963576e+01,7.260584382778876300e-01,9.376877257486230244e-01,3.474791058184292791e-01,-5.163504914010158542e-02
5.400000000000000000e+01,3.244076700000000230e-02,3.172229347090919221e-02,1.319576287895379885e+01,7.970961357323154139e+00,1.905194973916095336e+01,7.197775722016307443e-01,9.379695195160363541e-01,3.467177244659637170e-01,-3.592367645454050407e-02
5.900000000000000000e+01,3.164210900000000160e-02,3.160094005755251928e-02,1.278473749486299482e+01,7.991363229543431146e+00,1.807706929515939720e+01,7.142866699693326549e-01,9.382488760447860177e-01,3.459610478084139129e-01,-2.058447122374115756e-03
6.400000000000000000e+01,3.111267100000000146e-02,3.149243757783060788e-02,1.234883693210585243e+01,8.005786737826507959e+00,1.707750083330578406e+01,7.095089985095460738e-01,9.385252993066717231e-01,3.452104612570745523e-01,1.898832889153032055e-02
6.900000000000000000e+01,3.191779599999999828e-02,3.139564139534116449e-02,1.188746406808765066e+01,8.014218950777305395e+00,1.604941771316438448e+01,7.053797609776744082e-01,9.387983078710325779e-01,3.444673237601585392e-01,-2.610773023294168937e-02
7.400000000000000000e+01,3.183153300000000213e-02,3.130959106263979386e-02,1.140027782172145443e+01,8.016621623284004627e+00,1.499001587269287405e+01,7.018444154254792622e-01,9.390674318727428860e-01,3.437329754270477822e-01,-2.609709686801041373e-02
7.900000000000000000e+01,3.161939999999999890e-02,3.123348369969783378e-02,1.088802009557369921e+01,8.012941696831912708e+00,1.389924400303467245e+01,6.988571981837498059e-01,9.393322106802388660e-01,3.430087432975658102e-01,-1.929581501510825581e-02
8.400000000000000000e+01,3.131637000000000309e-02,3.116664924779157658e-02,1.035419040746592323e+01,8.003135173063180119e+00,1.278333466897143467e+01,6.963797481932022526e-01,9.395921920801278970e-01,3.422959429821803568e-01,-7.486037610421325539e-03
8.900000000000000000e+01,3.111153800000000108e-02,3.110852468177044416e-02,9.808244733305182095e+00,7.987217575936429448e+00,1.166149182283934849e+01,6.943796705264094760e-01,9.398469346437402505e-01,3.415958715218394004e-01,-1.506659114778458042e-04
9.400000000000000000e+01,3.182448400000000011e-02,3.105862247724352695e-02,9.270780731419739240e+00,7.965361104972881634e+00,1.057641405945352275e+01,6.928287776217710858e-01,9.400960163727761776e-01,3.409097827872307751e-01,-3.829307613782365755e-02
9.900000000000000000e+01,3.116922100000000043e-02,3.101648699569975465e-02,8.778342945575825951e+00,7.938049878408729221e+00,9.602889283069396598e+00,6.917006551838975614e-01,9.403390542339239433e-01,3.402388324140108722e-01,-7.636700215012288961e-03
1.040000000000000000e+02,3.067336999999999841e-02,3.098163601583620377e-02,8.377437966981270634e+00,7.906232548194174647e+00,8.832224404734732914e+00,6.909673977291119762e-01,9.405757375113110719e-01,3.395839837286989682e-01,1.541330079181026796e-02
