t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,3.345037658124185714e-02,4.924206078052520752e+00,4.924206078052520752e+00,4.924206078052520752e+00,8.195850137700778637e-01,9.378785082927116878e-01,3.469638362749609684e-01,-3.788765609379074473e-01
4.000000000000000000e+00,3.618171260000000583e-02,3.337164314363247342e-02,3.508875133501969117e+02,6.716276452026583854e+00,2.455450094931361349e+01,8.153801673654154092e-01,9.379360711839013209e-01,3.468081982481204806e-01,-1.405034728183766068e-01
9.000000000000000000e+00,3.513934160000000556e-02,3.302088237250225267e-02,2.430574478233313584e+02,8.655143125276945071e+00,2.960352684749857133e+01,7.966215370571575471e-01,9.381953794324965346e-01,3.461060964668403184e-01,-1.059229613748876447e-01
1.400000000000000000e+01,3.343314040000000542e-02,3.250115750104986406e-02,1.451950268936239183e+02,9.828647096159093266e+00,3.155036189129172897e+01,7.687830706705726103e-01,9.385944549722671226e-01,3.450223892667151904e-01,-4.659914494750706793e-02
1.900000000000000000e+01,3.449193550000000108e-02,3.192277544814282192e-02,6.357415754694147836e+01,1.038501427179652303e+01,3.191566946075809241e+01,7.379669765398028103e-01,9.391001005684526115e-01,3.436437124585901004e-01,-1.284580025928589442e-01
2.400000000000000000e+01,3.245922019999999963e-02,3.136897939853783984e-02,2.297127862058294312e+01,1.054459915951589544e+01,3.132308315012484812e+01,7.088815613494858781e-01,9.396969929434638713e-01,3.420081306826074918e-01,-5.451204007310798960e-02
2.900000000000000000e+01,3.315278450000000432e-02,3.087814277360079185e-02,2.031450661866347218e+01,1.060065565014090794e+01,3.048462137327239319e+01,6.834382201351416608e-01,9.403259775928992648e-01,3.402749709631289754e-01,-1.137320863199606236e-01
3.400000000000000000e+01,3.293628800000000106e-02,3.044755391030469494e-02,2.016025786632605943e+01,1.064707704071710381e+01,2.964882010599083628e+01,6.614267399959585791e-01,9.409712152478181268e-01,3.384865906872004393e-01,-1.244367044847653064e-01
3.900000000000000000e+01,3.273942870000000338e-02,3.006888563897889763e-02,1.998496396829062860e+01,1.068727498901230533e+01,2.882361426750073363e+01,6.423842222233230315e-01,9.416307587538462753e-01,3.366474627390734220e-01,-1.335271530510552807e-01
4.400000000000000000e+01,3.044851920000000295e-02,2.973500271136187562e-02,1.976709687133417148e+01,1.072159072238037858e+01,2.800804231270879541e+01,6.259105649707087382e-01,9.423021796521143800e-01,3.347635019276657964e-01,-3.567582443190636665e-02
4.900000000000000000e+01,3.182051730000000356e-02,2.943991533619268880e-02,1.951229867000595064e+01,1.075029457792985710e+01,2.720108637351019354e+01,6.116649775517175591e-01,9.429822495688551243e-01,3.328430215552993787e-01,-1.190300981903657379e-01
5.400000000000000000e+01,2.868011300000000360e-02,2.917860512463455597e-02,1.922578378068368110e+01,1.077362210326360525e+01,2.640176950238356213e+01,5.993571547009873823e-01,9.436670676413470016e-01,3.308964572931862302e-01,2.492460623172761819e-02
5.900000000000000000e+01,2.768390020000000354e-02,2.894687216354641102e-02,1.891207025326529489e+01,1.079177964848196325e+01,2.560915376661066034e+01,5.887397092871282656e-01,9.443522436669861131e-01,3.289359206306439187e-01,6.314859817732036695e-02
6.400000000000000000e+01,2.814846210000000043e-02,2.874120179139567910e-02,1.857503216735747031e+01,1.080494905029380703e+01,2.482234048917825220e+01,5.796017312075091299e-01,9.450331144471650902e-01,3.269746360167578580e-01,2.963698456978393347e-02
6.900000000000000000e+01,2.812339970000000272e-02,2.855864885423129926e-02,1.821796830763415542e+01,1.081329172003326100e+01,2.404047299282522943e+01,5.717633037197447088e-01,9.457049727483141099e-01,3.250263135795478098e-01,2.176245771156482683e-02
7.400000000000000000e+01,2.693491679999999999e-02,2.839673773400529233e-02,1.784367584779579730e+01,1.081695217701401468e+01,2.326274178630329814e+01,5.650708340965654441e-01,9.463632887536304050e-01,3.231045120381526581e-01,7.309104670026461692e-02
7.900000000000000000e+01,2.714988869999999943e-02,2.825337676852913288e-02,1.745452596021701552e+01,1.081606109429661089e+01,2.248839933786024048e+01,5.593930773861625072e-01,9.470039066544835293e-01,3.212220428008424888e-01,5.517440342645667239e-02
8.400000000000000000e+01,2.622088040000000383e-02,2.812678584395031031e-02,1.705253988103346430e+01,1.081073794566408353e+01,2.171678019198136766e+01,5.546177502766483913e-01,9.476232034648544023e-01,3.193904573637215139e-01,9.529527219751532385e-02
8.900000000000000000e+01,2.627215250000000321e-02,2.801543598606135582e-02,1.663946468845279725e+01,1.080109335334723752e+01,2.094733482598548235e+01,5.506486472434991564e-01,9.482182023577806484e-01,3.176196478767944198e-01,8.716417430306762359e-02
9.400000000000000000e+01,2.612423770000000395e-02,2.791799975493180347e-02,1.621685264040507946e+01,1.078723126157284540e+01,2.017967849256500656e+01,5.474031837790199750e-01,9.487866379893893365e-01,3.159175771823902745e-01,8.968810274658997606e-02
9.900000000000000000e+01,2.723246790000000486e-02,2.783331120099503259e-02,1.578614539749220569e+01,1.076925107338684562e+01,1.941366353395498834e+01,5.448103019623234955e-01,9.493269757523357111e-01,3.142901416031439465e-01,3.004216504975138619e-02
1.040000000000000000e+02,2.733297930000000084e-02,2.776033410075557512e-02,1.534876927929108170e+01,1.074724992431277037e+01,1.864947859148107412e+01,5.428086822255959731e-01,9.498383903056227817e-01,3.127411586306211300e-01,2.136774003777871384e-02
