t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,1.526234811584212259e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.288277984207894189e+00
4.000000000000000000e+00,3.618171260000000583e-02,1.526234811402988820e-02,4.020066345041827027e+00,4.000002085411427544e+00,4.011357140011426736e+00,8.563488381198594013e-01,2.631174057014971090e-01,-1.045968224298505778e+00
9.000000000000000000e+00,3.513934160000000556e-02,1.526234810857605463e-02,4.013147344276315032e+00,4.000003528187897395e+00,4.013024439666940779e+00,8.563488367461823403e-01,2.631174054288054065e-01,-9.938496745711976610e-01
1.400000000000000000e+01,3.343314040000000542e-02,1.526234810073686873e-02,4.011411309068182440e+00,4.000004676285247029e+00,4.012406002575784392e+00,8.563488347787873156e-01,2.631174050368461637e-01,-9.085396149631568274e-01
1.900000000000000000e+01,3.449193550000000108e-02,1.526234809086649685e-02,4.010456633226567646e+00,4.000005711520706164e+00,4.011531645443772831e+00,8.563488323104132549e-01,2.631174045433274933e-01,-9.614793704566751975e-01
2.400000000000000000e+01,3.245922019999999963e-02,1.526234807915777952e-02,4.009663742498677408e+00,4.000006664599332851e+00,4.010679978230736964e+00,8.563488293925727302e-01,2.631174039578916268e-01,-8.598436060421109639e-01
2.900000000000000000e+01,3.315278450000000432e-02,1.526234806577029396e-02,4.008942320679273585e+00,4.000007544727218978e+00,4.009885601661213883e+00,8.563488260680722775e-01,2.631174032885173486e-01,-8.945218217114855319e-01
3.400000000000000000e+01,3.293628800000000106e-02,1.526234805084905437e-02,4.008276188084781921e+00,4.000008357750682642e+00,4.009149366423726768e+00,8.563488223757699247e-01,2.631174025424554141e-01,-8.836969974575472619e-01
3.900000000000000000e+01,3.273942870000000338e-02,1.526234803452779926e-02,4.007659759133463062e+00,4.000009108712636596e+00,4.008467701821173179e+00,8.563488183514393892e-01,2.631174017263925857e-01,-8.738540332736102201e-01
4.400000000000000000e+01,3.044851920000000295e-02,1.526234801693014329e-02,4.007089164445184259e+00,4.000009802232987965e+00,4.007836687368015127e+00,8.563488140280800520e-01,2.631174008465098635e-01,-7.593085591534929346e-01
4.900000000000000000e+01,3.182051730000000356e-02,1.526234799817039606e-02,4.006560997195837359e+00,4.000010442584147619e+00,4.007252601821620352e+00,8.563488094361324521e-01,2.631173999085225090e-01,-8.279084650914803056e-01
5.400000000000000000e+01,2.868011300000000360e-02,1.526234797835422131e-02,4.006072122953035830e+00,4.000011033722445042e+00,4.006711982302153530e+00,8.563488046036722423e-01,2.631173989177137407e-01,-6.708882510822891110e-01
5.900000000000000000e+01,2.768390020000000354e-02,1.526234795757931001e-02,4.005619638612561317e+00,4.000011579311908427e+00,4.006211616288116062e+00,8.563487995565822741e-01,2.631173978789681511e-01,-6.210776121210346279e-01
6.400000000000000000e+01,2.814846210000000043e-02,1.526234793593593542e-02,4.005200853039527331e+00,4.000012082745705300e+00,4.005748525334828614e+00,8.563487943187226836e-01,2.631173967967994631e-01,-6.443057082032032090e-01
6.900000000000000000e+01,2.812339970000000272e-02,1.526234791350753427e-02,4.004813271630921712e+00,4.000012547165913368e+00,4.005319948650437389e+00,8.563487889120751095e-01,2.631173956753793952e-01,-6.430525893246233915e-01
7.400000000000000000e+01,2.693491679999999999e-02,1.526234789037120114e-02,4.004454582275304375e+00,4.000012975481841870e+00,4.004923327603623129e+00,8.563487833568873553e-01,2.631173945185627527e-01,-5.836284454814398837e-01
7.900000000000000000e+01,2.714988869999999943e-02,1.526234786659813603e-02,4.004122642309116742e+00,4.000013370387120126e+00,4.004556291256409217e+00,8.563487776718016198e-01,2.631173933299094658e-01,-5.943770416700931980e-01
8.400000000000000000e+01,2.622088040000000383e-02,1.526234784225413005e-02,4.003815466366509312e+00,4.000013734375512442e+00,4.004216642881340604e+00,8.563487718739726251e-01,2.631173921127091253e-01,-5.479266278872936269e-01
8.900000000000000000e+01,2.627215250000000321e-02,1.526234781739993149e-02,4.003531215062388959e+00,4.000014069755574830e+00,4.003902347405539075e+00,8.563487659791859663e-01,2.631173908699992459e-01,-5.504902341300035307e-01
9.400000000000000000e+01,2.612423770000000395e-02,1.526234779209163957e-02,4.003268184456483247e+00,4.000014378664341841e+00,4.003611519724373125e+00,8.563487600019538126e-01,2.631173896045846394e-01,-5.430944953954182086e-01
9.900000000000000000e+01,2.723246790000000486e-02,1.526234776638102711e-02,4.003024796249285089e+00,4.000014663079922705e+00,4.003342413829698465e+00,8.563487539556156047e-01,2.631173883190540130e-01,-5.985060066809488877e-01
1.040000000000000000e+02,2.733297930000000084e-02,1.526234774031591003e-02,4.002799588663181751e+00,4.000014924833256380e+00,4.003093412700291509e+00,8.563487478524227647e-01,2.631173870157981765e-01,-6.035315779842045369e-01
