dataset,fluence_ratio,n_points,A_obs,B_obs,readout_source,rms_raw,rms,wrms_raw_if_sigma,wrms_if_sigma,offset_pre0,offset_npts,offset_apply_to,dt_i_ps,sigma_irf_ps,y_column
deltak12k_1p0mW.csv,1.0,25,0.15,-0.005536323116172037,json_best_local_params,0.000895805619542566,0.0005829356035194906,,,0.0017004664620211708,4,pre0_only,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,25,0.10395531901768315,0.007855918758186071,json_best_local_params,0.001637122675089765,0.0010141717204447374,,,0.0032128904186332265,4,pre0_only,0.5146593205424301,0.2,delta_k
deltak12k_2p5mW.csv,2.5,25,0.07016696090908581,0.01641850808136575,json_best_local_params,0.002376111840914651,0.0013947098277102515,,,0.0048092956715506,4,pre0_only,0.5146593205424301,0.2,delta_k
deltak12k_3p0mW.csv,3.0,22,0.04385162366543475,0.019972611912734115,fitted_AB_missing_json_local,0.003738347319519035,0.0035402783710843204,,,0.0028158805996050962,4,pre0_only,0.5146593205424301,0.2,delta_k
deltak12k_3p5mW.csv,3.5,14,0.0406271231476757,0.020557792969888244,fitted_AB_missing_json_local,0.0025115138787657376,0.0023699421795633684,,,0.0017958344766552507,3,pre0_only,0.5146593205424301,0.2,delta_k
deltak12k_4p0mW.csv,4.0,9,0.028806237036655004,0.017960881584009034,fitted_AB_missing_json_local,0.003265499111325654,0.0026248936835731847,,,0.004120725564997997,2,pre0_only,0.5146593205424301,0.2,delta_k
