t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.488254636536473191e-02,5.895349919795989990e+00,5.895349919795989990e+00,5.895349919795989990e+00,7.790870760149989360e-01,9.453488455368922461e-01,-3.135159317317632310e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.481657456987631571e-02,4.311614872858258991e+02,7.294235119446046411e+00,2.272615307110997307e+01,7.750393999239882925e-01,9.453959272974311601e-01,1.823915284938157078e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.457661101501984663e-02,3.664532181786643719e+02,8.768400324176683469e+00,2.728922963391636358e+01,7.603139372666188889e-01,9.455708338264791069e-01,2.933450075099236498e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.420191895146806882e-02,3.054506820786864409e+02,9.965073096343518344e+00,2.987556603905533237e+01,7.373004427753475643e-01,9.458541764814500930e-01,-9.728900242659647979e-02
1.900000000000000000e+01,3.446519399999999761e-02,3.372317642428714068e-02,2.486259914433678091e+02,1.090693944049703923e+01,3.152007493684542538e+01,7.084486710437716273e-01,9.463278917050417238e-01,-3.710087878564284625e-02
2.400000000000000000e+01,3.116980199999999993e-02,3.304279028520022005e-02,1.963420418242292556e+02,1.162924211525292506e+01,3.254470931045812421e+01,6.759577132700361757e-01,9.484279665323060993e-01,9.364941426001099911e-02
2.900000000000000000e+01,3.133069000000000132e-02,3.156386495197692488e-02,1.489508815890791027e+02,1.216502990533067141e+01,3.310505365155005109e+01,6.417397244587526028e-01,9.587961411241942011e-01,1.165874759884617806e-02
3.400000000000000000e+01,2.897216400000000164e-02,2.913989566356006006e-02,1.069844421279865117e+02,1.254211643672161003e+01,3.330267886646912956e+01,6.074831387538965899e-01,9.768577460233347498e-01,8.386583178002920969e-03
3.900000000000000000e+01,2.634845699999999874e-02,2.714555485488619191e-02,7.153082069962019318e+01,1.279957447857882613e+01,3.321316662980733980e+01,5.745566344482017085e-01,9.885124616028120315e-01,3.985489274430965845e-02
4.400000000000000000e+01,2.710479500000000097e-02,2.591839253876116606e-02,4.486910695856331444e+01,1.297654211770214516e+01,3.290228983055426681e+01,5.438465495252752246e-01,9.938300625129343757e-01,-5.932012306194174578e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.514786106056111914e-02,2.994284242728753043e+01,1.310580905443436528e+01,3.244453561878248848e+01,5.157665370198333266e-01,9.964091672023640545e-01,-7.559404697194405109e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.461681612870714186e-02,2.500571882566347170e+01,1.321365752774949343e+01,3.192060757920972947e+01,4.903203690582239038e-01,9.978421548315642431e-01,-8.550544356464295781e-02
5.900000000000000000e+01,2.625237399999999846e-02,2.421938540998922612e-02,2.396050579814031423e+01,1.331368300407802963e+01,3.138047977105972208e+01,4.672496342387128521e-01,9.987230491119867271e-01,-1.016494295005386100e-01
6.400000000000000000e+01,2.551499000000000128e-02,2.390832199528198504e-02,2.374716591017421408e+01,1.340964052815824381e+01,3.083989975620191970e+01,4.462272858804001152e-01,9.992839524519623318e-01,-8.033340023590081203e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.366382226475128789e-02,2.365937201270545387e+01,1.350217382605859129e+01,3.030237442906595646e+01,4.269515008217815710e-01,9.996308393210712184e-01,-6.344673676243559046e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.347719834930209540e-02,2.356894615494871559e+01,1.359126399511531780e+01,2.976875749411212979e+01,4.091643640390782988e-01,9.998289634914989676e-01,-8.233033253489517589e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.334223662488144058e-02,2.345549247737588772e+01,1.367674728515515703e+01,2.923936868211069395e+01,3.926504129943012011e-01,9.999298492180269671e-01,1.556203124407195409e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.325116603575523230e-02,2.331794807580511630e+01,1.375843801859464044e+01,2.871439665888664550e+01,3.772317007634042318e-01,9.999747099398159644e-01,8.485565178776161011e-02
8.900000000000000000e+01,2.391284700000000096e-02,2.319420552169924529e-02,2.315850163113077542e+01,1.383617576428420470e+01,2.819397779939784954e+01,3.627625115580908055e-01,9.999919899003723023e-01,-3.593207391503778353e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.316119393390097744e-02,2.297963566575711170e+01,1.390984868253790196e+01,2.767821581988580348e+01,3.491243201404142238e-01,9.999977621416334950e-01,1.922949669504892684e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.314340660395470053e-02,2.278360879692462504e+01,1.397940226144142173e+01,2.716719106627266100e+01,3.362211820757290415e-01,9.999994450025169179e-01,5.090068019773501956e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.313445242940734628e-02,2.257240267434933756e+01,1.404483765354607350e+01,2.666096896606041611e+01,3.239756618475690408e-01,9.999998769244093921e-01,1.121579214703672528e-01
