dataset_name,path,fluence_ratio,n_points,rms,wrms,dt_local_ps,A_obs,B_obs,B_eff_obs,B0_obs,B1_obs,wall_time_sec,avg_wall_time_sec
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,1.0,22,0.0015567306954384669,0.07783653477192334,-0.5497059519912699,0.05786051017965367,0.01911589729750227,0.01911589729750227,0.0232,0.0,2.145278299925849,2.1849900139010665
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,2.0,22,0.0014263422462881237,0.07131711231440618,-0.81080659144655,0.043599950232907,0.02355432985269584,0.02355432985269584,0.0232,0.0,2.1006583999842405,2.2020574888916196
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,2.5,22,0.0020164069904026333,0.10082034952013166,-0.15582816658769177,0.04212227399267145,0.023706366627460323,0.023706366627460323,0.0232,0.0,2.075338799972087,2.1867307569498533
