t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,4.074300899999999670e-02,3.449806403972063840e-02,8.257389145570068756e-01,9.367102205753325972e-01,3.501056450126328046e-01,-3.122472480139679263e+00,1.000000000000000000e+00
-1.100000000000000000e+01,4.121369099999999674e-02,3.449806730836074004e-02,8.257390510502287118e-01,9.367102081769403954e-01,3.501056781846204058e-01,-3.357811845819628438e+00,1.000000000000000000e+00
-6.000000000000000000e+00,4.092609299999999672e-02,3.449807706383783978e-02,8.257394559967633496e-01,9.367101711730936309e-01,3.501057771886572079e-01,-3.214007968081078470e+00,1.000000000000000000e+00
-1.000000000000000000e+00,4.084549800000000092e-02,3.449809314396787979e-02,8.257401190710826899e-01,9.367101101789550022e-01,3.501059403788088220e-01,-3.173702428016060395e+00,1.000000000000000000e+00
4.000000000000000000e+00,4.011164600000000080e-02,3.444186420194032816e-02,8.237436768589633251e-01,9.369231962702075922e-01,3.495352976321819960e-01,-2.834890899029836042e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.731283500000000253e-02,3.438073937550732706e-02,8.215986167634328208e-01,9.371543867517810877e-01,3.489149687128556554e-01,-1.466047812246337623e+00,1.000000000000000000e+00
1.400000000000000000e+01,3.648607400000000028e-02,3.432047557322379094e-02,8.194976899695457506e-01,9.373818629085790555e-01,3.483033779480782521e-01,-1.082799213388104587e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.665752700000000225e-02,3.426105743559832578e-02,8.174400169798697879e-01,9.376057023485859787e-01,3.477003694611423001e-01,-1.198234782200838122e+00,1.000000000000000000e+00
2.400000000000000000e+01,3.462615599999999821e-02,3.420246996667642564e-02,8.154247356921177081e-01,9.378259805578740282e-01,3.471057910647156741e-01,-2.118430166617862875e-01,1.000000000000000000e+00
2.900000000000000000e+01,3.494170299999999757e-02,3.414469852315574899e-02,8.134510010575831673e-01,9.380427709725001062e-01,3.465194941503778048e-01,-3.985022384221242886e-01,1.000000000000000000e+00
3.400000000000000000e+01,3.313903499999999724e-02,3.408772880389461524e-02,8.115179847462399287e-01,9.382561450475058740e-01,3.459413335821458491e-01,4.743469019473089965e-01,1.000000000000000000e+00
3.900000000000000000e+01,3.381598000000000243e-02,3.403154683979655454e-02,8.096248748183595412e-01,9.384661723231600972e-01,3.453711675938173631e-01,1.077834198982760561e-01,1.000000000000000000e+00
4.400000000000000000e+01,3.320166499999999826e-02,3.397613898405600630e-02,8.077708754025368920e-01,9.386729204885653211e-01,3.448088576899782098e-01,3.872369920280039901e-01,1.000000000000000000e+00
4.900000000000000000e+01,3.289055800000000029e-02,3.392149190274904025e-02,8.059552063799899635e-01,9.388764554427552200e-01,3.442542685505121658e-01,5.154669513745199216e-01,1.000000000000000000e+00
5.400000000000000000e+01,3.244076700000000230e-02,3.386759256575615218e-02,8.041771030750157756e-01,9.390768413533930881e-01,3.437072679384801099e-01,7.134127828780749692e-01,1.000000000000000000e+00
5.900000000000000000e+01,3.164210900000000160e-02,3.381442823800213243e-02,8.024358159514849431e-01,9.392741407131832698e-01,3.431677266112174163e-01,1.086159619001065391e+00,1.000000000000000000e+00
6.400000000000000000e+01,3.111267100000000146e-02,3.376198647100096123e-02,8.007306103152551646e-01,9.394684143940962295e-01,3.426355182345268147e-01,1.324657735500479827e+00,1.000000000000000000e+00
6.900000000000000000e+01,3.191779599999999828e-02,3.371025509469326165e-02,7.990607660223919551e-01,9.396597216995062896e-01,3.421105192998403766e-01,8.962295473466316276e-01,1.000000000000000000e+00
7.400000000000000000e+01,3.183153300000000213e-02,3.365922220956409777e-02,7.974255771930766068e-01,9.398481204143349643e-01,3.415926090442263363e-01,9.138446047820477647e-01,1.000000000000000000e+00
7.900000000000000000e+01,3.161939999999999890e-02,3.360887617903012686e-02,7.958243519311053449e-01,9.400336668532882634e-01,3.410816693731297811e-01,9.947380895150639279e-01,1.000000000000000000e+00
8.400000000000000000e+01,3.131637000000000309e-02,3.355920562208533631e-02,7.942564120488579960e-01,9.402164159072706751e-01,3.405775847857375749e-01,1.121417811042666690e+00,1.000000000000000000e+00
8.900000000000000000e+01,3.111153800000000108e-02,3.351019940619517218e-02,7.927210927976359178e-01,9.403964210880566554e-01,3.400802423028637667e-01,1.199330703097585493e+00,1.000000000000000000e+00
9.400000000000000000e+01,3.182448400000000011e-02,3.346184664042910206e-02,7.912177426032674932e-01,9.405737345712948949e-01,3.395895313972551732e-01,8.186813202145509782e-01,1.000000000000000000e+00
9.900000000000000000e+01,3.116922100000000043e-02,3.341413666882244587e-02,7.897457228068746060e-01,9.407484072379169726e-01,3.391053439262234903e-01,1.122457834411222599e+00,1.000000000000000000e+00
1.040000000000000000e+02,3.067336999999999841e-02,3.336705906395834309e-02,7.883044074106998478e-01,9.409204887140195650e-01,3.386275740665113387e-01,1.346844531979172199e+00,1.000000000000000000e+00
