t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,4.092496100000000275e-02,3.362539989989817013e-02,8.084361612323361923e-01,9.399728046013758886e-01,3.412493613324772412e-01,-3.649780550050916172e+00,1.000000000000000000e+00
-1.100000000000000000e+01,4.139774499999999968e-02,3.362540489828776125e-02,8.084363716407405587e-01,9.399727861855547983e-01,3.412494120589298907e-01,-3.886170050856119218e+00,1.000000000000000000e+00
-6.000000000000000000e+00,4.110886300000000243e-02,3.362541982306430088e-02,8.084369962432286227e-01,9.399727311974226396e-01,3.412495635239080616e-01,-3.741721588467850523e+00,1.000000000000000000e+00
-1.000000000000000000e+00,4.102790800000000182e-02,3.362544441352480207e-02,8.084380186966222404e-01,9.399726405974471177e-01,3.412498130816521424e-01,-3.701231793237599987e+00,1.000000000000000000e+00
4.000000000000000000e+00,3.618171299999999729e-02,3.351453144532633155e-02,8.054948451864363257e-01,9.403805210217188737e-01,3.401242062584204917e-01,-1.333590777336832733e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.513934199999999702e-02,3.338921181230108254e-02,8.022749448985837528e-01,9.408395485240506062e-01,3.388523925443948648e-01,-8.750650938494571873e-01,1.000000000000000000e+00
1.400000000000000000e+01,3.343314000000000008e-02,3.326595365025292184e-02,7.990997305835557674e-01,9.412891305752615345e-01,3.376014997906085502e-01,-8.359317487353912224e-02,1.000000000000000000e+00
1.900000000000000000e+01,3.449193600000000082e-02,3.314470698919491642e-02,7.959686306441657866e-01,9.417295452073226603e-01,3.363710208736911955e-01,-6.736145054025421963e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.245921999999999696e-02,3.302542351579954710e-02,7.928810804495128872e-01,9.421610596799430137e-01,3.351604654829785646e-01,2.831017578997750417e-01,1.000000000000000000e+00
2.900000000000000000e+01,3.315278499999999712e-02,3.290805650587667192e-02,7.898365222626548832e-01,9.425839309888542905e-01,3.339693594352611816e-01,-1.223642470616626010e-01,1.000000000000000000e+00
3.400000000000000000e+01,3.293628800000000106e-02,3.279256075849768665e-02,7.868344051608936462e-01,9.429984063517029558e-01,3.327972440062395010e-01,-7.186362075115720893e-02,1.000000000000000000e+00
3.900000000000000000e+01,3.273942900000000045e-02,3.267889253339902045e-02,7.838741849569152986e-01,9.434047236667053582e-01,3.316436752952593436e-01,-3.026823330048999949e-02,1.000000000000000000e+00
4.400000000000000000e+01,3.044851900000000028e-02,3.256700949147460500e-02,7.809553241207790597e-01,9.438031119458278884e-01,3.305082236213967017e-01,1.059245245737302277e+00,1.000000000000000000e+00
4.900000000000000000e+01,3.182051699999999955e-02,3.245687063818059048e-02,7.780772917027558577e-01,9.441937917241197686e-01,3.293904729490965133e-01,3.181768190902954374e-01,1.000000000000000000e+00
5.400000000000000000e+01,2.868011300000000013e-02,3.234843626968667007e-02,7.752395632569997197e-01,9.445769754467101542e-01,3.282900203416866947e-01,1.834161634843334943e+00,1.000000000000000000e+00
5.900000000000000000e+01,2.768390000000000087e-02,3.224166792161812373e-02,7.724416207660470546e-01,9.449528678348768640e-01,3.272064754411834753e-01,2.278883960809061193e+00,1.000000000000000000e+00
6.400000000000000000e+01,2.814846199999999909e-02,3.213652832024452288e-02,7.696829525661341709e-01,9.453216662324879227e-01,3.261394599729272592e-01,1.994033160122261839e+00,1.000000000000000000e+00
6.900000000000000000e+01,2.812339999999999979e-02,3.203298133597824726e-02,7.669630532733253681e-01,9.456835609340327187e-01,3.250886072736593468e-01,1.954790667989123598e+00,1.000000000000000000e+00
7.400000000000000000e+01,2.693491699999999919e-02,3.193099193905660910e-02,7.642814237104472719e-01,9.460387354953648797e-01,3.240535618417595964e-01,2.498037469528304744e+00,1.000000000000000000e+00
7.900000000000000000e+01,2.714988899999999997e-02,3.183052615728723667e-02,7.616375708348119833e-01,9.463873670282125783e-01,3.230339789084226143e-01,2.340318578643618252e+00,1.000000000000000000e+00
8.400000000000000000e+01,2.622087999999999849e-02,3.173155103574557684e-02,7.590310076667313721e-01,9.467296264794313743e-01,3.220295240286459304e-01,2.755335517872789186e+00,1.000000000000000000e+00
8.900000000000000000e+01,2.627215299999999948e-02,3.163403459831917036e-02,7.564612532188125238e-01,9.470656788959108674e-01,3.210398726909593492e-01,2.680940799159585275e+00,1.000000000000000000e+00
9.400000000000000000e+01,2.612423800000000101e-02,3.153794581100023003e-02,7.539278324260191289e-01,9.473956836759857003e-01,3.200647099448978294e-01,2.706853905500114621e+00,1.000000000000000000e+00
9.900000000000000000e+01,2.723246799999999926e-02,3.144325454683399856e-02,7.514302760765008138e-01,9.477197948081439449e-01,3.191037300452777004e-01,2.105393273416999556e+00,1.000000000000000000e+00
1.040000000000000000e+02,2.733297900000000030e-02,3.134993155243563645e-02,7.489681207431747589e-01,9.480381610977732798e-01,3.181566361123912001e-01,2.008476276217817880e+00,1.000000000000000000e+00
