t_ps,delta_k_exp,sigma_dk,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.000000000000000000e+00,3.365042806000000108e-02,1.315350091000000031e-04,3.168881241629441931e-02,7.925663846448193217e-01,9.429044452997354941e-01,3.330633678956576582e-01,-3.923231287411163670e+00,1.000000000000000000e+00
4.000000000000000000e+00,3.069150447999999948e-02,2.117202239000000070e-04,3.097546987255234488e-02,7.875132228833086057e-01,9.430008130710515468e-01,3.327904243624440483e-01,5.679307851046907496e-01,1.000000000000000000e+00
9.000000000000000000e+00,2.772133052000000028e-02,8.144286694000000193e-04,2.939898077115322278e-02,7.763530828131337547e-01,9.432190189501205024e-01,3.321714651964738918e-01,2.059910602593556739e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.340437471999999922e-02,2.389143220999999807e-03,2.785946779990705266e-02,7.655196906808325874e-01,9.434476790481131081e-01,3.315214576746555730e-01,1.864724157492044121e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.630221844000000045e-02,8.246247307000000026e-04,2.646340684746132862e-02,7.557764255240618789e-01,9.436726334580802789e-01,3.308805839911004298e-01,1.954688010927103925e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.215985954000000008e-02,8.045975119000000307e-04,2.519838080649861728e-02,7.470292170581102065e-01,9.438937200012715856e-01,3.302493684205333180e-01,3.776448748049648252e+00,1.000000000000000000e+00
2.900000000000000000e+01,2.380476892000000025e-02,1.276195398999999911e-04,2.405160601232319770e-02,7.391815293617256533e-01,9.441109855999531009e-01,3.296277398361446287e-01,4.936741846463948979e-01,1.000000000000000000e+00
3.400000000000000000e+01,1.860667765000000029e-02,5.730653064999999572e-04,2.301156803956353955e-02,7.321462030027814372e-01,9.443244785039496270e-01,3.290156216629288033e-01,7.686541725002401293e+00,1.000000000000000000e+00
3.900000000000000000e+01,1.784427464000000116e-02,4.976476192999999956e-04,2.206789164604851944e-02,7.258445177793487746e-01,9.445342484339890321e-01,3.284129314372981057e-01,8.447234012097036171e+00,1.000000000000000000e+00
4.400000000000000000e+01,1.966926454999999921e-02,3.937990405000000162e-04,2.121122408046229729e-02,7.202053492983613303e-01,9.447403467038087976e-01,3.278195804249146583e-01,3.083919060924595890e+00,1.000000000000000000e+00
4.900000000000000000e+01,2.439329028000000038e-02,1.831340924000000034e-04,2.043313086713815716e-02,7.151644136002844876e-01,9.449428262625438890e-01,3.272354734666702569e-01,-7.920318825723686729e+00,1.000000000000000000e+00
5.400000000000000000e+01,1.819083095000000039e-02,8.215730194999999519e-04,1.972600294016928907e-02,7.106635921924934207e-01,9.451417416422509543e-01,3.266605090999715189e-01,1.868576442667965187e+00,1.000000000000000000e+00
