t_ps,delta_k_exp,sigma_dk,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.000000000000000000e+00,4.084549844000000263e-02,2.594898979000000204e-04,3.998335117482863799e-02,8.271973194269186536e-01,9.364320686230293012e-01,3.508489430715079349e-01,-1.724294530342729281e+00,1.000000000000000000e+00
4.000000000000000000e+00,4.011164605999999883e-02,1.620831025999999882e-04,3.957385136206599541e-02,8.244779846472288787e-01,9.364936128222286493e-01,3.506846348832090010e-01,-1.075589395868006726e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.731283544999999813e-02,2.157428535000000002e-04,3.871277741310538700e-02,8.187847322466563771e-01,9.366282208232611373e-01,3.503249576571048074e-01,2.799883926210777751e+00,1.000000000000000000e+00
1.400000000000000000e+01,3.648607432999999983e-02,1.621260744000000082e-04,3.789487860768705335e-02,8.134285318805197784e-01,9.367659676341757446e-01,3.499564571234633492e-01,2.817608555374107038e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.665752709000000276e-02,1.660016423999999876e-04,3.715045294495646078e-02,8.086082160871727043e-01,9.369016104478254947e-01,3.495931525935127571e-01,9.858517099129160410e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.462615608999999872e-02,1.280914294000000040e-04,3.647268022940217819e-02,8.042735365551468840e-01,9.370351277766980624e-01,3.492351203881236543e-01,3.693048278804358819e+00,1.000000000000000000e+00
2.900000000000000000e+01,3.494170307999999725e-02,1.760714804000000015e-04,3.585535658282017202e-02,8.003787601508821625e-01,9.371665083449770561e-01,3.488824094684110921e-01,1.827307005640349535e+00,1.000000000000000000e+00
3.400000000000000000e+01,3.313903510999999941e-02,1.655214873999999881e-04,3.529285607033422201e-02,7.968823806397181686e-01,9.372957472681177071e-01,3.485350515415928108e-01,4.307641920668444868e+00,1.000000000000000000e+00
3.900000000000000000e+01,3.381597995999999912e-02,1.780083402999999920e-04,3.478006570907019729e-02,7.937466540540802917e-01,9.374228469229912708e-01,3.481930586137439998e-01,1.928171498140396345e+00,1.000000000000000000e+00
4.400000000000000000e+01,3.320166469000000037e-02,1.700729480999999921e-04,3.431233124526974348e-02,7.909372090948334488e-01,9.375478171786842951e-01,3.478564222541885020e-01,2.221333110539486011e+00,1.000000000000000000e+00
4.900000000000000000e+01,3.289055823999999933e-02,1.591517066000000091e-04,3.388541376125467353e-02,7.884227327944197672e-01,9.376706748376471001e-01,3.475251149910054682e-01,1.989711042509348271e+00,1.000000000000000000e+00
5.400000000000000000e+01,3.244076668999999746e-02,1.617792585999999993e-04,3.349545512205588660e-02,7.861747177378443086e-01,9.377914424377591374e-01,3.471990934471275714e-01,2.109376864111778271e+00,1.000000000000000000e+00
5.900000000000000000e+01,3.164210916000000096e-02,1.591117615999999998e-04,3.313894903593690711e-02,7.841672487413853254e-01,9.379101467713866214e-01,3.468783022664809201e-01,2.993679751873812300e+00,1.000000000000000000e+00
6.400000000000000000e+01,3.111267090000000013e-02,1.991804164999999897e-04,3.281271483213830942e-02,7.823768091379992295e-01,9.380268174684098792e-01,3.465626778954804532e-01,3.400087864276618355e+00,1.000000000000000000e+00
6.900000000000000000e+01,3.191779554000000185e-02,2.114328671999999925e-04,3.251387231047402765e-02,7.807820953582028656e-01,9.381414858418546387e-01,3.462521516791445264e-01,1.192153540948051482e+00,1.000000000000000000e+00
7.400000000000000000e+01,3.183153271999999978e-02,1.650533814000000089e-04,3.223981718477089004e-02,7.793638364739398083e-01,9.382541840436836589e-01,3.459466521365994196e-01,8.165689295417805083e-01,1.000000000000000000e+00
7.900000000000000000e+01,3.161939979000000234e-02,1.477182959000000024e-04,3.198819727696313592e-02,7.781046197224068539e-01,9.383649444914391458e-01,3.456461065158674684e-01,7.375949739262671612e-01,1.000000000000000000e+00
8.400000000000000000e+01,3.131636976999999794e-02,1.838028110999999896e-04,3.175688979854602439e-02,7.769887242673628736e-01,9.384737994988111565e-01,3.453504418040682644e-01,8.810400570920529084e-01,1.000000000000000000e+00
8.900000000000000000e+01,3.111153841000000031e-02,1.817307347999999904e-04,3.154398000591809859e-02,7.760019651188665435e-01,9.385807810472550639e-01,3.450595853598690255e-01,8.648831918361965521e-01,1.000000000000000000e+00
9.400000000000000000e+01,3.182448446999999736e-02,1.489702699000000055e-04,3.134774139873711118e-02,7.751315483319540789e-01,9.386859206502893294e-01,3.447734652970247393e-01,-9.534861425257723511e-01,1.000000000000000000e+00
9.900000000000000000e+01,3.116922080999999858e-02,2.134156383999999938e-04,3.116661752140495456e-02,7.743659378592772091e-01,9.387892492767612174e-01,3.444920107090658767e-01,-5.206577190088046425e-03,1.000000000000000000e+00
1.040000000000000000e+02,3.067336977000000020e-02,1.895160821999999868e-04,3.099920534904159614e-02,7.736947338933576335e-01,9.388907973108302496e-01,3.442151517946783756e-01,6.516711580831918704e-01,1.000000000000000000e+00
