t_ps,delta_k_exp,sigma_dk,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.000000000000000000e+00,4.188576428982999922e-02,2.622661783618999965e-04,3.901004613308167029e-02,8.104690232480845635e-01,9.395930725794572336e-01,3.422935260280201009e-01,-5.751436313496657959e+00,1.000000000000000000e+00
4.000000000000000000e+00,3.693823885757000630e-02,2.331776585088999904e-04,3.844990692513226144e-02,8.066330332841751272e-01,9.396731226823005212e-01,3.420737091746370862e-01,3.023336135124510271e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.587407334414999954e-02,2.294357782627000006e-04,3.723812343333611496e-02,7.983554526775501481e-01,9.398520015775769787e-01,3.415819303338837876e-01,2.728100178372230733e+00,1.000000000000000000e+00
1.400000000000000000e+01,3.413219739874000236e-02,1.681777535806000068e-04,3.606957125438160078e-02,7.904353874308717165e-01,9.400375032344220338e-01,3.410710959797003672e-01,3.874747711283196949e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.521313038023999448e-02,2.439067043800999886e-04,3.500823947671701658e-02,7.833123855998541663e-01,9.402200372233205927e-01,3.405675874239613710e-01,-4.097818070459557926e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.313791307583999896e-02,2.115251318941000034e-04,3.404420572831525632e-02,7.769124927696797744e-01,9.403995657708188460e-01,3.400715464399445831e-01,1.812585304950514731e+00,1.000000000000000000e+00
2.900000000000000000e+01,3.384597899516000180e-02,4.069251227348000093e-04,3.316815220234523715e-02,7.711663189567039556e-01,9.405761063967678082e-01,3.395829619923474429e-01,-1.355653585629529312e+00,1.000000000000000000e+00
3.400000000000000000e+01,3.362495626674000260e-02,3.480393065199999941e-04,3.237166977615985736e-02,7.660111352614331626e-01,9.407496797853205361e-01,3.391018135955879975e-01,-2.506572981160290592e+00,1.000000000000000000e+00
3.900000000000000000e+01,3.342398087389000100e-02,4.180544119824999871e-04,3.164716304147591891e-02,7.613901916175219720e-01,9.409203101647398704e-01,3.386280701883552235e-01,-3.553635664828163954e+00,1.000000000000000000e+00
4.400000000000000000e+01,3.108516953942000102e-02,2.108284646943000022e-04,3.098776589217169461e-02,7.572521089841371955e-01,9.410880255465393640e-01,3.381616893926868150e-01,-1.948072944966128262e-01,1.000000000000000000e+00
4.900000000000000000e+01,3.248585587188999868e-02,2.795340526590000011e-04,3.038726716963260910e-02,7.535503426265193205e-01,9.412528577516932060e-01,3.377026173636661910e-01,-4.197177404514778942e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.927978804507999980e-02,2.110336032165999989e-04,2.984004563364536788e-02,7.502427114633448690e-01,9.414148421914447784e-01,3.372507893269592327e-01,1.120515177130736229e+00,1.000000000000000000e+00
5.900000000000000000e+01,2.826274548707000123e-02,2.888540103497000021e-04,2.934101320205614871e-02,7.472909861241234797e-01,9.415740174245743610e-01,3.368061307502394630e-01,2.156535429972294970e+00,1.000000000000000000e+00
6.400000000000000000e+01,2.873702062840000071e-02,2.592864633920999849e-04,2.888556514844447046e-02,7.446605265168372290e-01,9.417304245608508761e-01,3.363685589594239689e-01,2.970890400889394933e-01,1.000000000000000000e+00
6.900000000000000000e+01,2.871143433115999968e-02,3.276892868509000069e-04,2.846953590597424769e-02,7.423199593717608735e-01,9.418841066018924790e-01,3.359379849477502344e-01,-4.837968503715039947e-01,1.000000000000000000e+00
7.400000000000000000e+01,2.749810190688999761e-02,2.908789883400000127e-04,2.808915930728045351e-02,7.402408874840690212e-01,9.420351078022148883e-01,3.355143151462680606e-01,1.182114800780911690e+00,1.000000000000000000e+00
7.900000000000000000e+01,2.771756837068000204e-02,3.026255727197000038e-04,2.774103239275856753e-02,7.383976245079210132e-01,9.421834731063172264e-01,3.350974529973595462e-01,4.692804415713097699e-02,1.000000000000000000e+00
8.400000000000000000e+01,2.676913521692000225e-02,2.112456217983999743e-04,2.742208222013783891e-02,7.367669512843669777e-01,9.423292476875507750e-01,3.346873002559471733e-01,1.305894006435673216e+00,1.000000000000000000e+00
8.900000000000000000e+01,2.682147919023999960e-02,2.132219664768999861e-04,2.712953533302361192e-02,7.353278912849621207e-01,9.424724765913281566e-01,3.342837580077864801e-01,6.161122855672246379e-01,1.000000000000000000e+00
9.400000000000000000e+01,2.667047153640000196e-02,1.875051523800999945e-04,2.686088968127526427e-02,7.340615037173984225e-01,9.426132044716275526e-01,3.338867274327173007e-01,3.808362897505246369e-01,1.000000000000000000e+00
9.900000000000000000e+01,2.780187428282999973e-02,2.683995176536999646e-04,2.661388885022732478e-02,7.329506932974449995e-01,9.427514754042457534e-01,3.334961103568043761e-01,-2.375970865205349725e+00,1.000000000000000000e+00
1.040000000000000000e+02,2.790448719498999849e-02,3.731449535835000358e-04,2.638649847699473666e-02,7.319800358418039332e-01,9.428873327597807608e-01,3.331118096392658989e-01,-3.035977435990523610e+00,1.000000000000000000e+00
