t_ps,delta_k_exp,sigma_dk,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.000000000000000000e+00,4.115286468999999892e-02,2.559973217999999997e-04,3.629796351269858057e-02,8.038385870027132674e-01,9.408280991590940445e-01,3.388841805583229227e-01,-9.709802354602835806e+00,1.000000000000000000e+00
4.000000000000000000e+00,3.116874396999999922e-02,3.146276867000000264e-04,3.568045022807576905e-02,7.995568659394641786e-01,9.409145563448464422e-01,3.386440574679863702e-01,9.023412516151539720e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.398992121000000283e-02,2.259987814000000031e-04,3.433311612922570338e-02,7.902318882970132963e-01,9.411088411608198312e-01,3.381037549169466083e-01,6.863898384514011131e-01,1.000000000000000000e+00
1.400000000000000000e+01,3.614769875999999937e-02,6.878749700000000213e-04,3.302731648555638777e-02,7.812586486803951846e-01,9.413111759377218446e-01,3.375400273371192972e-01,-4.536263726013481268e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.446519374999999774e-02,1.095164566999999936e-03,3.184210941083868290e-02,7.731890658031043140e-01,9.415102461179890581e-01,3.369843563948387577e-01,-2.395150846001863787e+00,1.000000000000000000e+00
2.400000000000000000e+01,3.116980194999999926e-02,3.769196337000000003e-04,3.076652777873013084e-02,7.659409192099364549e-01,9.417059824346855068e-01,3.364369816870965701e-01,-8.065483425397368400e-01,1.000000000000000000e+00
2.900000000000000000e+01,3.133068978999999782e-02,3.618773189000000262e-04,2.978999178932566910e-02,7.594350347211387131e-01,9.418984134640687733e-01,3.358978694690845646e-01,-3.081396001348657432e+00,1.000000000000000000e+00
3.400000000000000000e+01,2.897216379999999897e-02,3.501529863999999878e-04,2.890296183883091924e-02,7.535998824926321005e-01,9.420875701747295494e-01,3.353669782824094669e-01,-1.384039223381594574e-01,1.000000000000000000e+00
3.900000000000000000e+01,2.634845674000000151e-02,2.004151755999999929e-04,2.809683093977068113e-02,7.483708032893029438e-01,9.422734861996107103e-01,3.348442581338851864e-01,3.496748399541359298e+00,1.000000000000000000e+00
4.400000000000000000e+01,2.710479497999999932e-02,2.808893622999999919e-04,2.736382864941646481e-02,7.436893158195414522e-01,9.424561980198680189e-01,3.343296499174659431e-01,5.180673388329309903e-01,1.000000000000000000e+00
4.900000000000000000e+01,2.665974200000000016e-02,1.634932268999999974e-04,2.669693576070836238e-02,7.395025001403391363e-01,9.426357450082695211e-01,3.338230852303428753e-01,7.438752141672444473e-02,1.000000000000000000e+00
5.400000000000000000e+01,2.632692455999999931e-02,1.514148315999999867e-04,2.608980889638485082e-02,7.357624512816846041e-01,9.428121693059688946e-01,3.333244866621307700e-01,-4.742313272302969840e-01,1.000000000000000000e+00
5.900000000000000000e+01,2.625237404999999913e-02,4.458072071000000140e-04,2.553671400749794179e-02,7.324257961813313011e-01,9.429855155365718389e-01,3.328337685515485589e-01,-1.431320085004114562e+00,1.000000000000000000e+00
6.400000000000000000e+01,2.551499008999999832e-02,3.740490647000000194e-04,2.503246764241207761e-02,7.294532659904419125e-01,9.431558303919863606e-01,3.323508381177976978e-01,-9.650448951758413552e-01,1.000000000000000000e+00
6.900000000000000000e+01,2.493275702000000149e-02,2.011631440999999971e-04,2.457238480797507493e-02,7.268093154330456107e-01,9.433231621443105563e-01,3.318755968161244407e-01,-7.207444240498530608e-01,1.000000000000000000e+00
7.400000000000000000e+01,2.512380481000000068e-02,1.959768268999999925e-04,2.415223232641477286e-02,7.244617814427954938e-01,9.434875601414388635e-01,3.314079417551045736e-01,-1.943144967170455706e+00,1.000000000000000000e+00
7.900000000000000000e+01,2.303099632000000022e-02,2.443662378999999769e-04,2.376818677143987396e-02,7.223815745618953343e-01,9.436490743335738118e-01,3.309477670409474159e-01,1.474380902879747435e+00,1.000000000000000000e+00
8.400000000000000000e+01,2.155405282999999991e-02,2.290231349999999951e-04,2.341679628310325278e-02,7.205423981240203224e-01,9.438077548605521283e-01,3.304949649617734964e-01,3.725486906206505466e+00,1.000000000000000000e+00
8.900000000000000000e+01,2.391284704000000080e-02,2.055278746000000064e-04,2.309494575637394825e-02,7.189204916417598623e-01,9.439636517129158522e-01,3.300494269724111307e-01,-1.635802567252105044e+00,1.000000000000000000e+00
9.400000000000000000e+01,2.277660369999999837e-02,3.634451423000000176e-04,2.279982504506031932e-02,7.174943958725527038e-01,9.441168144669047635e-01,3.296110444764619452e-01,4.644269012064189406e-02,1.000000000000000000e+00
9.900000000000000000e+01,2.212539314999999868e-02,4.030234412999999811e-04,2.252889991746194129e-02,7.162447377172970198e-01,9.442672920859507268e-01,3.291797094242988608e-01,8.070135349238851674e-01,1.000000000000000000e+00
1.040000000000000000e+02,2.089129388000000170e-02,2.085952145999999926e-04,2.227988555365943701e-02,7.151540334881585359e-01,9.444151327779795047e-01,3.287553147554443389e-01,2.777183347318870510e+00,1.000000000000000000e+00
