dataset,fluence_ratio,t_ps,delta_k_exp,sigma_dk,delta_k_fit,residual,u,u_raw,u0,dk0,K_dk_used,B_dk_used,A_obs_used,B_obs_used,json_local_key,readout_source,m,eta,chi2q,Te,Ts,Tl,dt_i_ps,sigma_irf_ps
dk_1p0mW.csv,1.0,-16.0,0.04084549844,0.0002594898979,0.039229896873926196,-0.0016156015660738071,0.2984414666006549,0.2984414666006549,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8377808090603992,0.9343988441503965,0.3562285783740589,4.471849739551544,4.471849739551544,4.471849739551544,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,-11.0,0.04084549844,0.0002594898979,0.0392304250025765,-0.0016150734374235018,0.2984449874583236,0.2984449874583236,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8377898309585822,0.934398704449371,0.3562289448140578,4.468252727412271,4.468977000764362,4.467657055698984,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,-6.0,0.04084549844,0.0002594898979,0.03923190524688214,-0.0016135931931178654,0.2984548557536945,0.2984548557536945,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8378149673836834,0.9343982885549679,0.3562300357150518,4.46539730426026,4.466119803059617,4.464801147025327,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,-1.0,0.04084549844,0.0002594898979,0.039234198028530475,-0.0016113004114695281,0.29847014096468344,0.29847014096468344,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8378536376110007,0.9343976016029024,0.3562318375984152,4.462562854572046,4.463280014935312,4.461971556009933,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,4.0,0.04011164606,0.0001620831026,0.03899982422491422,-0.0011118218350857773,0.2969076489405751,0.2969076489405751,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8338329038076622,0.9344571064972967,0.356075716830985,176.44371724064592,6.0890164093919275,21.653738337450257,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,9.0,0.03731283545,0.0002157428535,0.03817198488099505,0.0008591494309950487,0.29138871998111393,0.29138871998111393,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8196542058218573,0.9346755152913814,0.35550201281397925,52.36243246478945,7.1661637169893675,24.04860764899224,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,14.0,0.03648607433,0.0001621260744,0.03724894004003124,0.0007628657100312436,0.2852350877080219,0.2852350877080219,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.8039360064417015,0.9349428871481833,0.35479824939114246,12.999892804265247,7.336599321088509,23.352755589239962,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,19.0,0.03665752709,0.0001660016424,0.03642082681440832,-0.00023670027559168083,0.27971433287053576,0.27971433287053576,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7899728829450225,0.9352147855906199,0.354080929750094,12.784073461597115,7.409798154494063,22.368295170060602,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,24.0,0.03462615609,0.0001280914294,0.03568200863716625,0.0010558525471662528,0.27478887835558863,0.27478887835558863,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7776540422255744,0.9354888534557609,0.3533562013889468,12.558125715597226,7.475670136628658,21.374192749760848,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,29.0,0.03494170308,0.0001760714804,0.0350215104737813,7.980739378130042e-05,0.2703855572663556,0.2703855572663556,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7667771346593227,0.9357643405341045,0.3526260044080308,12.301458880323992,7.5343759456158645,20.366470884442467,0.5146593205424301,0.2
