dataset,fluence_ratio,readout_mode,dk_mode,K_source,K_dk_used,B_dk_used,A_obs_used,B_obs_used,json_local_key,readout_source,rms,wrms_if_sigma,u0,dk0,dt_i_ps,sigma_irf_ps
dk_1p0mW.csv,1.0,old_raw_m_chi2q,,,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.0008669690209911247,4.3713178648652296,0.2984528626943391,0.04084549844,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,old_raw_m_chi2q,,,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.0019285181651961974,7.142889114726388,0.28902859764270233,0.0418857642898,0.5146593205424301,0.2
dk_2p5mW.csv,2.5,old_raw_m_chi2q,,,,,0.07016696090908581,0.01641850808136575,deltak12k_2p5mW.csv,json_best_local_params,0.0023468896601587883,8.940670971605762,0.2852095521567942,0.04115286469,0.5146593205424301,0.2
