t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.490013350182874508e-02,5.744219958782196045e+00,5.744219958782196045e+00,5.744219958782196045e+00,7.855265767291732537e-01,9.441863073752476687e-01,-3.126365749085625589e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.483939412350472997e-02,4.057222402406845276e+02,7.063109826003413971e+00,1.675008213705590521e+01,7.817574896701224851e-01,9.442315164057520915e-01,1.835325061752364206e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.461736243951996778e-02,3.552380893311778891e+02,8.479476419623377836e+00,1.993979597988734298e+01,7.679818114252719985e-01,9.444006968561098336e-01,3.137207197599842234e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.426776828261975799e-02,3.076262266454173187e+02,9.663084231438054061e+00,2.173281222048550987e+01,7.462693886209426086e-01,9.446757215126934115e-01,-9.399653586901202118e-02
1.900000000000000000e+01,3.446519399999999761e-02,3.382149099220831123e-02,2.632801447994182809e+02,1.062913938169467976e+01,2.289380013246497469e+01,7.187203813736421365e-01,9.450762191490563735e-01,-3.218515038958431884e-02
2.400000000000000000e+01,3.116980199999999993e-02,3.324839030292153774e-02,2.224150469133049342e+02,1.140190047551636532e+01,2.365271471412896886e+01,6.872199599535210313e-01,9.462643531237908689e-01,1.039294151460768839e-01
2.900000000000000000e+01,3.133069000000000132e-02,3.214144820048635276e-02,1.851040284587758720e+02,1.200715438111810585e+01,2.411386752319640436e+01,6.534152726474851125e-01,9.530954249522873845e-01,4.053791002431757218e-02
3.400000000000000000e+01,2.897216400000000164e-02,2.984300421330899483e-02,1.513214551143207416e+02,1.246211434920630268e+01,2.434677863252057506e+01,6.187859628163244752e-01,9.713912945429458157e-01,4.354201066544965970e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.749611974769220618e-02,1.209894062115301807e+02,1.279284173662169088e+01,2.440361057171960724e+01,5.846604283584023731e-01,9.866925297384415705e-01,5.738313738461037206e-02
4.400000000000000000e+01,2.710479500000000097e-02,2.600714604652928225e-02,9.404249304573039581e+01,1.303370882030734279e+01,2.432056957978641520e+01,5.520239060804850162e-01,9.936432563980605037e-01,-5.488244767353593623e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.509838387975855262e-02,7.051515451619881958e+01,1.320961922144496725e+01,2.412227876816555749e+01,5.214957562223084819e-01,9.967435344131847508e-01,-7.806790601207237723e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.449989438986569998e-02,5.065615526084833675e+01,1.333667872000246213e+01,2.382709727346580664e+01,4.934424088655141594e-01,9.982929520832175552e-01,-9.135153050671504515e-02
5.900000000000000000e+01,2.625237399999999846e-02,2.408611781510447414e-02,3.506118486074098684e+01,1.342719798922057883e+01,2.345175967406299478e+01,4.680497478694211622e-01,9.991164195786579327e-01,-1.083128092447762092e-01
6.400000000000000000e+01,2.551499000000000128e-02,2.379614846971857267e-02,2.457453113228729435e+01,1.349225013675617646e+01,2.301572086325233002e+01,4.453476458982617570e-01,9.995566198817974479e-01,-8.594207651407143045e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.359390914934794692e-02,1.923400550904746709e+01,1.354192481476000509e+01,2.254279352185343299e+01,4.252213996003453289e-01,9.997863709854772907e-01,-6.694239253260264588e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.345462172629234412e-02,1.724845327633458680e+01,1.358353382609736038e+01,2.205488510829229654e+01,4.074451498065443378e-01,9.999018174822510430e-01,-8.345916368538273955e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.336042984790612231e-02,1.661023000042386144e+01,1.362058792985978251e+01,2.156468305274489339e+01,3.917467954763861893e-01,9.999571416341902497e-01,1.647169239530604096e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.329820871426253881e-02,1.637115881343776991e+01,1.365426334699013822e+01,2.107742976665825907e+01,3.778633119518550743e-01,9.999822524233336063e-01,8.720778571312692851e-02
8.900000000000000000e+01,2.391284700000000096e-02,2.325817320831524010e-02,1.623229972477248140e+01,1.368490621629817738e+01,2.059533041691072697e+01,3.655627895075643230e-01,9.999930178910602097e-01,-3.273368958423804320e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.323309088733061314e-02,1.611158389988234063e+01,1.371263766675385831e+01,2.011972179389310611e+01,3.546470571415684669e-01,9.999973820481415920e-01,2.282434436653071191e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.321777161571875539e-02,1.598798521253813121e+01,1.373752757258299617e+01,1.965178878189813361e+01,3.449483346852792454e-01,9.999990606418389660e-01,5.461893078593776235e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.320863166083502599e-02,1.585716700239333576e+01,1.375964015979274890e+01,1.919278045699293500e+01,3.363248343050667666e-01,9.999996760159647335e-01,1.158668830417512313e-01
