t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,3.517718124003018504e-02,5.548397243022918701e+00,5.548397243022918701e+00,5.548397243022918701e+00,7.937926999318769550e-01,9.426799787924839968e-01,-2.925363279984910525e-01
4.000000000000000000e+00,3.618171260000000583e-02,3.512180509256190158e-02,3.588991172054682011e+02,6.747283175843435288e+00,1.622293445919602206e+01,7.904064291272581144e-01,9.427222194569460090e-01,-5.299537537190521230e-02
9.000000000000000000e+00,3.513934160000000556e-02,3.492145848904831817e-02,3.089862189823051040e+02,8.018446368737752294e+00,1.924652572187131838e+01,7.781649526748901646e-01,9.428794474310855378e-01,-1.089415554758436933e-02
1.400000000000000000e+01,3.343314040000000542e-02,3.461042407469586135e-02,2.618475498160881898e+02,9.063989153433151813e+00,2.090163885800325971e+01,7.591568946065182510e-01,9.431325654462440200e-01,5.886418373479279653e-02
1.900000000000000000e+01,3.449193550000000108e-02,3.422274003206227100e-02,2.178411114555262600e+02,9.901292239789523109e+00,2.193650978776441107e+01,7.354593954015012924e-01,9.434646169917105807e-01,-1.345977339688650409e-02
2.400000000000000000e+01,3.245922019999999963e-02,3.378527443212841347e-02,1.771793252554190872e+02,1.055363715518227252e+01,2.258356225055537791e+01,7.089180943397381807e-01,9.438970268418555021e-01,6.630271160642069173e-02
2.900000000000000000e+01,3.315278450000000432e-02,3.330415829660281907e-02,1.399806661596892354e+02,1.104785481216596743e+01,2.294573149362614473e+01,6.811186528267838547e-01,9.446425500906011630e-01,7.568689830140737373e-03
3.400000000000000000e+01,3.293628800000000106e-02,3.274317656283212002e-02,1.063475198215423632e+02,1.141069151991501052e+01,2.308068929409560965e+01,6.533656572187817035e-01,9.463802226527676664e-01,-9.655571858394051965e-03
3.900000000000000000e+01,3.273942870000000338e-02,3.203983169534022762e-02,7.649102642868005830e+01,1.166652213550905515e+01,2.302791115369717190e+01,6.266813818181313778e-01,9.500831923136453527e-01,-3.497985023298878782e-02
4.400000000000000000e+01,3.044851920000000295e-02,3.119328871110068485e-02,5.097064197999767288e+01,1.183738027997546460e+01,2.281816303952443548e+01,6.018154555883131751e-01,9.558706723471847022e-01,3.723847555503409512e-02
4.900000000000000000e+01,3.182051730000000356e-02,3.030772912162508007e-02,3.117195653371865305e+01,1.194442437974894133e+01,2.247999293967988876e+01,5.792512423727916859e-01,9.624578211524165150e-01,-7.563940891874616768e-02
5.400000000000000000e+01,2.868011300000000360e-02,2.950066383912812798e-02,1.945305576419638882e+01,1.200988124534488577e+01,2.204912260246257460e+01,5.592029400942341022e-01,9.684382941029963110e-01,4.102754195640621881e-02
5.900000000000000000e+01,2.768390020000000354e-02,2.881949409614716767e-02,1.549417961055837800e+01,1.205565010342759180e+01,2.157122655681131818e+01,5.416166625549532210e-01,9.732990701472545858e-01,5.677969480735820668e-02
6.400000000000000000e+01,2.814846210000000043e-02,2.825611676613425105e-02,1.470210600193363071e+01,1.209461170836474508e+01,2.107879376925137294e+01,5.262486523475434774e-01,9.771448119551099376e-01,5.382733306712531030e-03
6.900000000000000000e+01,2.812339970000000272e-02,2.778872708051705401e-02,1.453370141896574808e+01,1.213032075052482739e+01,2.058245494989815683e+01,5.128075435201403520e-01,9.802029627113946209e-01,-1.673363097414743567e-02
7.400000000000000000e+01,2.693491679999999999e-02,2.739811351077527796e-02,1.445173735892976374e+01,1.216335795872624637e+01,2.008476366735127172e+01,5.010283473895732476e-01,9.826606336653286311e-01,2.315983553876389822e-02
7.900000000000000000e+01,2.714988869999999943e-02,2.706933316245822146e-02,1.437167422986578558e+01,1.219379300158646195e+01,1.958683690195054794e+01,4.906844669385376223e-01,9.846558178564464026e-01,-4.027776877088898311e-03
8.400000000000000000e+01,2.622088040000000383e-02,2.679085971068855682e-02,1.428165704034099548e+01,1.222162671786596277e+01,1.908972503209731997e+01,4.815843062166557109e-01,9.862901184692043355e-01,2.849896553442764907e-02
8.900000000000000000e+01,2.627215250000000321e-02,2.655372215263662392e-02,1.418118361672468630e+01,1.224685835191819550e+01,1.859466990717667301e+01,4.735661545566864916e-01,9.876393543381876139e-01,1.407848263183103521e-02
9.400000000000000000e+01,2.612423770000000395e-02,2.635086442922255148e-02,1.407155385997485197e+01,1.226949645518916654e+01,1.810317698924838226e+01,4.664935034680271486e-01,9.887608946050836511e-01,1.133133646112737675e-02
9.900000000000000000e+01,2.723246790000000486e-02,2.617668207246768783e-02,1.395435371379589284e+01,1.228956138388158159e+01,1.761705369714596614e+01,4.602510144737282372e-01,9.896986918334509387e-01,-5.278929137661585169e-02
1.040000000000000000e+02,2.733297930000000084e-02,2.602668359474872434e-02,1.383122234067594647e+01,1.230708659494485069e+01,1.713843469524288210e+01,4.547410810671338455e-01,9.904867941024797506e-01,-6.531478526256381811e-02
