t_ps,delta_k,sigma_dk
-16,0.03006309271,0.0001241994614
-11,0.03006309271,0.0001241994614
-6,0.03006309271,0.0001241994614
-1,0.03006309271,0.0001241994614
4,0.0180131346,0.0008384741377
9,0.02491854131,0.0001595668436
14,0.02020131052,0.002066221554
19,0.01798225939,0.006274176762
24,0.01803021133,0.0005357527407
29,0.01850169897,0.0003126120428
34,0.01843237877,0.0002783041564
39,,
44,,
49,,
54,,
59,,
64,,
69,,
74,,
79,,
84,,
89,,
94,,
99,,
104,,
