t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,3.750645491581219848e-02,4.680035650730133057e+00,4.680035650730133057e+00,4.680035650730133057e+00,8.294562214394789468e-01,9.360002742363856543e-01,3.519992707796578135e-01,-1.760726442093903665e-01
4.000000000000000000e+00,3.618171260000000583e-02,3.733560648419816108e-02,2.977272071066129229e+02,6.419456295700713966e+00,2.371128603553823666e+01,8.253957663484888796e-01,9.360582824267522639e-01,3.518449827697967547e-01,5.769469420990776254e-02
9.000000000000000000e+00,3.513934160000000556e-02,3.659834697736794734e-02,1.852198455294594339e+02,8.188690492696796497e+00,2.814742426333948444e+01,8.078607757188326355e-01,9.363128274846593824e-01,3.511670387261345283e-01,7.295026886839708902e-02
1.400000000000000000e+01,3.343314040000000542e-02,3.555626270064648348e-02,8.599694304051020310e+01,9.122443546521626700e+00,2.939606226677816281e+01,7.830640404351695283e-01,9.366890511260107521e-01,3.501622788089169269e-01,1.061561150323239028e-01
1.900000000000000000e+01,3.449193550000000108e-02,3.447066571143716368e-02,2.302174337816008531e+01,9.440006386798131643e+00,2.902294742170658637e+01,7.572927233056087060e-01,9.371161882028066215e-01,3.490175494273057288e-01,-1.063489428141869975e-03
2.400000000000000000e+01,3.245922019999999963e-02,3.348391435134503991e-02,1.780568296568249664e+01,9.548630548003124829e+00,2.811976065785210466e+01,7.340076869377563096e-01,9.375535180096712384e-01,3.478410569034209865e-01,5.123470756725201358e-02
2.900000000000000000e+01,3.315278450000000432e-02,3.260597354832817096e-02,1.764687088781536772e+01,9.644569764461108363e+00,2.721301122249123594e+01,7.134479099734583052e-01,9.379933904830761726e-01,3.466531399108674361e-01,-2.734054758359166781e-02
3.400000000000000000e+01,3.293628800000000106e-02,3.182214100276418295e-02,1.746804798640241430e+01,9.734409793678338474e+00,2.631978351127405702e+01,6.952499059827080830e-01,9.384354301847335211e-01,3.454546907685493440e-01,-5.570734986179090575e-02
3.900000000000000000e+01,3.273942870000000338e-02,3.111955190867863111e-02,1.725531041486564021e+01,9.818452513245928159e+00,2.543882150699502631e+01,6.790956083675645516e-01,9.388794877515923565e-01,3.442459984942563000e-01,-8.099383956606860668e-02
4.400000000000000000e+01,3.044851920000000295e-02,3.048726743152093549e-02,1.701296609342475818e+01,9.896944618189372989e+00,2.456885539520054706e+01,6.647145623184995689e-01,9.393255086018582611e-01,3.430270964367978515e-01,1.937411576046627060e-03
4.900000000000000000e+01,3.182051730000000356e-02,2.991598581061567091e-02,1.674479830519944556e+01,9.970100807526797837e+00,2.370867830445722646e+01,6.518768369682531594e-01,9.397735149688537515e-01,3.417978065510157704e-01,-9.522657446921663216e-02
5.400000000000000000e+01,2.868011300000000360e-02,2.939779739610870815e-02,1.645406262125677799e+01,1.003810727727064211e+01,2.285716949394375419e+01,6.403869803543533745e-01,9.402235830458826049e-01,3.405577981552652123e-01,3.588421980543522738e-02
5.900000000000000000e+01,2.768390020000000354e-02,2.892597805807160805e-02,1.614355732645836738e+01,1.010112507230462242e+01,2.201332306518097681e+01,6.300788826206257243e-01,9.406758149975545935e-01,3.393066622963456513e-01,6.210389290358022535e-02
6.400000000000000000e+01,2.814846210000000043e-02,2.849481505374937274e-02,1.581570578458299714e+01,1.015929339989307145e+01,2.117629598184630524e+01,6.208114066329413205e-01,9.411303065432300441e-01,3.380440002512185571e-01,1.731764768746861527e-02
6.900000000000000000e+01,2.812339970000000272e-02,2.809946019718705459e-02,1.547264874067521490e+01,1.021273299238116472e+01,2.034547349885717082e+01,6.124646662854337231e-01,9.415871114797333963e-01,3.367695228123412932e-01,-1.196975140647406344e-03
7.400000000000000000e+01,2.693491679999999999e-02,2.773580579418639946e-02,1.511634994731116244e+01,1.026154964513126622e+01,1.952056451377908530e+01,6.049368503511473039e-01,9.420462051865060582e-01,3.354831550073762991e-01,4.004444970931997361e-02
7.900000000000000000e+01,2.714988869999999943e-02,2.740037931258824250e-02,1.474871845902432810e+01,1.030583809966180908e+01,1.870173608180882141e+01,5.981415042146636107e-01,9.425074497689556186e-01,3.341851390023494184e-01,1.252453062941215334e-02
8.400000000000000000e+01,2.622088040000000383e-02,2.709025318108857980e-02,1.437175408458797499e+01,1.034568650020650260e+01,1.788979720547983376e+01,5.920051935880392691e-01,9.429705639552992125e-01,3.328761263801068848e-01,4.346863905442879816e-02
8.900000000000000000e+01,2.627215250000000321e-02,2.680296647797184711e-02,1.398772309751181098e+01,1.038118170729822687e+01,1.708644466220524549e+01,5.864654837381780839e-01,9.434351010762609402e-01,3.315572500447325210e-01,2.654069889859219517e-02
9.400000000000000000e+01,2.612423770000000395e-02,2.653645561259553032e-02,1.359936914127373164e+01,1.041241579784775695e+01,1.629457717716047327e+01,5.814691752445624306e-01,9.439004383423836853e-01,3.302301659404481837e-01,2.061089562977631851e-02
9.900000000000000000e+01,2.723246790000000486e-02,2.628899144963469173e-02,1.321015666300926839e+01,1.043949407753952130e+01,1.551866837525047771e+01,5.769707434405262347e-01,9.443657801254895512e-01,3.288970558213854534e-01,-4.717382251826565676e-02
1.040000000000000000e+02,2.733297930000000084e-02,2.605912072410329974e-02,1.282452560718682122e+01,1.046254480684401500e+01,1.476515307760304196e+01,5.729309344774631274e-01,9.448301770055551607e-01,3.275605846551922218e-01,-6.369292879483505476e-02
