t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,3.507077599999999795e-02,2.945758324463113725e-02,4.892724096775054932e+00,4.892724096775054932e+00,4.892724096775054932e+00,8.208644184932916144e-01,9.376363392059618995e-01,3.476177432186715044e-01,-2.806596377684430488e-01
4.000000000000000000e+00,2.159466800000000089e-02,2.937631610954530292e-02,3.817296047387910676e+02,7.013239934354581706e+00,2.523574346516710065e+01,8.158560967454671076e-01,9.377048455317299469e-01,3.474329038336962383e-01,3.890824054772650809e-01
9.000000000000000000e+00,3.000561599999999884e-02,2.901010095385374299e-02,2.673094056455541931e+02,9.327922395295122016e+00,3.048615972110598094e+01,7.932241139294380350e-01,9.380135844764524444e-01,3.465984929823516802e-01,-4.977575230731279277e-02
1.400000000000000000e+01,2.822585600000000056e-02,2.844942532551930636e-02,1.637818593141628014e+02,1.076726515301005627e+01,3.253844264403280562e+01,7.588087847679033660e-01,9.385593143393050619e-01,3.451179703622132555e-01,1.117846627596529030e-02
1.900000000000000000e+01,2.722820800000000027e-02,2.768289399706341802e-02,7.668245326956112251e+01,1.150531847785102713e+01,3.295312167739795228e+01,7.195947992355140599e-01,9.407402209144266614e-01,3.391280536226334852e-01,2.273429985317088758e-02
2.400000000000000000e+01,2.408132500000000065e-02,2.658320921705518633e-02,2.675477293644065568e+01,1.177989919329455759e+01,3.233786276535144566e+01,6.814307871966250874e-01,9.472300867647597267e-01,3.205544614065225506e-01,1.250942108527592911e-01
2.900000000000000000e+01,2.747238499999999847e-02,2.540153322609944170e-02,2.156383361520304121e+01,1.190807430401428491e+01,3.139079383004507662e+01,6.471879781516463037e-01,9.554936836643393994e-01,2.950115599049488724e-01,-1.035425886950278318e-01
3.400000000000000000e+01,2.845006900000000144e-02,2.428074852351167628e-02,2.142981440830527973e+01,1.202248734238126104e+01,3.044089300490984940e+01,6.168584624296654662e-01,9.636352184524181741e-01,2.672211925693024903e-01,-2.084660238244162578e-01
3.900000000000000000e+01,2.634558799999999965e-02,2.326133414339996708e-02,2.130922570714577802e+01,1.212992415062020513e+01,2.950624917707749972e+01,5.899123987169537786e-01,9.709702834017059914e-01,2.392001437098456862e-01,-1.542126928300016353e-01
4.400000000000000000e+01,2.052218700000000076e-02,2.236795653783819546e-02,2.113310819664937412e+01,1.223052175651890749e+01,2.858637936963575754e+01,5.658873146774413554e-01,9.771381911789583929e-01,2.126051630123629854e-01,9.228847689190973480e-02
4.900000000000000000e+01,2.331373399999999915e-02,2.160821040870305673e-02,2.090764411405270806e+01,1.232436740540201292e+01,2.768065714309796377e+01,5.443938888465424952e-01,9.820708970144153005e-01,1.885119445480890332e-01,-8.527617956484712103e-02
5.400000000000000000e+01,2.147578899999999860e-02,2.097520369731601872e-02,2.063947030328972687e+01,1.241159904153173521e+01,2.678858008347636144e+01,5.251043820273358920e-01,9.858933360972071958e-01,1.673748184139994544e-01,-2.502926513419899412e-02
5.900000000000000000e+01,1.530577200000000047e-02,2.045352253409723348e-02,2.033461104257932917e+01,1.249240449711266265e+01,2.590977466300689969e+01,5.077424923294918679e-01,9.888099890116539559e-01,1.491804465430130733e-01,2.573875267048616466e-01
6.400000000000000000e+01,2.054190100000000130e-02,2.002475093650247367e-02,1.999848439997607130e+01,1.256700787646281192e+01,2.504400614958126070e+01,4.920748010506202363e-01,9.910290728794765025e-01,1.336464616353356671e-01,-2.585750317487638117e-02
6.900000000000000000e+01,1.741751100000000010e-02,1.967105073824209141e-02,1.963595463199483504e+01,1.263565173053603630e+01,2.419119888731833612e+01,4.779036813166530617e-01,9.927277918330807971e-01,1.203807763815107484e-01,1.126769869121045653e-01
7.400000000000000000e+01,1.789720499999999936e-02,1.937690838742510413e-02,1.925140791097592086e+01,1.269858088702054921e+01,2.335147271662077273e+01,4.650614801425264622e-01,9.940437542218671929e-01,1.089817172396186085e-01,7.398516937125523829e-02
7.900000000000000000e+01,1.729575800000000135e-02,1.912966556516667443e-02,1.884884355488084040e+01,1.275603100483649044e+01,2.252519015402719305e+01,4.534057553534927565e-01,9.950785280479795825e-01,9.908946976276707119e-02,9.169537825833365408e-02
8.400000000000000000e+01,1.895899499999999932e-02,1.891939990797831747e-02,1.843197904305019108e+01,1.280822259167401000e+01,2.171302231388764525e+01,4.428153523782302758e-01,9.959050167505456574e-01,9.040573881726463035e-02,-1.979754601084092458e-03
8.900000000000000000e+01,2.356499999999999914e-02,1.873852954605150639e-02,1.800436400641476098e+01,1.285535985001960135e+01,2.091602705620431024e+01,4.331871317556759693e-01,9.965748581539755069e-01,8.269553854582264996e-02,-2.413235226974246306e-01
