t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.084549800000000092e-02,3.869335237861604854e-02,4.407165586948394775e+00,4.407165586948394775e+00,4.407165586948394775e+00,8.403504988218351013e-01,9.339012737457569324e-01,3.575309929167719281e-01,-1.076072810691976189e-01
4.000000000000000000e+00,4.011164600000000080e-02,3.852869527844698938e-02,1.886818579374472620e+02,5.620897791231868723e+00,2.124743577528608895e+01,8.375397484045810081e-01,9.339436772194166236e-01,3.574202117702273140e-01,-7.914753607765057097e-02
9.000000000000000000e+00,3.731283500000000253e-02,3.787450153675689379e-02,8.136738205678661018e+01,6.646897487486095102e+00,2.425425671001870853e+01,8.263956935596186160e-01,9.341186826283451872e-01,3.569625845444937551e-01,2.808332683784456330e-02
1.400000000000000000e+01,3.648607400000000028e-02,3.706760384146105120e-02,1.568380913346904038e+01,6.949027405013874059e+00,2.403841249379265932e+01,8.127211357018824245e-01,9.343526158973431972e-01,3.563498129167347317e-01,2.907649207305254557e-02
1.900000000000000000e+01,3.665752700000000225e-02,3.631459821045393555e-02,1.361365098818276920e+01,7.042652217388925884e+00,2.305558401033891869e+01,8.000790476449363142e-01,9.345978706672757319e-01,3.557060867404352456e-01,-1.714643947730333517e-02
2.400000000000000000e+01,3.462615599999999821e-02,3.563260382411402583e-02,1.334789290905126968e+01,7.128020531244674274e+00,2.206241073657947993e+01,7.887543494331361593e-01,9.348477331858148220e-01,3.550488920660695991e-01,5.032239120570138058e-02
2.900000000000000000e+01,3.494170299999999757e-02,3.501309395832678806e-02,1.305600869429729016e+01,7.206989933108644664e+00,2.106252152401252786e+01,7.785884762749004651e-01,9.351014476469265979e-01,3.543801385639752111e-01,3.569547916339524396e-03
3.400000000000000000e+01,3.313903499999999724e-02,3.444877667565247187e-02,1.273822800377591591e+01,7.279653890693918328e+00,2.005210404778372180e+01,7.694456657226735885e-01,9.353583085969437994e-01,3.537016179474790634e-01,6.548708378262373120e-02
3.900000000000000000e+01,3.381598000000000243e-02,3.393349747343055167e-02,1.239479399913671998e+01,7.346070230475267415e+00,1.902693312353682131e+01,7.612110799545399598e-01,9.356176359959333944e-01,3.530150693856865529e-01,5.875873671527462316e-03
4.400000000000000000e+01,3.320166499999999826e-02,3.346207526153329587e-02,1.202544208668706283e+01,7.406261593234172658e+00,1.798238851974126362e+01,7.537877988515221395e-01,9.358787715394338846e-01,3.523221891704241271e-01,1.302051307666488023e-02
4.900000000000000000e+01,3.289055800000000029e-02,3.303016367231901423e-02,1.162948760461735631e+01,7.460215415913567405e+00,1.691358513751490023e+01,7.470942783702665402e-01,9.361410750348364562e-01,3.516246402523871550e-01,6.980283615950697018e-03
5.400000000000000000e+01,3.244076700000000230e-02,3.263413364771280967e-02,1.120601935061307586e+01,7.507884862945480187e+00,1.581575687615266723e+01,7.410621989090051542e-01,9.364039208723252683e-01,3.509240615502675631e-01,9.668332385640368565e-03
5.900000000000000000e+01,3.164210900000000160e-02,3.227097324607156731e-02,1.075433549633159735e+01,7.549192740673516866e+00,1.468521115409933486e+01,7.356346289801866112e-01,9.366666947655362119e-01,3.502220765700040372e-01,3.144321230357828567e-02
6.400000000000000000e+01,3.111267100000000146e-02,3.193819995183255767e-02,1.027491582056304686e+01,7.584042808352127629e+00,1.352151425409040719e+01,7.307644181051429211e-01,9.369287912146953001e-01,3.495203001157012324e-01,4.127644759162781007e-02
6.900000000000000000e+01,3.191779599999999828e-02,3.163377874945734469e-02,9.771539835595843826e+00,7.612347924374834207e+00,1.233226282421688857e+01,7.264126967691769687e-01,9.371896127408140265e-01,3.488203402479894688e-01,-1.420086252713267938e-02
7.400000000000000000e+01,3.183153300000000213e-02,3.135603460798021269e-02,9.255605914637548892e+00,7.634093885018558012e+00,1.114268924273700456e+01,7.225472782292867713e-01,9.374485731660506804e-01,3.481237892890051699e-01,-2.377491960098947199e-02
7.900000000000000000e+01,3.161939999999999890e-02,3.110353965424995926e-02,8.753374425616243570e+00,7.649468948084223285e+00,1.001116888280253470e+01,7.191406057120117712e-01,9.377051094060315783e-01,3.474321916487048689e-01,-2.579301728750198197e-02
8.400000000000000000e+01,3.131637000000000309e-02,3.087494783717500968e-02,8.311592089320724241e+00,7.659071589524682366e+00,9.039017952190254945e+00,7.161667521439571971e-01,9.379587084818044040e-01,3.467469699696674734e-01,-2.207110814124967069e-02
8.900000000000000000e+01,3.111153800000000108e-02,3.066877156646784924e-02,7.983362752853127908e+00,7.664076806354957583e+00,8.334258281935227330e+00,7.135973681753813302e-01,9.382089524677174053e-01,3.460693015993017152e-01,-2.213832167660759187e-02
9.400000000000000000e+01,3.182448400000000011e-02,3.048318898143717592e-02,7.786678740704557455e+00,7.666050962775149635e+00,7.921609297575521680e+00,7.113981760591977510e-01,9.384555633001189223e-01,3.453999937913381224e-01,-6.706475092814120909e-02
9.900000000000000000e+01,3.116922100000000043e-02,3.031604580016007688e-02,7.689581195253095025e+00,7.666397964199871851e+00,7.721727396513466068e+00,7.095289800540572900e-01,9.386984097388202386e-01,3.447394603955427073e-01,-4.265875999199617713e-02
1.040000000000000000e+02,3.067336999999999841e-02,3.016506078239727245e-02,7.647086763145498622e+00,7.666001868695415666e+00,7.635716588739607680e+00,7.079473731248598911e-01,9.389374683976038360e-01,3.440878237297835818e-01,-2.541546088013629801e-02
