t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,2.565435065120923522e-02,4.000009834766387939e+00,4.000009834766387939e+00,4.000009834766387939e+00,8.563484557598273206e-01,9.307693064212798628e-01,-7.686778574395385366e-01
4.000000000000000000e+00,3.618171260000000583e-02,2.565434852442331770e-02,4.000031723608869605e+00,4.000031711038957383e+00,4.000034838819567895e+00,8.563483500301319884e-01,9.307693082010994878e-01,-5.263682037788344203e-01
9.000000000000000000e+00,3.513934160000000556e-02,2.565434619215811729e-02,4.000031678490882037e+00,4.000031681647661763e+00,4.000031684527626474e+00,8.563482356211968849e-01,9.307693104104372006e-01,-4.742497703920944274e-01
1.400000000000000000e+01,3.343314040000000542e-02,2.565434418796422311e-02,4.000031646159133203e+00,4.000031649519448784e+00,4.000031611325636227e+00,8.563481389647844555e-01,9.307693125872176232e-01,-3.889398106017891155e-01
1.900000000000000000e+01,3.449193550000000108e-02,2.565434246204318508e-02,4.000031614027829363e+00,4.000031617387453942e+00,4.000031578692071044e+00,8.563480573389576911e-01,9.307693147318121252e-01,-4.418796518978407861e-01
2.400000000000000000e+01,3.245922019999999963e-02,2.565434097216412121e-02,4.000031581931350111e+00,4.000031585287599611e+00,4.000031546624396306e+00,8.563479884361003824e-01,9.307693168446505849e-01,-3.402439613917939143e-01
2.900000000000000000e+01,3.315278450000000432e-02,2.565433968257180286e-02,4.000031549867486547e+00,4.000031553220329883e+00,4.000031514596286364e+00,8.563479303028104228e-01,9.307693189261577738e-01,-3.749222408714100729e-01
3.400000000000000000e+01,3.293628800000000106e-02,2.565433856299359841e-02,4.000031517836177386e+00,4.000031521185616334e+00,4.000031482600785004e+00,8.563478812855684907e-01,9.307693209767533560e-01,-3.640974718503200980e-01
3.900000000000000000e+01,3.273942870000000338e-02,2.565433758779782011e-02,4.000031485837386214e+00,4.000031489183425215e+00,4.000031450637768771e+00,8.563478399846978784e-01,9.307693229968508897e-01,-3.542545556101091564e-01
4.400000000000000000e+01,3.044851920000000295e-02,2.565433673528145012e-02,4.000031453871082832e+00,4.000031457213725439e+00,4.000031418707204800e+00,8.563478052154013254e-01,9.307693249868588259e-01,-2.397091232359276347e-01
4.900000000000000000e+01,3.182051730000000356e-02,2.565433598706701526e-02,4.000031421937235265e+00,4.000031425276484143e+00,4.000031386809059342e+00,8.563477759747684104e-01,9.307693269471798425e-01,-3.083090656466493940e-01
5.400000000000000000e+01,2.868011300000000360e-02,2.565433532759221064e-02,4.000031390035808876e+00,4.000031393371667576e+00,4.000031354943297757e+00,8.563477514138551072e-01,9.307693288782113994e-01,-1.512888836203896414e-01
5.900000000000000000e+01,2.768390020000000354e-02,2.565433474367769320e-02,4.000031358166769913e+00,4.000031361499241989e+00,4.000031323109887182e+00,8.563477308140454713e-01,9.307693307803460714e-01,-1.014782728161155168e-01
6.400000000000000000e+01,2.814846210000000043e-02,2.565433422416144374e-02,4.000031326330085513e+00,4.000031329659174517e+00,4.000031291308796533e+00,8.563477135670432006e-01,9.307693326539703271e-01,-1.247063937919278276e-01
6.900000000000000000e+01,2.812339970000000272e-02,2.565433375958907011e-02,4.000031294525723702e+00,4.000031297851433187e+00,4.000031259539991169e+00,8.563476991579384023e-01,9.307693344994664164e-01,-1.234532970205466235e-01
7.400000000000000000e+01,2.693491679999999999e-02,2.565433334195179119e-02,4.000031262753651617e+00,4.000031266075984249e+00,4.000031227803440004e+00,8.563476871508688415e-01,9.307693363172111489e-01,-6.402917290241043335e-02
7.900000000000000000e+01,2.714988869999999943e-02,2.565433296446457262e-02,4.000031231013837285e+00,4.000031234332796615e+00,4.000031196099109287e+00,8.563476771768848694e-01,9.307693381075760053e-01,-7.477778677677134056e-02
8.400000000000000000e+01,2.622088040000000383e-02,2.565433262137832571e-02,4.000031199306246954e+00,4.000031202621836535e+00,4.000031164426967933e+00,8.563476689236796391e-01,9.307693398709281363e-01,-2.832738893108390638e-02
8.900000000000000000e+01,2.627215250000000321e-02,2.565433230782091997e-02,4.000031167630846873e+00,4.000031170943070258e+00,4.000031132786978638e+00,8.563476621268876210e-01,9.307693416076292525e-01,-3.089100960895416192e-02
9.400000000000000000e+01,2.612423770000000395e-02,2.565433201966269353e-02,4.000031135987605069e+00,4.000031139296465810e+00,4.000031101179114756e+00,8.563476565627319292e-01,9.307693433180366238e-01,-2.349528401686552109e-02
9.900000000000000000e+01,2.723246790000000486e-02,2.565433175340245051e-02,4.000031104376485125e+00,4.000031107681986775e+00,4.000031069603333655e+00,8.563476520417868665e-01,9.307693450025027460e-01,-7.890680732987771784e-02
1.040000000000000000e+02,2.733297930000000084e-02,2.565433150607117699e-02,4.000031072797467502e+00,4.000031076099612726e+00,4.000031038059620236e+00,8.563476484037092495e-01,9.307693466613752298e-01,-8.393238969644119252e-02
