t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.084549800000000092e-02,3.067831770052878090e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,3.067831770052878090e-02,-5.083590149735609520e-01
4.000000000000000000e+00,4.011164600000000080e-02,3.067831243620825973e-02,4.054699902421218027e+00,4.054699976152962293e+00,4.054699488300639310e+00,8.563315490414956654e-01,3.067831243620825973e-02,-4.716666781895870186e-01
9.000000000000000000e+00,3.731283500000000253e-02,3.067829489930080575e-02,4.054644350279238196e+00,4.054644423943548404e+00,4.054643936606669996e+00,8.562749546789878430e-01,3.067829489930080575e-02,-3.317270050349598320e-01
1.400000000000000000e+01,3.648607400000000028e-02,3.067827738351518521e-02,4.054588854572688028e+00,4.054588928169391870e+00,4.054588441347394046e+00,8.562199335892491936e-01,3.067827738351518521e-02,-2.903898308242407467e-01
1.900000000000000000e+01,3.665752700000000225e-02,3.067825988882932203e-02,4.054533415244184091e+00,4.054533488773116368e+00,4.054533002465436020e+00,8.561664435970168796e-01,3.067825988882932203e-02,-2.989633555585339830e-01
2.400000000000000000e+01,3.462615599999999821e-02,3.067824241522106379e-02,4.054478032236400686e+00,4.054478105697403301e+00,4.054477619903475549e+00,8.561144436559330329e-01,3.067824241522106379e-02,-1.973956792389467141e-01
2.900000000000000000e+01,3.494170299999999757e-02,3.067822496266838297e-02,4.054422705492104484e+00,4.054422778885025558e+00,4.054422293604289074e+00,8.560638938183274815e-01,3.067822496266838297e-02,-2.131739018665807228e-01
3.400000000000000000e+01,3.313903499999999724e-02,3.067820753114924859e-02,4.054367434954083471e+00,4.054367508278778232e+00,4.054367023510669910e+00,8.560147552058157139e-01,3.067820753114924859e-02,-1.230413734425374328e-01
3.900000000000000000e+01,3.381598000000000243e-02,3.067819012064163312e-02,4.054312220565193137e+00,4.054312293821521251e+00,4.054311809565479763e+00,8.559669899806898741e-01,3.067819012064163312e-02,-1.568894939679184586e-01
4.400000000000000000e+01,3.320166499999999826e-02,3.067817273112353332e-02,4.054257062268349365e+00,4.054257135456177608e+00,4.054256651711643400e+00,8.559205613180633776e-01,3.067817273112353332e-02,-1.261746134438232469e-01
4.900000000000000000e+01,3.289055800000000029e-02,3.067815536257299108e-02,4.054201960006529326e+00,4.054202033125730686e+00,4.054201549892143319e+00,8.558754333787657043e-01,3.067815536257299108e-02,-1.106201318713504606e-01
5.400000000000000000e+01,3.244076700000000230e-02,3.067813801496807949e-02,4.054146913722780354e+00,4.054146986773232264e+00,4.054146504050032185e+00,8.558315712829661637e-01,3.067813801496807949e-02,-8.813144925159613341e-02
5.900000000000000000e+01,3.164210900000000160e-02,3.067812068828683000e-02,4.054091923360174654e+00,4.054091996341759874e+00,4.054091514128390195e+00,8.557889410844990996e-01,3.067812068828683000e-02,-4.819941558565857959e-02
6.400000000000000000e+01,3.111267100000000146e-02,3.067810338250735389e-02,4.054036988861877688e+00,4.054037061774486084e+00,4.054036580070386364e+00,8.557475097458764335e-01,3.067810338250735389e-02,-2.172838087463237894e-02
6.900000000000000000e+01,3.191779599999999828e-02,3.067808609760776933e-02,4.053982110171079789e+00,4.053982183014606555e+00,4.053981701819219907e+00,8.557072451139706715e-01,3.067808609760776933e-02,-6.198549511961144731e-02
7.400000000000000000e+01,3.183153300000000213e-02,3.067806883356620842e-02,4.053927287231057441e+00,4.053927360005401326e+00,4.053926879318170862e+00,8.556681158963469480e-01,3.067806883356620842e-02,-5.767320832168968542e-02
7.900000000000000000e+01,3.161939999999999890e-02,3.067805159036084833e-02,4.053872519985143086e+00,4.053872592690204613e+00,4.053872112510575221e+00,8.556300916382258981e-01,3.067805159036084833e-02,-4.706742048195752814e-02
8.400000000000000000e+01,3.131637000000000309e-02,3.067803436796986624e-02,4.053817808376702914e+00,4.053817881012393265e+00,4.053817401339808946e+00,8.555931427000732503e-01,3.067803436796986624e-02,-3.191678160150684257e-02
8.900000000000000000e+01,3.111153800000000108e-02,3.067801716637148790e-02,4.053763152349190158e+00,4.053763224915422292e+00,4.053762745749327934e+00,8.555572402357732864e-01,3.067801716637148790e-02,-2.167604168142565901e-02
9.400000000000000000e+01,3.182448400000000011e-02,3.067799998554390783e-02,4.053708551846091801e+00,4.053708624342784006e+00,4.053708145682625386e+00,8.555223561714022651e-01,3.067799998554390783e-02,-5.732420072280461354e-02
9.900000000000000000e+01,3.116922100000000043e-02,3.067798282546540384e-02,4.053654006810964106e+00,4.053654079238038221e+00,4.053653601083262892e+00,8.554884631845566245e-01,3.067798282546540384e-02,-2.456190872672982944e-02
1.040000000000000000e+02,3.067336999999999841e-02,3.067796568611424329e-02,4.053599517187421952e+00,4.053599589544804260e+00,4.053599111894857998e+00,8.554555346842422914e-01,3.067796568611424329e-02,2.297843057122439525e-04
