t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.600000000000000000e+01,4.092496100000000275e-02,4.020792769468041483e-02,4.769591033458709717e+00,4.769591033458709717e+00,4.769591033458709717e+00,8.258494199526242863e-01,9.366891617958362781e-01,3.501619827654248729e-01,-3.585166526597939607e-02
-1.100000000000000000e+01,4.139774499999999968e-02,4.020822022133740264e-02,4.767857744741223591e+00,4.768159907736936098e+00,4.766829263056876265e+00,8.258539739284171954e-01,9.366890946253848549e-01,3.501621624474535732e-01,-5.947623893312985188e-02
-6.000000000000000000e+00,4.110886300000000243e-02,4.020904235890588457e-02,4.766427300759343844e+00,4.766729337816145495e+00,4.765397485533837241e+00,8.258666984733725736e-01,9.366888940766109339e-01,3.501626989179966731e-01,-4.499103205470589284e-02
-1.000000000000000000e+00,4.102790800000000182e-02,4.020941257799579699e-02,1.986164642104059226e+02,4.950289956768381572e+00,9.456765808522357375e+00,8.258721552390384524e-01,9.366887604568020498e-01,3.501630563521795914e-01,-4.092477110021024156e-02
4.000000000000000000e+00,3.618171299999999729e-02,3.865836950540328665e-02,1.030575143261617654e+01,8.923774787009675080e+00,1.957856546356384086e+01,8.014789360052437805e-01,9.370149283973765453e-01,3.492893126914412005e-01,1.238328252701644677e-01
9.000000000000000000e+00,3.513934199999999702e-02,3.702064108873019677e-02,1.029020211908889948e+01,8.994361035736734067e+00,1.851664830132387252e+01,7.758469015885604003e-01,9.374012460841586458e-01,3.482512079517694481e-01,9.406495443650998711e-02
1.400000000000000000e+01,3.343314000000000008e-02,3.558999441823344767e-02,1.024408245695225972e+01,9.055386287946905810e+00,1.742845858413860327e+01,7.536188209382159719e-01,9.377868539072068410e-01,3.472114869050605401e-01,1.078427209116723795e-01
1.900000000000000000e+01,3.449193600000000082e-02,3.433894679365701724e-02,1.016879553487777521e+01,9.106879176491482042e+00,1.631364441229302997e+01,7.343469915733296105e-01,9.381708754624888957e-01,3.461725125337757891e-01,-7.649460317149178734e-03
2.400000000000000000e+01,3.245921999999999696e-02,3.324432379754305861e-02,1.006649086853492570e+01,9.148866507866316056e+00,1.517616757107325931e+01,7.176533035743160038e-01,9.385524586916298428e-01,3.451366139427927693e-01,3.925518987715308217e-02
2.900000000000000000e+01,3.315278499999999712e-02,3.228657310685281029e-02,9.940768957338169898e+00,9.181419702166893515e+00,1.402840402581434809e+01,7.032182311832371191e-01,9.389307758065095211e-01,3.441060857401191386e-01,-4.331059465735934144e-02
3.400000000000000000e+01,3.293628800000000106e-02,3.144915085079629663e-02,9.797882717174859479e+00,9.204740386498807325e+00,1.289763163912257760e+01,6.907709682566437470e-01,9.393050304282057894e-01,3.430831674860593261e-01,-7.435685746018522169e-02
3.900000000000000000e+01,3.273942900000000045e-02,3.071794610205070414e-02,9.648234056602527531e+00,9.219299282068261547e+00,1.183340956144110834e+01,6.800801409791966678e-01,9.396744762000533990e-01,3.420699910517659981e-01,-1.010741448974648155e-01
4.400000000000000000e+01,3.044851900000000028e-02,3.008071442209728913e-02,9.506766813621027268e+00,9.226009736954798868e+00,1.090758591090755125e+01,6.709446123713828092e-01,9.400384506598283840e-01,3.410684847374047535e-01,-1.839022889513555747e-02
4.900000000000000000e+01,3.182051699999999955e-02,2.952652790223176532e-02,9.389308997117268518e+00,9.226323058300632596e+00,1.019115178082008732e+01,6.631844919296393526e-01,9.403964217573933526e-01,3.400802404520010258e-01,-1.146994548884117116e-01
5.400000000000000000e+01,2.868011300000000013e-02,2.904532953768616116e-02,9.304612182583902324e+00,9.222055974651311772e+00,9.710140921535415970e+00,6.566338044454932410e-01,9.407480292454691861e-01,3.391063925536730306e-01,1.826082688430805123e-02
