dataset_name,path,fluence_ratio,n_points,rms,wrms,dt_local_ps,A_obs,B_obs,wall_time_sec,avg_wall_time_sec
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,1.0,22,0.002022646930744668,0.1011323465372334,0.0,0.04527550649344631,nan,0.3624721000669524,1.046638655012551
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,2.0,22,0.0014617270811999137,0.07308635405999567,0.0,0.04527550649344631,nan,0.3514215999748558,1.0445431566777794
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,2.5,22,0.0020678958280966634,0.10339479140483317,0.0,0.04527550649344631,nan,0.36234600003808737,1.0418761550021978
