t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.489452931547773473e-02,5.729165613651275635e+00,5.729165613651275635e+00,5.729165613651275635e+00,7.861651389858124173e-01,9.440705047203944433e-01,-3.129167842261130761e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.482769820784584192e-02,3.978531112531389908e+02,7.091092292316245604e+00,1.493633485390385296e+01,7.820275651423248542e-01,9.441204080853615732e-01,1.829477103922920178e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.460285501956636423e-02,3.501159483999809936e+02,8.481527384450119555e+00,1.761812100508461043e+01,7.681088732726184531e-01,9.442922935728044198e-01,3.064670097831824480e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.425316410691047614e-02,3.051376962378777193e+02,9.647913630733055967e+00,1.913532904193142770e+01,7.464394560353742047e-01,9.445683541169304087e-01,-9.472674465447611380e-02
1.900000000000000000e+01,3.446519399999999761e-02,3.380873101855356999e-02,2.632983085855407808e+02,1.060466205384034843e+01,2.011857009122675422e+01,7.190504854783164035e-01,9.449658826898834629e-01,-3.282314907232138090e-02
2.400000000000000000e+01,3.116980199999999993e-02,3.324377009615996081e-02,2.247972145046052503e+02,1.137418658862512011e+01,2.075923243075947866e+01,6.877640380276354160e-01,9.460883929735178777e-01,1.036984048079980375e-01
2.900000000000000000e+01,3.133069000000000132e-02,3.218164320693853164e-02,1.896877294623052705e+02,1.198055492446308001e+01,2.114434386378840358e+01,6.541762682642180415e-01,9.524552454376946642e-01,4.254766034692651633e-02
3.400000000000000000e+01,2.897216400000000164e-02,2.994261808588742288e-02,1.579152120679362099e+02,1.243986201682296233e+01,2.133446819634811575e+01,6.197229478766279609e-01,9.703216420001403719e-01,4.852270429437106208e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.756531289762404607e-02,1.293541695125329909e+02,1.277614687886409683e+01,2.137663572388670019e+01,5.857035423696028698e-01,9.860895732092687105e-01,6.084279488120236667e-02
4.400000000000000000e+01,2.710479500000000097e-02,2.603286539660963628e-02,1.038558435398080775e+02,1.302283700145002143e+01,2.130347720590295424e+01,5.530948964082508246e-01,9.933865085206768919e-01,-5.359648016951823468e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.509759909147135995e-02,8.130467804926703934e+01,1.320460255172448250e+01,2.113645033196944567e+01,5.225156055194331017e-01,9.966320273815709729e-01,-7.810714542643200364e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.448260659798191449e-02,6.167842684289609423e+01,1.333689262888664295e+01,2.089031642962284252e+01,4.943391661615651467e-01,9.982461442349555014e-01,-9.221592010090431946e-02
5.900000000000000000e+01,2.625237399999999846e-02,2.405809340676265395e-02,4.512211735473874086e+01,1.343073525255353928e+01,2.057657649012094225e+01,4.687751405466281107e-01,9.990995771261771408e-01,-1.097140296618672184e-01
6.400000000000000000e+01,2.551499000000000128e-02,2.376207261263247467e-02,3.202569517374474373e+01,1.349534480874544151e+01,2.020636119784362350e+01,4.459023667381474820e-01,9.995516902749775889e-01,-8.764586936837633069e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.355787465640213699e-02,2.294489722715851698e+01,1.353912820468802813e+01,1.979321277054880213e+01,4.256821176045370025e-01,9.997843344384129693e-01,-6.874411717989313553e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.341938022815633416e-02,1.794352216865812721e+01,1.356971616865053498e+01,1.935433221060495157e+01,4.079693668858993538e-01,9.998995846764073825e-01,-8.522123859218323771e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.332689856506444878e-02,1.584502320219006499e+01,1.359289814112641004e+01,1.890696081976718546e+01,3.925383666139201089e-01,9.999546407320485386e-01,1.479512825322236436e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.326596220712110266e-02,1.509271159803547668e+01,1.361180336052842321e+01,1.846287646042870634e+01,3.791284929882675625e-01,9.999800828050008361e-01,8.559546035605512804e-02
8.900000000000000000e+01,2.391284700000000096e-02,2.322630936682846745e-02,1.480558816036951342e+01,1.362767000688432262e+01,1.802824459353891839e+01,3.674865520026662780e-01,9.999914793043226391e-01,-3.432688165857667589e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.320081236158707400e-02,1.465905581736898533e+01,1.364094421622608344e+01,1.760644680449765787e+01,3.573863793720581938e-01,9.999964381417983939e-01,2.121041807935375445e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.318459616970050194e-02,1.455199217285234781e+01,1.365182424246497028e+01,1.719988875335424794e+01,3.486322565254919570e-01,9.999985401766046111e-01,5.296015848502508977e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.317438050948690542e-02,1.445489901200557270e+01,1.366044304554560362e+01,1.681066554522266188e+01,3.410563735576238042e-01,9.999994113002061980e-01,1.141543254743452029e-01
