t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.600000000000000000e+01,4.092496100000000275e-02,3.823631080545744632e-02,5.111726462841033936e+00,5.111726462841033936e+00,5.111726462841033936e+00,8.119225553035201992e-01,9.393209727910848406e-01,3.430395167831397085e-01,-7.953134529880033499e-02
-1.100000000000000000e+01,4.139774499999999968e-02,3.823632701476423201e-02,5.107743216767826056e+00,5.111590378419663239e+00,5.104917030732369021e+00,8.119229816434486713e-01,9.393209668631051779e-01,3.430395330153090394e-01,-9.351600514190422375e-02
-6.000000000000000000e+00,4.110886300000000243e-02,3.823637559343975867e-02,5.107198867752981819e+00,5.111442071109190799e+00,5.103870713068517695e+00,8.119242524249931092e-01,9.393209480259240296e-01,3.430395845958296719e-01,-8.496932336579651746e-02
-1.000000000000000000e+00,4.102790800000000182e-02,3.823645318689918027e-02,5.113690446188543959e+00,5.111292329676462742e+00,5.103650825033519745e+00,8.119262694582389805e-01,9.393209159701181310e-01,3.430396723719551511e-01,-1.395727406550410776e-01
4.000000000000000000e+00,3.618171299999999729e-02,3.791184354476191676e-02,2.964934001535667676e+02,7.616495908737206832e+00,2.666684845722364727e+01,8.033476194921957969e-01,9.394344898531139521e-01,3.427285212444678431e-01,8.650652723809597322e-02
9.000000000000000000e+00,3.513934199999999702e-02,3.705038207777010262e-02,1.841811251699612626e+02,9.305342228607475619e+00,3.049981988906896646e+01,7.805382995229102061e-01,9.397405468305183307e-01,3.418884388842043931e-01,9.555200388850527971e-02
1.400000000000000000e+01,3.343314000000000008e-02,3.593338513878879814e-02,8.653454119710349346e+01,1.017071836020159736e+01,3.181481532966214232e+01,7.509813529373394747e-01,9.401666741991920873e-01,3.407148730613768772e-01,1.250122569394399030e-01
1.900000000000000000e+01,3.449193600000000082e-02,3.479602506247229249e-02,2.590635890960318477e+01,1.044708286739485459e+01,3.174362550775175151e+01,7.211888984320096174e-01,9.406860540625633371e-01,3.392782747129621801e-01,1.520445312361458357e-02
2.400000000000000000e+01,3.245921999999999696e-02,3.377047407433062670e-02,2.013509968266486183e+01,1.052585780076122290e+01,3.121348548606036033e+01,6.946497619036281490e-01,9.412468571365714132e-01,3.377193419550125197e-01,6.556270371653148687e-02
2.900000000000000000e+01,3.315278499999999712e-02,3.286518632054641342e-02,2.015461264961765409e+01,1.059337846491717983e+01,3.067235299793378900e+01,6.715231492546630543e-01,9.418297361138761037e-01,3.360903869075498318e-01,-1.437993397267918472e-02
3.400000000000000000e+01,3.293628800000000106e-02,3.206189132759197646e-02,2.017456365796144269e+01,1.065768348621210038e+01,3.013974232627258587e+01,6.513253407655248406e-01,9.424376282965343243e-01,3.343819922944467060e-01,-4.371983362040123000e-02
3.900000000000000000e+01,3.273942900000000045e-02,3.134437824350022606e-02,2.015781810669671259e+01,1.071906311895237884e+01,2.961517710348686450e+01,6.336311232600222443e-01,9.430744090028453375e-01,3.325818081073197985e-01,-6.975253782498871957e-02
4.400000000000000000e+01,3.044851900000000028e-02,3.069877622321039168e-02,2.010913016650003371e+01,1.077772837545230189e+01,2.909809418582846519e+01,6.180788433667601112e-01,9.437441356515248181e-01,3.306765888649457752e-01,1.251286116051956998e-02
4.900000000000000000e+01,3.182051699999999955e-02,3.011320706315709014e-02,2.003298912503623441e+01,1.083386236288235160e+01,2.858797898852004238e+01,6.043609502512861109e-01,9.444509435178224388e-01,3.286524232198736462e-01,-8.536549684214546352e-02
5.400000000000000000e+01,2.868011300000000013e-02,2.957749249482127113e-02,1.993334531810451082e+01,1.088762386221931244e+01,2.808436336762844832e+01,5.922158862669468782e-01,9.451989231754751586e-01,3.264950162374952169e-01,4.486897474106354977e-02
