t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.102790780000000609e-02,2.311522587550796440e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.311522587550796440e-02,-8.956340962246021054e-01
4.000000000000000000e+00,3.618171260000000583e-02,2.311522137287397999e-02,4.109357393519212920e+00,4.109363246115800727e+00,4.030130071181860174e+00,8.563143651363095410e-01,2.311522137287397999e-02,-6.533245613563012366e-01
9.000000000000000000e+00,3.513934160000000556e-02,2.311520637681555024e-02,4.109210100841594659e+00,4.109212887021578275e+00,4.072665796484329803e+00,8.562015522363140008e-01,2.311520637681555024e-02,-6.012067611592227800e-01
1.400000000000000000e+01,3.343314040000000542e-02,2.311519140134433298e-02,4.109082479353460826e+00,4.109083886289668364e+00,4.091731303670983699e+00,8.560918910624432110e-01,2.311519140134433298e-02,-5.158974499327836361e-01
1.900000000000000000e+01,3.449193550000000108e-02,2.311517644442876232e-02,4.108963898097933054e+00,4.108964669347770382e+00,4.100455841842514992e+00,8.559852823382473330e-01,2.311517644442876232e-02,-5.688379527785619727e-01
2.400000000000000000e+01,3.245922019999999963e-02,2.311516150512659892e-02,4.108849569966269044e+00,4.108850044995105755e+00,4.104460468168254828e+00,8.558816376263271852e-01,2.311516150512659892e-02,-4.672029347436700286e-01
2.900000000000000000e+01,3.315278450000000432e-02,2.311514658299030842e-02,4.108737288534778820e+00,4.108737624794969179e+00,4.106276437812280022e+00,8.557808745690411723e-01,2.311514658299030842e-02,-5.018818958504848160e-01
3.400000000000000000e+01,3.293628800000000106e-02,2.311513167780147524e-02,4.108626026015048005e+00,4.108626297068359357e+00,4.107070145361615410e+00,8.556829147266507007e-01,2.311513167780147524e-02,-4.910578161099262706e-01
3.900000000000000000e+01,3.273942870000000338e-02,2.311511678944844911e-02,4.108515301282272603e+00,4.108515541611626354e+00,4.107384810781536721e+00,8.555876825539799890e-01,2.311511678944844911e-02,-4.812155955275776997e-01
4.400000000000000000e+01,3.044851920000000295e-02,2.311510191786974797e-02,4.108404888577471326e+00,4.108405114371632472e+00,4.107474678328102868e+00,8.554951048958234772e-01,2.311510191786974797e-02,-3.666708641065127283e-01
4.900000000000000000e+01,3.182051730000000356e-02,2.311508706302735708e-02,4.108294681827568517e+00,4.108294900691655371e+00,4.107459014459064583e+00,8.554051107232848450e-01,2.311508706302735708e-02,-4.352715118486323309e-01
5.400000000000000000e+01,2.868011300000000360e-02,2.311507222489426680e-02,4.108184631139850218e+00,4.108184846647358057e+00,4.107393825508701468e+00,8.553176309833218083e-01,2.311507222489426680e-02,-2.782520387552868124e-01
5.900000000000000000e+01,2.768390020000000354e-02,2.311505740344873758e-02,4.108074713010557488e+00,4.108074926840539653e+00,4.107305423487662921e+00,8.552325985020631238e-01,2.311505740344873758e-02,-2.284421398275632842e-01
6.400000000000000000e+01,2.814846210000000043e-02,2.311504259867143418e-02,4.107964916334967853e+00,4.107965129276133887e+00,4.107206172123927246e+00,8.551499479140485249e-01,2.311504259867143418e-02,-2.516709750664283263e-01
6.900000000000000000e+01,2.812339970000000272e-02,2.311502781054422528e-02,4.107855235834766638e+00,4.107855448257378583e+00,4.107101881285168510e+00,8.550696156043248175e-01,2.311502781054422528e-02,-2.504185944727888580e-01
7.400000000000000000e+01,2.693491679999999999e-02,2.311501303904953120e-02,4.107745668969610797e+00,4.107745881047266678e+00,4.106995281052375546e+00,8.549915396572498327e-01,2.311501303904953120e-02,-1.909951880475234398e-01
7.900000000000000000e+01,2.714988869999999943e-02,2.311499828417001162e-02,4.107636214485773429e+00,4.107636426299666077e+00,4.106887654226713202e+00,8.549156598090703607e-01,2.311499828417001162e-02,-2.017445207914993766e-01
8.400000000000000000e+01,2.622088040000000383e-02,2.311498354588847892e-02,4.107526871734173746e+00,4.107527083322076500e+00,4.106779603506393705e+00,8.548419174029135981e-01,2.311498354588847892e-02,-1.552948427055762526e-01
8.900000000000000000e+01,2.627215250000000321e-02,2.311496882418781484e-02,4.107417640349870780e+00,4.107417851729171510e+00,4.106671412010386213e+00,8.547702553455049923e-01,2.311496882418781484e-02,-1.578591837906094253e-01
9.400000000000000000e+01,2.612423770000000395e-02,2.311495411905095665e-02,4.107308520101478955e+00,4.107308731279996294e+00,4.106563212695585108e+00,8.547006180652957363e-01,2.311495411905095665e-02,-1.504641790474523511e-01
9.900000000000000000e+01,2.723246790000000486e-02,2.311493943046085200e-02,4.107199510820430888e+00,4.107199721801501724e+00,4.106455067965537609e+00,8.546329514718149500e-01,2.311493943046085200e-02,-2.058764234769576429e-01
1.040000000000000000e+02,2.733297930000000084e-02,2.311492475840048327e-02,4.107090612367738203e+00,4.107090823152605985e+00,4.106347007076394107e+00,8.545672029161729411e-01,2.311492475840048327e-02,-2.109027270799758713e-01
