t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,3.365042800000000306e-02,2.311522587550796440e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.311522587550796440e-02,-5.267601062246018984e-01
4.000000000000000000e+00,3.069150400000000140e-02,2.311521276347902956e-02,4.191035679611308851e+00,4.191044512360470264e+00,4.072087257527987170e+00,8.562491465708099714e-01,2.311521276347902956e-02,-3.788145618260485570e-01
9.000000000000000000e+00,2.772133099999999836e-02,2.311518656700603178e-02,4.190786642850040877e+00,4.190790997099721693e+00,4.134179258690411807e+00,8.560539482939167888e-01,2.311518656700603178e-02,-2.303072216496983293e-01
1.400000000000000000e+01,2.340437500000000157e-02,2.311516040572064723e-02,4.190566595263296890e+00,4.190568888745876741e+00,4.162632928573546387e+00,8.558641660638570681e-01,2.311516040572064723e-02,-1.446072971396771684e-02
1.900000000000000000e+01,2.630221799999999874e-02,2.311513427660021394e-02,4.190360270554800870e+00,4.190361582698547416e+00,4.176074590697779421e+00,8.556796339501111515e-01,2.311513427660021394e-02,-1.593541861699892259e-01
2.400000000000000000e+01,2.215985999999999997e-02,2.311510817819653271e-02,4.190160641984493672e+00,4.190161479440452474e+00,4.182472990850881978e+00,8.555002021516899813e-01,2.311510817819653271e-02,4.776240890982663689e-02
2.900000000000000000e+01,2.380476899999999993e-02,2.311508210979537625e-02,4.189964365836406301e+00,4.189964971926574577e+00,4.185490233054894205e+00,8.553257303059456085e-01,2.311508210979537625e-02,-3.448434451023118380e-02
3.400000000000000000e+01,1.860667800000000149e-02,2.311505607103372939e-02,4.189769826074501324e+00,4.189770318929469717e+00,4.186866659344333996e+00,8.551560843862184846e-01,2.311505607103372939e-02,2.254189035516863948e-01
3.900000000000000000e+01,1.784427499999999972e-02,2.311503006171884353e-02,4.189576235821548700e+00,4.189576673090051884e+00,4.187442728182216634e+00,8.549911351838500595e-01,2.311503006171884353e-02,2.635377530859421835e-01
4.400000000000000000e+01,1.966926499999999828e-02,2.311500408174106680e-02,4.189383210525619461e+00,4.189383620409518727e+00,4.187627479272817865e+00,8.548307575296608674e-01,2.311500408174106680e-02,1.722869540870534122e-01
4.900000000000000000e+01,2.439329000000000150e-02,2.311497813103130169e-02,4.189190561887046194e+00,4.189190958197875680e+00,4.187620731629476900e+00,8.546748298704129887e-01,2.311497813103130169e-02,-6.391559344843499024e-02
5.400000000000000000e+01,1.819083100000000106e-02,2.311495220954035840e-02,4.188998197580194649e+00,4.188998587084686420e+00,4.187520272037505542e+00,8.545232340184704123e-01,2.311495220954035840e-02,2.462060604770178740e-01
5.900000000000000000e+01,0.000000000000000000e+00,2.311492631722880664e-02,4.188806072269998459e+00,4.188806458283320211e+00,4.187373994367339591e+00,8.543758549870617003e-01,2.311492631722880664e-02,1.155746315861440277e+00
6.400000000000000000e+01,0.000000000000000000e+00,2.311490045406201094e-02,4.188614163641212862e+00,4.188614547786891684e+00,4.187205364254830364e+00,8.542325808685222732e-01,2.311490045406201094e-02,1.155745022703100533e+00
6.900000000000000000e+01,0.000000000000000000e+00,2.311487462000772972e-02,4.188422460658002500e+00,4.188422843730410072e+00,4.187025880083673712e+00,8.540933027346714335e-01,2.311487462000772972e-02,1.155743731000386409e+00
7.400000000000000000e+01,0.000000000000000000e+00,2.311484881503484898e-02,4.188230957811693855e+00,4.188231340198811381e+00,4.186841176187654057e+00,8.539579145490872047e-01,2.311484881503484898e-02,1.155742440751742484e+00
7.900000000000000000e+01,0.000000000000000000e+00,2.311482303911290004e-02,4.188039652302016691e+00,4.188040034192673566e+00,4.186654013282537612e+00,8.538263130862496775e-01,2.311482303911290004e-02,1.155741151955645085e+00
8.400000000000000000e+01,0.000000000000000000e+00,2.311479729221166401e-02,4.187848542655858708e+00,4.187848924141316154e+00,4.186465743920879667e+00,8.536983978550477525e-01,2.311479729221166401e-02,1.155739864610583201e+00
8.900000000000000000e+01,0.000000000000000000e+00,2.311477157430114407e-02,4.187657628050416747e+00,4.187658009174167972e+00,4.186277030650559006e+00,8.535740710253961749e-01,2.311477157430114407e-02,1.155738578715057141e+00
9.400000000000000000e+01,0.000000000000000000e+00,2.311474588535140581e-02,4.187466907981597153e+00,4.187467288763761175e+00,4.186088197940877720e+00,8.534532373573351371e-01,2.311474588535140581e-02,1.155737294267570325e+00
9.900000000000000000e+01,0.000000000000000000e+00,2.311472022533254261e-02,4.187276382101514649e+00,4.187276762550800058e+00,4.185899404628627529e+00,8.533358041322560705e-01,2.311472022533254261e-02,1.155736011266627061e+00
1.040000000000000000e+02,0.000000000000000000e+00,2.311469459421480049e-02,4.187086050138900006e+00,4.187086430258460723e+00,4.185710728410852788e+00,8.532216810860846490e-01,2.311469459421480049e-02,1.155734729710740094e+00
