t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.571491628054802858e-02,4.779484808444976807e+00,4.779484808444976807e+00,4.779484808444976807e+00,8.254499860300450464e-01,9.367652677572690934e-01,3.499583305532989463e-01,-2.718974359725984113e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.561692348034838779e-02,4.053814479611032766e+02,5.931659989062862515e+00,2.106491143084814510e+01,8.229662093980274484e-01,9.368004786910301140e-01,3.498640637794298014e-01,2.224089740174192975e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.512527974568671607e-02,3.371904972566881611e+02,7.447421060340789545e+00,2.585041512547257980e+01,8.105119758465214597e-01,9.369813870215580875e-01,3.493792786860106525e-01,5.676793728433583708e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.432755163065358273e-02,2.728202256439150801e+02,8.635165084938126512e+00,2.817951242274621748e+01,7.902957688892948696e-01,9.372850455806447378e-01,3.485638296365367594e-01,-9.100736846732078444e-02
1.900000000000000000e+01,3.446519399999999761e-02,3.333367995354011987e-02,2.128014944225012641e+02,9.529064661034290395e+00,2.942789578229839265e+01,7.650862923582011366e-01,9.376807849471430201e-01,3.474978353039190337e-01,-5.657570232299388713e-02
2.400000000000000000e+01,3.116980199999999993e-02,3.223795298550692634e-02,1.576387401013302281e+02,1.016773708150156352e+01,2.998938973079984649e+01,7.373365265860483131e-01,9.381541661072971827e-01,3.462177936148311264e-01,5.340754927534632074e-02
2.900000000000000000e+01,3.133069000000000132e-02,3.110986104271950409e-02,1.080594674904235148e+02,1.059376650111370033e+01,3.004010881590293991e+01,7.091252487669561511e-01,9.387418746551661197e-01,3.446210857868455824e-01,-1.104144786402486145e-02
3.400000000000000000e+01,2.897216400000000164e-02,2.999305168760125345e-02,6.568967057237509266e+01,1.085044802550837773e+01,2.968314534630269819e+01,6.820905491642947904e-01,9.395322583401191086e-01,3.424604145566545466e-01,5.104438438006259071e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.892528312853499817e-02,3.482259715322236815e+01,1.098302284858493216e+01,2.900766384452780500e+01,6.573746328895853086e-01,9.405546226633115792e-01,3.396424616956417730e-01,1.288413064267499575e-01
4.400000000000000000e+01,2.710479500000000097e-02,2.794368773942672302e-02,2.162741024378091836e+01,1.104533167887488432e+01,2.814205887621788804e+01,6.355486533508872826e-01,9.417249859950940216e-01,3.363837849132148561e-01,4.194463697133610225e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.706151007020560217e-02,1.934636883122317386e+01,1.108483849639167218e+01,2.722920244736140560e+01,6.165953299124248277e-01,9.429620425682586626e-01,3.329002647573257589e-01,2.008840351028010063e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.627088498347832091e-02,1.889852724959207109e+01,1.111739018230749387e+01,2.632356273658259482e+01,6.001957968888684825e-01,9.442361960574249258e-01,3.292688962762869709e-01,-2.802000826084005691e-03
5.900000000000000000e+01,2.625237399999999846e-02,2.556063930715263971e-02,1.858472857877350037e+01,1.114502904045736997e+01,2.543180771168062648e+01,5.860123363887441705e-01,9.455323653090019764e-01,3.255281034767414372e-01,-3.458673464236793754e-02
6.400000000000000000e+01,2.551499000000000128e-02,2.492119429925184620e-02,1.825612328878740342e+01,1.116803579739368502e+01,2.455375514072961352e+01,5.737514822248356294e-01,9.468360960077009114e-01,3.217163460206767800e-01,-2.968978503740775376e-02
6.900000000000000000e+01,2.493275699999999984e-02,2.434473870952130053e-02,1.790479354724719130e+01,1.118653656680690212e+01,2.368867022857508786e+01,5.631635216607334682e-01,9.481326484129846133e-01,3.178749455578085414e-01,-2.940091452393496507e-02
7.400000000000000000e+01,2.512380499999999905e-02,2.382491284526552788e-02,1.753385335149868851e+01,1.120063791822050447e+01,2.283587706725393929e+01,5.540362917469238146e-01,9.494076565098344966e-01,3.140463369639964752e-01,-6.494460773672355858e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.335649707158182764e-02,1.714683012546217711e+01,1.121043994919837772e+01,2.199484018728964330e+01,5.461894397045216065e-01,9.506478294706398602e-01,3.102719844310170005e-01,1.627505357909130729e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.293514576907006164e-02,1.674687569153265798e+01,1.121603953052319724e+01,2.116521382730462975e+01,5.394695060713287083e-01,9.518415119075090969e-01,3.065905024778609045e-01,6.905463845350306995e-02
8.900000000000000000e+01,2.391284700000000096e-02,2.255716866035790275e-02,1.633679592337418285e+01,1.121753265652700193e+01,2.034689936903185625e+01,5.337457400831230325e-01,9.529790642295563607e-01,3.030361416401666230e-01,-6.778391698210491090e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.221935667221044963e-02,1.591915437129024014e+01,1.121501672052539256e+01,1.954012154866673612e+01,5.289065385603086700e-01,9.540530608618172925e-01,2.996377096765316383e-01,-2.786236638947746369e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.191884776737502288e-02,1.549638781951512279e+01,1.120859289632932310e+01,1.874552782371080895e+01,5.248564127236422516e-01,9.550583253459905553e-01,2.964179400564548872e-01,-1.032726163124886298e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.165302716996309745e-02,1.507092967951682638e+01,1.119836876301385686e+01,1.796431135369989818e+01,5.215134006911570363e-01,9.559918337936419430e-01,2.933932748374945554e-01,3.808665849815481147e-02
