t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.084549800000000092e-02,3.761328410498718244e-02,4.593275129795074463e+00,4.593275129795074463e+00,4.593275129795074463e+00,8.329355665438124001e-01,9.353328856138082292e-01,3.537688413206379057e-01,-1.616106947506409097e-01
4.000000000000000000e+00,4.011164600000000080e-02,3.748804473239877866e-02,2.663082977916081404e+02,5.852685788516963861e+00,2.445485943658466255e+01,8.291792288901640440e-01,9.353883910431437521e-01,3.536220551686770075e-01,-1.311800633800611071e-01
9.000000000000000000e+00,3.731283500000000253e-02,3.711514749913533834e-02,1.818760538847363364e+02,6.877479397200632505e+00,2.814209584861644231e+01,8.180176884148341321e-01,9.355602414628451102e-01,3.531671482371810389e-01,-9.884375043233209479e-03
1.400000000000000000e+01,3.648607400000000028e-02,3.660785430188971679e-02,1.053615129308319922e+02,7.518363642975234740e+00,2.943993672858396948e+01,8.028752055239897212e-01,9.358081858025454336e-01,3.525096302017133310e-01,6.089015094485825119e-03
1.900000000000000000e+01,3.665752700000000225e-02,3.606191869623835700e-02,4.414726013091134149e+01,7.844679407219745215e+00,2.940278415317783356e+01,7.866516870891163693e-01,9.360972261484579171e-01,3.517413583830635848e-01,-2.978041518808226262e-02
2.400000000000000000e+01,3.462615599999999821e-02,3.554277732012108698e-02,2.044341865592661023e+01,7.980177391352663463e+00,2.861040726422121594e+01,7.713371593169315865e-01,9.364018802437252820e-01,3.509295067047168426e-01,4.583106600605443837e-02
2.900000000000000000e+01,3.494170299999999757e-02,3.507180418302496827e-02,1.898885638724917513e+01,8.073539400780177289e+00,2.767311540253141189e+01,7.575782081961963677e-01,9.367114505688471926e-01,3.501023541383379567e-01,6.505059151248535065e-03
3.400000000000000000e+01,3.313903499999999724e-02,3.464553660610937558e-02,1.862483791032861191e+01,8.159529624747701604e+00,2.674177033558148509e+01,7.452593273511207705e-01,9.370241593746275743e-01,3.492645483702469522e-01,7.532508030546891664e-02
3.900000000000000000e+01,3.381598000000000243e-02,3.425849624885708711e-02,1.825470340567833460e+01,8.239428648395977106e+00,2.581986436238580040e+01,7.342039084515149527e-01,9.373393137608095893e-01,3.484178681962428747e-01,2.212581244285423410e-02
4.400000000000000000e+01,3.320166499999999826e-02,3.390596732564378490e-02,1.786442742596074140e+01,8.313460044650089031e+00,2.490585404994596175e+01,7.242597952824114671e-01,9.376562843227636002e-01,3.475639401175396603e-01,3.521511628218933210e-02
4.900000000000000000e+01,3.289055800000000029e-02,3.358393856919397041e-02,1.745584980545823939e+01,8.381807047529125754e+00,2.399806600541022661e+01,7.152973834023236277e-01,9.379744787523225380e-01,3.467043080339627381e-01,3.466902845969850600e-02
5.400000000000000000e+01,3.244076700000000230e-02,3.328899894908302071e-02,1.703056159875014330e+01,8.444629242705808281e+00,2.309476789553488629e+01,7.072063045308267792e-01,9.382933382672393741e-01,3.458404420586463912e-01,4.241159745415092053e-02
5.900000000000000000e+01,3.164210900000000160e-02,3.301824832903004631e-02,1.658973952618302405e+01,8.502064650122234113e+00,2.219417067657241915e+01,6.998925860413477418e-01,9.386123345838961463e-01,3.449737459096969827e-01,6.880696645150223556e-02
6.400000000000000000e+01,3.111267100000000146e-02,3.276922160077420237e-02,1.613420160162732842e+01,8.554231306141264923e+00,2.129443602581468298e+01,6.932762377744843274e-01,9.389309670965343413e-01,3.441055637840905179e-01,8.282753003871004549e-02
6.900000000000000000e+01,3.191779599999999828e-02,3.253982428554767770e-02,1.566446818309917610e+01,8.601228641564732769e+00,2.039370149740897631e+01,6.872892020096770249e-01,9.392487602419289372e-01,3.432371867732275650e-01,3.110141427738397080e-02
7.400000000000000000e+01,3.183153300000000213e-02,3.232827785904936885e-02,1.518083159862874965e+01,8.643138802012243715e+00,1.949013192979793985e+01,6.818736110952523521e-01,9.395652610455625942e-01,3.423698588316205771e-01,2.483724295246833580e-02
7.900000000000000000e+01,3.161939999999999890e-02,3.213307327995937324e-02,1.468344577614527680e+01,8.680028110157143928e+00,1.858201466163387394e+01,6.769803044903052180e-01,9.398800368612202361e-01,3.415047822648334397e-01,2.568366399796871702e-02
8.400000000000000000e+01,3.131637000000000309e-02,3.195293137394078498e-02,1.417245381969122775e+01,8.711948972757612708e+00,1.766792825185488169e+01,6.725675624779514639e-01,9.401926733368585198e-01,3.406431226425849501e-01,3.182806869703909414e-02
8.900000000000000000e+01,3.111153800000000108e-02,3.178676883724192159e-02,1.364818239241836118e+01,8.738942710565352101e+00,1.674703177348705196e+01,6.686000173357441456e-01,9.405027726707212432e-01,3.397860129532785933e-01,3.376154186209602559e-02
9.400000000000000000e+01,3.182448400000000011e-02,3.163366866535397004e-02,1.311144878055034368e+01,8.761044069931507750e+00,1.581954899054113284e+01,6.650477039352883368e-01,9.408099522696942163e-01,3.389345566776801877e-01,-9.540766732301503295e-03
9.900000000000000000e+01,3.116922100000000043e-02,3.149285376213631360e-02,1.256404914860728717e+01,8.778288611993623647e+00,1.488755648153272482e+01,6.618852099112552123e-01,9.411138439974112702e-01,3.380898292413072048e-01,1.618163810681565867e-02
1.040000000000000000e+02,3.067336999999999841e-02,3.136366231703303920e-02,1.200952127300344685e+01,8.790724794117119600e+00,1.395622345563485212e+01,6.590908798099712751e-01,9.414140943162480069e-01,3.372528769672964999e-01,3.451461585165203905e-02
