t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.084549800000000092e-02,3.588858785327107143e-02,5.012561619281768799e+00,5.012561619281768799e+00,5.012561619281768799e+00,8.159835938186597026e-01,9.385581663021674848e-01,-2.478455073364464745e-01
4.000000000000000000e+00,4.011164600000000080e-02,3.584808059718934403e-02,2.395726273646768334e+02,5.884815976195755027e+00,1.290600777668207044e+01,8.135945949782542597e-01,9.385911649215278318e-01,-2.131782701405328384e-01
9.000000000000000000e+00,3.731283500000000253e-02,3.570569474705206914e-02,1.933302821836151679e+02,6.767162990521050858e+00,1.504699059741857425e+01,8.052181336379908849e-01,9.387119392164181564e-01,-8.035701264739666949e-02
1.400000000000000000e+01,3.648607400000000028e-02,3.549381129293942977e-02,1.496005282390320019e+02,7.443059554792466059e+00,1.605741139774161041e+01,7.927869912679459397e-01,9.389015175550408099e-01,-4.961313535302852573e-02
1.900000000000000000e+01,3.665752700000000225e-02,3.524276340047835521e-02,1.087770013381914822e+02,7.932864006498274279e+00,1.652668705835183260e+01,7.781027556934060341e-01,9.391407534435298743e-01,-7.073817997608235209e-02
2.400000000000000000e+01,3.462615599999999821e-02,3.497784550298313477e-02,7.138975469212925873e+01,8.259084729401898528e+00,1.663302910309083416e+01,7.626693488010153343e-01,9.394127924130537544e-01,1.758447514915682797e-02
2.900000000000000000e+01,3.494170299999999757e-02,3.471905690075621082e-02,3.873151341636903311e+01,8.446510563776696401e+00,1.645094150552483114e+01,7.476806904169968071e-01,9.397032938878280284e-01,-1.113230496218933774e-02
3.400000000000000000e+01,3.313903499999999724e-02,3.448070466594399530e-02,1.560426110921558518e+01,8.527088932379742303e+00,1.602974796918172018e+01,7.339948580847268644e-01,9.400007466377167109e-01,6.708348329719990288e-02
3.900000000000000000e+01,3.381598000000000243e-02,3.426985579189926329e-02,9.685848911758421664e+00,8.554941950582673371e+00,1.547261623451320744e+01,7.220354629313546768e-01,9.402976994666699673e-01,2.269378959496304304e-02
4.400000000000000000e+01,3.320166499999999826e-02,3.408559982877971267e-02,9.411240522944853026e+00,8.573978049928832945e+00,1.488795722750678507e+01,7.117416911575430438e-01,9.405917727553007035e-01,4.419674143898572050e-02
4.900000000000000000e+01,3.289055800000000029e-02,3.392434528202649402e-02,9.355868521173134056e+00,8.590644011193107943e+00,1.429531475511680227e+01,7.028892902017929156e-01,9.408826627518867003e-01,5.168936410132468628e-02
5.400000000000000000e+01,3.244076700000000230e-02,3.378282772367595388e-02,9.298596630633053195e+00,8.605124661811622389e+00,1.369753701091619291e+01,6.952742243919045606e-01,9.411702418446872276e-01,6.710303618379757917e-02
5.900000000000000000e+01,3.164210900000000160e-02,3.365828608740874250e-02,9.235381362854964138e+00,8.617423054425907836e+00,1.309816412933247420e+01,6.887235160251147237e-01,9.414543901370090451e-01,1.008088543704370454e-01
6.400000000000000000e+01,3.111267100000000146e-02,3.354838865838288137e-02,9.167363995967711787e+00,8.627552861665927608e+00,1.250246725147173166e+01,6.830907417486908884e-01,9.417349919601913921e-01,1.217858829191439951e-01
6.900000000000000000e+01,3.191779599999999828e-02,3.345116395945729737e-02,9.096075132406388875e+00,8.635549469444866233e+00,1.191790882070974256e+01,6.782518117136877578e-01,9.420119372059081453e-01,7.666839797286495450e-02
7.400000000000000000e+01,3.183153300000000213e-02,3.336494130494070676e-02,9.023387467271147599e+00,8.641478294938975679e+00,1.135443157881525167e+01,6.741013282778008930e-01,9.422851233557676398e-01,7.667041524703523125e-02
7.900000000000000000e+01,3.161939999999999890e-02,3.328829954298848093e-02,8.951527612528739297e+00,8.645443329446177216e+00,1.082429052198255803e+01,6.705494364207850166e-01,9.425544581651916776e-01,8.344497714942410160e-02
8.400000000000000000e+01,3.131637000000000309e-02,3.322002281778973359e-02,8.882976308679070954e+00,8.647593738106616357e+00,1.034103156777335819e+01,6.675190966789993352e-01,9.428198629116394391e-01,9.518264088948652502e-02
8.900000000000000000e+01,3.111153800000000108e-02,3.315906273013592698e-02,8.820200907836497350e+00,8.648125008446564621e+00,9.917366122177918797e+00,6.649437451411267519e-01,9.430812758748627900e-01,1.023762365067962948e-01
9.400000000000000000e+01,3.182448400000000011e-02,3.310450682847843051e-02,8.765236667736441944e+00,8.647271119816469565e+00,9.562280384211714335e+00,6.627653395599865105e-01,9.433386554205823726e-01,6.400114142392152039e-02
9.900000000000000000e+01,3.116922100000000043e-02,3.305555366667224659e-02,8.719259282726032012e+00,8.645286819096634545e+00,9.278549973487560720e+00,6.609328097666892221e-01,9.435919818809921367e-01,9.431663333361230139e-02
1.040000000000000000e+02,3.067336999999999841e-02,3.301149442976583637e-02,8.682369020692860317e+00,8.642423908352006023e+00,9.062068484118386280e+00,6.594009157563968104e-01,9.438412575825172457e-01,1.169062214882918976e-01
