t_ps,delta_k,sigma_dk
-16,0.0418857642898,0.000262266178362
-11,0.0418857642898,0.000262266178362
-6,0.0418857642898,0.000262266178362
-1,0.0418857642898,0.000262266178362
4,0.0369382388576,0.000233177658509
9,0.0358740733441,0.000229435778263
14,0.0341321973987,0.000168177753581
19,0.0352131303802,0.00024390670438
24,0.0331379130758,0.000211525131894
29,0.0338459789952,0.000406925122735
34,0.0336249562667,0.00034803930652
39,0.0334239808739,0.000418054411982
44,0.0310851695394,0.000210828464694
49,0.0324858558719,0.000279534052659
54,0.0292797880451,0.000211033603217
59,0.0282627454871,0.00028885401035
64,0.0287370206284,0.000259286463392
69,0.0287114343312,0.000327689286851
74,0.0274981019069,0.00029087898834
79,0.0277175683707,0.00030262557272
84,0.0267691352169,0.000211245621798
89,0.0268214791902,0.000213221966477
94,0.0266704715364,0.00018750515238
99,0.0278018742828,0.000268399517654
104,0.027904487195,0.000373144953583
