t_ps,delta_k,sigma_dk
-16,0.03365042806,0.0001315350091
-11,0.03365042806,0.0001315350091
-6,0.03365042806,0.0001315350091
-1,0.03365042806,0.0001315350091
4,0.03069150448,0.0002117202239
9,0.02772133052,0.0008144286694
14,0.02340437472,0.002389143221
19,0.02630221844,0.0008246247307
24,0.02215985954,0.0008045975119
29,0.02380476892,0.0001276195399
34,0.01860667765,0.0005730653065
39,0.01784427464,0.0004976476193
44,0.01966926455,0.0003937990405
49,0.02439329028,0.0001831340924
54,0.01819083095,0.0008215730195
59,,
64,,
69,,
74,,
79,,
84,,
89,,
94,,
99,,
104,,
