t_ps,delta_k,sigma_dk
-16,0.0348748190275,0.000228377859145
-11,0.0348748190275,0.000228377859145
-6,0.0348748190275,0.000228377859145
-1,0.0348748190275,0.000228377859145
4,0.0231041875344,0.00367203610794
9,0.0304506830405,0.000604513803516
14,0.0288961610033,0.000422431988165
19,0.0280247712084,0.00112679658
24,0.0252761441128,0.00096349564517
29,0.0282380460903,0.00102858458019
34,0.029091999053,0.00113217813189
39,0.0272538523828,0.00451579701348
44,0.0221674347261,0.00112239370712
49,0.0246056962454,0.000362920477115
54,0.0230003530341,0.000424995526522
59,0.0171883824277,0.00686945925706
64,0.0221846540108,0.000505816092166
69,0.0194556726322,0.000435182514892
74,0.0198746586317,0.000654061620596
79,0.019349328036,0.00154057790568
84,0.0208020738634,0.000982640783877
89,0.0248251627091,0.00135140155939
94,,
99,,
104,,
