t_ps,s
-1,0.033650428
4,0.030691504
9,0.027721331
14,0.023404375
19,0.026302218
24,0.02215986
29,0.023804769
34,0.018606678
39,0.017844275
44,0.019669265
49,0.02439329
54,0.018190831
