t_ps,s
-16,0.040743009
-11,0.041213691
-6,0.040926093
-1,0.040845498
4,0.040111646
9,0.037312835
14,0.036486074
19,0.036657527
24,0.034626156
29,0.034941703
34,0.033139035
39,0.03381598
44,0.033201665
49,0.032890558
54,0.032440767
59,0.031642109
64,0.031112671
69,0.031917796
74,0.031831533
79,0.0316194
84,0.03131637
89,0.031111538
94,0.031824484
99,0.031169221
104,0.03067337
