dataset,dataset_name,path,fluence_ratio,n_points,rms,wrms,dt_i_ps,dt_local_ps,A_obs,B_obs,B_eff_obs,sigma_irf_ps,B0_obs,B1_obs,wall_time_sec,avg_wall_time_sec
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,1.0,25,0.0005199126914483715,0.02599563457241858,-0.9999274060647911,0.0,0.7887649983106053,-0.19916081769725633,-0.19916081769725633,0.2,0.0232,0.0,2.477311800001189,2.471963983046147
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,2.0,25,0.001142514457343025,0.057125722867151243,-0.9999274060647911,0.0,0.5498033168549782,-0.12320675004297837,-0.12320675004297837,0.2,0.0232,0.0,2.431275699986145,2.4654933698808947
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,2.5,25,0.0017512098835514719,0.0875604941775736,-0.9999274060647911,0.0,0.5678421098026398,-0.1270566827732383,-0.1270566827732383,0.2,0.0232,0.0,2.4228332999628037,2.4668468625804856
deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,3.0,22,0.003200183517281753,0.16000917586408767,-0.9999274060647911,0.0,0.4083724945505355,-0.08569554169528099,-0.08569554169528099,0.2,0.0232,0.0,2.170919300056994,2.170855877483917
deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,3.5,14,0.0020862220274503584,0.1043111013725179,-0.9999274060647911,0.0,0.4085404789683136,-0.08545980623894282,-0.08545980623894282,0.2,0.0232,0.0,1.3776156001258641,1.38383962749027
deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,4.0,9,0.0029422339957408403,0.14711169978704203,-0.9999274060647911,0.0,0.33187441548331204,-0.06817353591858538,-0.06817353591858538,0.2,0.0232,0.0,0.8827186000999063,0.8939271529214674
