t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,4.074300899999999670e-02,4.093152566560556704e-02,8.465244712657225001e-01,9.326995753324949234e-01,3.606542695915074259e-01,9.425833280278517190e-02,1.000000000000000000e+00
-1.100000000000000000e+01,4.121369099999999674e-02,4.093168960244743249e-02,8.465254520653493486e-01,9.326995616271765988e-01,3.606543050352687962e-01,-1.410006987762821296e-01,1.000000000000000000e+00
-6.000000000000000000e+00,4.092609299999999672e-02,4.093216712344650149e-02,8.465282915552225784e-01,9.326995188366093981e-01,3.606544156972949500e-01,3.037061723252382217e-03,1.000000000000000000e+00
-1.000000000000000000e+00,4.084549800000000092e-02,4.093290860850054558e-02,8.465326694626738036e-01,9.326994472536647152e-01,3.606546008201037545e-01,4.370530425027233101e-02,1.000000000000000000e+00
4.000000000000000000e+00,4.011164600000000080e-02,4.012961778093990933e-02,8.417145854701039154e-01,9.327649534531785580e-01,3.604851475574127884e-01,8.985890469954266324e-03,1.000000000000000000e+00
9.000000000000000000e+00,3.731283500000000253e-02,3.870103304268938949e-02,8.332120674378012959e-01,9.328942537102546950e-01,3.601504010748661222e-01,6.940990213446934787e-01,1.000000000000000000e+00
1.400000000000000000e+01,3.648607400000000028e-02,3.749305054212027921e-02,8.261246851689239001e-01,9.330227193550946208e-01,3.598174608981954403e-01,5.034882710601394917e-01,1.000000000000000000e+00
1.900000000000000000e+01,3.665752700000000225e-02,3.648110864724801033e-02,8.202894557318668456e-01,9.331491552701154379e-01,3.594894351975728153e-01,-8.820917637599595684e-02,1.000000000000000000e+00
2.400000000000000000e+01,3.462615599999999821e-02,3.563169546236580332e-02,8.154914696792086026e-01,9.332735373405912638e-01,3.591664022424425617e-01,5.027697311829025795e-01,1.000000000000000000e+00
2.900000000000000000e+01,3.494170299999999757e-02,3.491658263113656124e-02,8.115497228483639081e-01,9.333958929626920975e-01,3.588483063919608584e-01,-1.256018443171816323e-02,1.000000000000000000e+00
3.400000000000000000e+01,3.313903499999999724e-02,3.431240973048760995e-02,8.083143163295912759e-01,9.335162570506264634e-01,3.585350719555741583e-01,5.866873652438063802e-01,1.000000000000000000e+00
3.900000000000000000e+01,3.381598000000000243e-02,3.379991117160852099e-02,8.056615220841245595e-01,9.336346648530170489e-01,3.582266218258973178e-01,-8.034414195740718911e-03,1.000000000000000000e+00
4.400000000000000000e+01,3.320166499999999826e-02,3.336320694219951227e-02,8.034892713086538851e-01,9.337511509686002853e-01,3.579228800521339071e-01,8.077097109975700517e-02,1.000000000000000000e+00
4.900000000000000000e+01,3.289055800000000029e-02,3.298920810961532279e-02,8.017133707480609273e-01,9.338657492337205657e-01,3.576237721518827350e-01,4.932505480766125050e-02,1.000000000000000000e+00
5.400000000000000000e+01,3.244076700000000230e-02,3.266712565620950165e-02,8.002643731930801918e-01,9.339784927277411386e-01,3.573292251160220534e-01,1.131793281047496769e-01,1.000000000000000000e+00
5.900000000000000000e+01,3.164210900000000160e-02,3.238806563961117713e-02,7.990849949404541519e-01,9.340894137934498964e-01,3.570391673738458893e-01,3.729783198055877658e-01,1.000000000000000000e+00
6.400000000000000000e+01,3.111267100000000146e-02,3.214469562995399959e-02,7.981279854179900157e-01,9.341985440585777178e-01,3.567535287545641753e-01,5.160123149769990647e-01,1.000000000000000000e+00
6.900000000000000000e+01,3.191779599999999828e-02,3.193096988759029642e-02,7.973543699157331632e-01,9.343059144566248087e-01,3.564722404498983921e-01,6.586943795149069469e-03,1.000000000000000000e+00
7.400000000000000000e+01,3.183153300000000213e-02,3.174190293542521191e-02,7.967320000938075131e-01,9.344115552468179597e-01,3.561952349782669947e-01,-4.481503228739511235e-02,1.000000000000000000e+00
7.900000000000000000e+01,3.161939999999999890e-02,3.157338300086093286e-02,7.962343583636409816e-01,9.345154960332350269e-01,3.559224461505015591e-01,-2.300849956953301967e-02,1.000000000000000000e+00
8.400000000000000000e+01,3.131637000000000309e-02,3.142201830437459098e-02,7.958395716779778084e-01,9.346177657831535868e-01,3.556538090369710803e-01,5.282415218729394346e-02,1.000000000000000000e+00
8.900000000000000000e+01,3.111153800000000108e-02,3.128501040928411553e-02,7.955295980525604049e-01,9.347183928446779477e-01,3.553892599360064519e-01,8.673620464205722413e-02,1.000000000000000000e+00
9.400000000000000000e+01,3.182448400000000011e-02,3.116004986665267540e-02,7.952895555661207982e-01,9.348174049636931437e-01,3.551287363435215449e-01,-3.322170666736623534e-01,1.000000000000000000e+00
9.900000000000000000e+01,3.116922100000000043e-02,3.104523022900252879e-02,7.951071688840801732e-01,9.349148293001903198e-01,3.548721769237425661e-01,-6.199538549873581661e-02,1.000000000000000000e+00
1.040000000000000000e+02,3.067336999999999841e-02,3.093897719822075176e-02,7.949723127220427177e-01,9.350106924439992584e-01,3.546195214809713669e-01,1.328035991103766744e-01,1.000000000000000000e+00
