t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,3.498277600000000015e-02,3.514376840562475485e-02,8.328355916002625481e-01,9.353521012342893570e-01,3.537180327840238614e-01,8.049620281237734876e-02,1.000000000000000000e+00
-1.100000000000000000e+01,3.538691399999999848e-02,3.514416813389736882e-02,8.328380355949968061e-01,9.353520689158659751e-01,3.537181182450356842e-01,-1.213729330513148297e-01,1.000000000000000000e+00
-6.000000000000000000e+00,3.513997700000000279e-02,3.514534081499638696e-02,8.328451630064634958e-01,9.353519672744530222e-01,3.537183870196891622e-01,2.681907498192082073e-03,1.000000000000000000e+00
-1.000000000000000000e+00,3.507077599999999795e-02,3.514716564548148875e-02,8.328561775686799118e-01,9.353517968197484489e-01,3.537188377596930944e-01,3.819482274074539885e-02,1.000000000000000000e+00
4.000000000000000000e+00,2.159466800000000089e-02,3.373863454153390451e-02,8.242067746715026066e-01,9.354607395610529119e-01,3.534306222441511158e-01,6.071983270766951435e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.000561599999999884e-02,3.101428349818357438e-02,8.075555963383794777e-01,9.356906774620276090e-01,3.528214224089175621e-01,5.043337490917877419e-01,1.000000000000000000e+00
1.400000000000000000e+01,2.822585600000000056e-02,2.867018382085084055e-02,7.933875738789910592e-01,9.359224466077693538e-01,3.522061526091320172e-01,2.221639104254199970e-01,1.000000000000000000e+00
1.900000000000000000e+01,2.722820800000000027e-02,2.671166388418449306e-02,7.817170103031301220e-01,9.361503792958969505e-01,3.515998682368188244e-01,-2.582720579077535938e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.408132500000000065e-02,2.507329731089404101e-02,7.721207933553524416e-01,9.363743868301739326e-01,3.510028599433569485e-01,4.959861554470201828e-01,1.000000000000000000e+00
2.900000000000000000e+01,2.747238499999999847e-02,2.369994607487640320e-02,7.642418962159844842e-01,9.365944770196634739e-01,3.504151617956379194e-01,-1.886219462561797622e+00,1.000000000000000000e+00
3.400000000000000000e+01,2.845006900000000144e-02,2.254558458734653992e-02,7.577818450556473850e-01,9.368107041424307280e-01,3.498366827594887596e-01,-2.952242206326730845e+00,1.000000000000000000e+00
3.900000000000000000e+01,2.634558799999999965e-02,2.157206828825554770e-02,7.524928600209109808e-01,9.370231395139948516e-01,3.492672844904551321e-01,-2.386759855872226055e+00,1.000000000000000000e+00
4.400000000000000000e+01,2.052218700000000076e-02,2.074790089393950543e-02,7.481699956126266482e-01,9.372318590606338873e-01,3.487068143322525904e-01,1.128569469697523336e-01,1.000000000000000000e+00
4.900000000000000000e+01,2.331373399999999915e-02,2.004711740549649374e-02,7.446440120989071820e-01,9.374369388293716243e-01,3.481551173230360563e-01,-1.633308297251752750e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.147578899999999860e-02,1.944832611299680825e-02,7.417752507321612176e-01,9.376384534944992577e-01,3.476120402524109365e-01,-1.013731443501595164e+00,1.000000000000000000e+00
5.900000000000000000e+01,1.530577200000000047e-02,1.893390663818658032e-02,7.394484959698806037e-01,9.378364759078017254e-01,3.470774329408858883e-01,9.669533190932895206e-01,0.000000000000000000e+00
6.400000000000000000e+01,2.054190100000000130e-02,1.848934532378776474e-02,7.375687084259526793e-01,9.380310769999025133e-01,3.465511485804123604e-01,-1.026277838106118168e+00,1.000000000000000000e+00
6.900000000000000000e+01,1.741751100000000010e-02,1.810268670061367449e-02,7.360574954317929963e-01,9.382223257964676932e-01,3.460330437647057833e-01,3.425878503068371939e-01,1.000000000000000000e+00
7.400000000000000000e+01,1.789720499999999936e-02,1.776408150559861954e-02,7.348501965575261474e-01,9.384102894699873909e-01,3.455229784209068455e-01,-6.656174720068991357e-02,1.000000000000000000e+00
7.900000000000000000e+01,1.729575800000000135e-02,1.746541449887473868e-02,7.338934785727968535e-01,9.385950334008476004e-01,3.450208157129968645e-01,8.482824943736866352e-02,1.000000000000000000e+00
8.400000000000000000e+01,1.895899499999999932e-02,1.719999806635919351e-02,7.331433513451243167e-01,9.387766212391536191e-01,3.445264219400285821e-01,-8.794984668204028910e-01,1.000000000000000000e+00
8.900000000000000000e+01,2.356499999999999914e-02,1.696232000022232164e-02,7.325635311851259601e-01,9.389551149646636619e-01,3.440396664364375190e-01,-3.301339999888838861e+00,1.000000000000000000e+00
