dataset,dataset_name,path,fluence_ratio,n_points,rms,wrms,dt_i_ps,dt_local_ps,A_obs,B_obs,B_eff_obs,sigma_irf_ps,B0_obs,B1_obs,wall_time_sec,avg_wall_time_sec
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,1.0,25,0.000478579703936426,0.023928985196821302,-2.8418390056081866,0.0,0.4255594260783233,-0.08999965633207255,-0.08999965633207255,0.2,0.0232,0.0,2.4946402001660317,2.482199711326935
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,2.0,25,0.0011728616455228041,0.0586430822761402,-2.8418390056081866,0.0,0.3053661458626513,-0.052083554823274626,-0.052083554823274626,0.2,0.0232,0.0,2.494241999927908,2.4827108646876175
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,2.5,25,0.0017827167898390754,0.08913583949195375,-2.8418390056081866,0.0,0.3198184869902661,-0.055903957993417304,-0.055903957993417304,0.2,0.0232,0.0,2.4970209000166506,2.480923183105936
deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,3.0,22,0.003173826846163142,0.1586913423081571,-2.8418390056081866,0.0,0.23212972110991698,-0.03577626983588106,-0.03577626983588106,0.2,0.0232,0.0,2.1848766000475734,2.1843605403088557
deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,3.5,14,0.0021376399144462837,0.10688199572231417,-2.8418390056081866,0.0,0.23483813504153042,-0.03688532619276142,-0.03688532619276142,0.2,0.0232,0.0,1.4021303001791239,1.392725813437178
deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,4.0,9,0.002988317582901394,0.1494158791450697,-2.8418390056081866,0.0,0.1948409444704262,-0.03029364684149973,-0.03029364684149973,0.2,0.0232,0.0,0.8890388999134302,0.8951537238019242
