t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.600000000000000000e+01,4.092496100000000275e-02,3.967429167048759642e-02,4.622922480106353760e+00,4.622922480106353760e+00,4.622922480106353760e+00,8.317482599879063576e-01,9.355609421546642324e-01,3.531652920583744915e-01,-6.253346647562031679e-02
-1.100000000000000000e+01,4.139774499999999968e-02,3.967438607280556612e-02,4.620957038555296492e+00,4.622385683481700980e+00,4.618285086102957848e+00,8.317499490694741926e-01,9.355609166363557661e-01,3.531653596582510768e-01,-8.616794635972167826e-02
-6.000000000000000000e+00,4.110886300000000243e-02,3.967465351765298021e-02,4.620353450382669536e+00,4.621843458228569013e+00,4.617520949281298748e+00,8.317547063888550696e-01,9.355608398701596995e-01,3.531655630174626581e-01,-7.171047411735111121e-02
-1.000000000000000000e+00,4.102790800000000182e-02,3.967506963015974414e-02,1.090157172100299299e+01,4.621716332350496614e+00,4.718629584222396645e+00,8.317620587578024027e-01,9.355607125056700779e-01,3.531659004149224623e-01,-6.764191849201288409e-02
4.000000000000000000e+00,3.618171299999999729e-02,3.895608182425332883e-02,1.638057778120563626e+02,8.110840230693236563e+00,2.428952269870923075e+01,8.188088519756007155e-01,9.357435307513772837e-01,3.526812224331575263e-01,1.387184412126665767e-01
9.000000000000000000e+00,3.513934199999999702e-02,3.744037914489600077e-02,2.252673191678840325e+01,9.189316718501926218e+00,2.554872488268404496e+01,7.914590165660868593e-01,9.361403220044225426e-01,3.516266450618554806e-01,1.150518572448001875e-01
1.400000000000000000e+01,3.343314000000000008e-02,3.597754781010120001e-02,1.369523333511370744e+01,9.256054819535590283e+00,2.485396179661893967e+01,7.651789056064777217e-01,9.365685873949857188e-01,3.504843521542165830e-01,1.272203905050599826e-01
1.900000000000000000e+01,3.449193600000000082e-02,3.470520808450995587e-02,1.368506256507815699e+01,9.306679975311562103e+00,2.414592583848447305e+01,7.424911677438013058e-01,9.369941794161433801e-01,3.493449695362280116e-01,1.066360422549775255e-02
2.400000000000000000e+01,3.245921999999999696e-02,3.359572951921088735e-02,1.364500041850765477e+01,9.353845496614889399e+00,2.344801783060153966e+01,7.228808229873610047e-01,9.374167294185552501e-01,3.482095280233141743e-01,5.682547596054451922e-02
2.900000000000000000e+01,3.315278499999999712e-02,3.262523760085909302e-02,1.357853861025114739e+01,9.397743197160101758e+00,2.275938378450125654e+01,7.059017625048555900e-01,9.378360109393658606e-01,3.470786893275611407e-01,-2.637736995704520471e-02
