dataset,dataset_name,path,fluence_ratio,n_points,rms,wrms,dt_i_ps,dt_local_ps,A_obs,B_obs,B_eff_obs,sigma_irf_ps,B0_obs,B1_obs,wall_time_sec,avg_wall_time_sec
deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,deltak12k_1p0mW.csv,1.0,25,0.0007119737449365077,0.03559868724682538,-0.801898541799943,0.0,0.1997109023216075,-0.02,-0.02,0.2,0.0232,0.0,2.498735199915245,2.468603329687512
deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,deltak12k_2p0mW.csv,2.0,25,0.001318719079329659,0.06593595396648295,-0.801898541799943,0.0,0.14462220979678445,-0.002807703978765623,-0.002807703978765623,0.2,0.0232,0.0,2.4912692999932915,21.15062731776805
deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,deltak12k_2p5mW.csv,2.5,25,0.0019275463614853042,0.09637731807426521,-0.801898541799943,0.0,0.14312914456212053,-0.002277456528797107,-0.002277456528797107,0.2,0.0232,0.0,2.4577546000946313,66.19096963350108
deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,deltak12k_3p0mW.csv,3.0,22,0.0033634058097118803,0.168170290485594,-0.801898541799943,0.0,0.0693457775130979,0.012505712322157015,0.012505712322157015,0.2,0.0232,0.0,2.1730196001008153,2.1755702428840014
deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,deltak12k_3p5mW.csv,3.5,14,0.002224336903181784,0.1112168451590892,-0.801898541799943,0.0,0.04932481007267235,0.018344651422428124,0.018344651422428124,0.2,0.0232,0.0,1.4499051999300718,1.386075096692994
deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,deltak12k_4p0mW.csv,4.0,9,0.0032759066844451584,0.16379533422225792,-0.801898541799943,0.0,0.030043895129148665,0.017999875456703653,0.017999875456703653,0.2,0.0232,0.0,0.8879125001840293,0.8938981934029817
